target,imp
ACTA2,0.3148001613670802
ACTG2,0.24492871330541469
ACTR3B,1.5862005051444934
ADGRL4,0.1151459574013337
AGR2,0.3252133047845537
AHR,1.071837853034217
AIF1,0.20279460507551217
AKT1,0.45126851411431346
ALDH1A3,0.20939323017874095
ANLN,0.379029748108327
AP1M2,0.20968347550645178
APOC1,0.08178631471134022
APOE,0.08987271567006565
AR,1.318635294909174
AURKA,0.5198293721046339
AZGP1,1.1974667934313807
B2M,2.0988369164172016
BAG1,1.4249574409654397
BANK1,0.158498729851085
BCL2,1.5605560263868044
BGN,1.3867081881472063
BICC1,0.5768253387609379
BIRC5,0.07677119090277404
BLVRA,0.7433243232215196
BRAF,1.4277681221440321
C1QA,0.1076366961335892
C1QB,0.22608942968203813
CALCRL,0.6650666026632658
CAPN13,0.6644223141184927
CCL2,0.1448777623854192
CCL3,0.5109442407653723
CCL4,0.4314054930867199
CCL5,0.25036449653819287
CCNB1,0.47439371638596184
CCND1,3.179141674012659
CCNE1,0.4806875153570622
CCNE2,1.0245618814761739
CD14,0.16052866915404093
CD163,0.3185319949230495
CD19,0.7124615658496859
CD2,0.29948729219055825
CD24,1.9961379443463017
CD274,0.3176115981019846
CD34,0.6804398905829784
CD36,0.042381155091677745
CD38,0.208373932973589
CD3D,0.20315596181554177
CD3E,0.13910526514450225
CD3G,0.7345783754172395
CD4,0.4623285289360091
CD40,0.13865245423750822
CD40LG,0.3726105971837189
CD44,0.744948163165207
CD5,0.2806756569322328
CD63,0.47736366036800887
CD68,0.05653543683813659
CD69,0.22966343005578796
CD7,0.13539229419189422
CD74,0.7209569392359033
CD79A,0.24028042000930824
CD79B,0.06425430403873103
CD8A,0.34731135272686053
CD9,0.6863397089059299
CD96,0.03809736303574038
CDC20,0.29205279714362736
CDC6,0.3567804992803055
CDH1,1.8913374680527562
CDH11,7.094362869018571
CDH3,0.9602430568525988
CDK4,1.003791754036634
CDK6,0.21319059459049344
CDK7,0.5627504724313531
CDKN2A,0.29141468598978765
CEACAM1,0.8714591587440307
CENPF,0.7262830304632655
CEP55,0.23241534103308634
CLDN4,0.37239986751831516
CLU,1.1772219182997263
COBL,0.3357522070812108
COL1A1,2.5502822505325358
COL1A2,2.650653040537715
COL3A1,3.6314291592626855
COL4A1,1.2208670732690394
COL4A2,1.122645013227188
COL4A5,1.5056771089233274
CR2,0.15439158848740514
CRABP2,1.1394736998629797
CSRP2,0.9211555391808947
CST3,0.3501164324751127
CSTB,0.45073256883292456
CTCF,0.7432295624714211
CTLA4,0
CTSL,0.6570050521713714
CXCR5,0.1693794429016442
CXXC5,1.0442998121640323
DCN,0.49689106157466595
EFNA5,0.06256402345326091
EGFR,0.5211963002791606
EIF3E,0.47446536245698523
ELF5,0.7360139115386518
EPCAM,1.8390198861406843
ERBB2,1.0779792114058138
ERBB3,1.9745351082409162
ERBB4,1.0543012171239563
ESR1,0.9224779509927291
FABP7,0.7508865651584015
FAP,1.6378298264653095
FASN,0.6460559280828071
FAT1,1.5025455524421798
FCGR3A,0.9057563459524347
FCN1,0.7373199504128332
FCRL5,0.16916182627597806
FGFR1,0.97352735836061155
FGFR2,0.15213425194184194
FGFR4,0.20280299928665066
FN1,8.824633438090416
FOS,0.49619667633172504
FOXA1,2.2801872409117783
FOXC1,1.6844828793340028
FOXP3,0.3477987199876313
FXYD3,1.459007902975685
GATA3,2.921288447065528
GNG11,0.30569475165604354
GNLY,0.19563380815461265
GPNMB,0.4813581100800227
GPR160,0.5890898221686879
GRB7,0.15402155187238356
GSN,0.6135982997172661
GZMB,0.3320838142178881
HIF1A,0.7215710002692985
HLA.A,0.45260574141568377
HLA.B,0.9419671487321521
HLA.C,0.7560079213410015
HLA.DPA1,0.5353687892207888
HLA.DRA,0.3001230335231186
HLA.DRB1,0.3628904964115723
HLA.DRB5,0.2035694067590404
