target,imp
ACTA2,0.07922916155148313
ACTG2,0.15536526979602058
ACTR3B,0.3154105980480802
ADGRL4,0.2956115750189618
AGR2,0.28564095588409844
AHR,0.2243987734186956
AIF1,0.2834816979592717
AKT1,0.12394031684158183
ALDH1A3,0.044958796924076366
ANLN,0.16050637897512446
AP1M2,0.2998384796462159
APOC1,0.03030644633480887
APOE,0.23642514621037605
AR,0.3758878496801218
AURKA,0.15542270014389964
AZGP1,0.336408097928263
B2M,0.27961971142152914
BAG1,0.15153304330843315
BANK1,0.07984599097230963
BCL2,0.5052433303489142
BGN,0.14256839108774447
BICC1,0.040102287330214946
BIRC5,0.08262405992484842
BLVRA,0.11093386799364607
BRAF,0.2518417382168161
C1QA,0.0604262630130112
C1QB,0.005572390572390572
CALCRL,0.2889914692401881
CAPN13,0.267266128980553
CCL2,0.07797502386946817
CCL3,0.18142940980428524
CCL4,0.08074059349512484
CCL5,0.21490477221144005
CCNB1,0.1779947826619484
CCND1,1.1579758491021084
CCNE1,0.06274793856841175
CCNE2,0.044922383710167546
CD14,2.8409090909090913e-4
CD163,0.0031897189718971897
CD19,0
CD2,0.29731619811309706
CD24,0.6162610274150078
CD274,0
CD34,0.5496418339914261
CD36,0.24921455832546421
CD38,0.18272462255550573
CD3D,0.13006404568361415
CD3E,0.008888888888888889
CD3G,0.0536541658993088
CD4,0.04535820717984471
CD40,0.050493726845794715
CD40LG,0.1368794386335786
CD44,0.15744798966118181
CD5,0.3621612070809288
CD63,0.2913780628707774
CD68,0.01276017351203388
CD69,0.12447043224419406
CD7,0.3026144641773769
CD74,0.06635721815169558
CD79A,0.13319896277974397
CD79B,0.06753575841387968
CD8A,0.06531593211342714
CD9,0.18434659479096754
CD96,0.02104931916492109
CDC20,0.11389543460278345
CDC6,0.49100220095066355
CDH1,0.5995610354533749
CDH11,0.23180883483644013
CDH3,0.28790127597667786
CDK4,0.226611497785547
CDK6,0.04399576719417502
CDK7,0.22153696491391758
CDKN2A,0.1793142008733998
CEACAM1,0.5405146675246411
CENPF,0.301885976102365
CEP55,0.003102564102564102
CLDN4,0.35603274169289634
CLU,0.1403309066544124
COBL,0.1316583765625684
COL1A1,0.27453707991141396
COL1A2,0.29235802451246656
COL3A1,0.2593334314204719
COL4A1,0.2966067789666322
COL4A2,0.4780818458089162
COL4A5,0.07934773052149166
CR2,0.21900161625806583
CRABP2,0.21975810370569956
CSRP2,0.5286492264902538
CST3,0.029595884063232457
CSTB,0.07306819387146071
CTCF,0.3757766638068766
CTLA4,0.09793650803242249
CTSL,0.2201019277201429
CXCR5,0.0107955296404276
CXXC5,0.47622106262481345
DCN,0.08441482435578208
DERL3,0.09556780730480362
EFNA5,0.09817528800404995
EGFR,0.11545916143916662
EIF3E,0.21791640909049856
ELF5,0.1954398480733916
EPCAM,0.352947910328738
ERBB2,0.7512946823729386
ERBB3,0.7665847137094695
ERBB4,0.156412090737803
ESR1,0.373329017250211
FABP7,0.2009013044812992
FAP,0.0926885250359135
FASN,0.37575018076261296
FAT1,0.15278451012191877
FCGR3A,0.13941383588715675
FCN1,0.1381167529492964
FCRL5,0.19222824617702447
FGFR1,0.6041777714289788
FGFR2,0.10426336914912675
FGFR4,0.28897218817342396
FN1,0.24917944590868613
FOS,0.14308934021900824
FOXA1,0.8348461529602457
FOXC1,3.1746031746031746e-4
FOXP3,0.17652873283904033
FXYD3,0.3301031409756742
GATA3,1.140603335621053
GNG11,0.09262197229869112
GNLY,0.1237850740230471
GPNMB,0.02247105113884075
GPR160,0.12575169089032032
GRB7,0.8648060203621297
GSN,0.43782408989720517
GZMB,0.005561945117029863
HIF1A,0.20315021011906828
HLA.A,0.6504362772859456
HLA.B,0.24215562751465236
HLA.C,0.203491414351403
HLA.DPA1,0.18572088147206323
HLA.DRA,0.10639443990986319
HLA.DRB1,0.2748323370255303
HLA.DRB5,0.05111777849085983
HLA.E,0.4428533558878554
HSPB1,0.7614189642177905
HSPG2,0.1876073576294618
ICAM1,0.10974481239647414
ICOS,0
IFITM3,0.24468940475279616
IGF1R,0.5272058409408169
IGFBP5,0.5489299860906748
IL2RA,0.1418214878049243
IL32,0.1766920176007661
IL3RA,0.11504338904741979
IL7R,0.10244437512668951
ISG15,0.15804850585970068
ISG20,0.15470241405219512
ITGA6,0.5821222091988932
ITGAX,0.08307825240567052
JUN,0.3955584952862445
JUNB,0.6467185182093604
KIF23,0.08365653682211001
KIT,0.03770921597097402
KRAS,0.16103731335380198
KRT10,0.03809355868119794
KRT14,0
KRT15,0.025851018229210126
KRT17,0.01709845435826878
KRT18,0.5248978465765051
KRT19,1.1807972550098613
KRT5,0.034880049778049795
KRT7,0.2601237073973932
KRT8,0.7454904532161533
LAG3,0.002777777777777778
LAMA1,0
LAMC1,0.3676311447479738
LDB2,0.4680339217795059
LGALS1,0.2544040948081944
LGALS2,0.003363008702689576
LGMN,0.27307621954911027
LILRB1,0.020056097907749093
LRP2,0.1113834716777891
LST1,0.04906926531777303
LTF,0.02389084249084249
LUM,0.20865616303145249
LYPD6B,0.306068342731192
LYZ,0.294706257569381
MAPK13,0.3594213916214568
MAPK3,0.17872920961757022
MDM2,0.2329441726283139
MELK,0.053586533186411135
MIA,0.11527890260894835
MKI67,0.001805016460715061
MLPH,0.3002460902142152
MMP11,0.07445849897898939
MMP12,0.0011470412654192275
MMP9,0.34842661948516523
MS4A1,0.28190521808237246
MSR1,0.03426639754440513
MT2A,0.2106770134117825
MUC1,0.9378190143670503
MYB,0.17062364455035364
MYBL2,0.1547589115802111
MYC,0.7036555634673266
MYL6,0.5958614493933522
MYL9,0.2789270459728458
MYLK,0.20025368979263738
MYO10,0.29030774302902634
MYO5B,0.2566909319288988
NAT1,0.0724272505188546
NCAM1,0.20453274661162824
NDC80,0.07618611555376777
NDRG2,0.402073673521556
NF1,0.2905776584296977
NFKBIA,0.4441773902430264
NKG7,0.07203832902670111
NOTCH1,0.540510445236273
NR3C1,0.11609401089747733
NUF2,0.02718093661079593
OBP2B,0
ORC6,0.20103832107172429
PABPC1,0.6909382372763834
PBK,0.2826073842677248
PDCD1,0.04320812877135445
PDPN,0.12347222092671373
PDZK1IP1,0.18651917363296586
PECAM1,0.19125097583962236
PGR,0.23755173897569196
PHGDH,0.3753472984599131
PI3,0.08398783175142407
PIK3CA,0.4010939409292869
PLEK,0.09218155473475764
PLVAP,0.331392142560652
POU2AF1,0
PRLR,0.16068124426854513
PTEN,0.22224273863357794
PTPRB,0.041280696390362186
PTPRC,0.25630180733175933
PTTG1,0.1389354282538362
RAMP2,0.038828438953354624
RB1,0.17880518144611848
RPL13,0.2800169287987661
RPL18,0.1240792637151724
RPSA,0.5880411885088943
RRM2,0.1459561823673329
S100A14,0.1330630801411805
S100A4,0.19839506273703605
S100A8,0
S100A9,0.4052598666617993
SDC1,0.5577493670063098
SFRP1,0.04721635062982274
SIAH2,0.37427429249075267
SKAP1,0.3152813762483114
SLC2A1,0.07800318309141838
SLC39A6,0.9755416324921313
SLPI,0.057392724609985735
SNAI2,0.45714669777991856
SOX10,0.014285714285714284
SOX18,0.05134424159404614
SOX4,0.36034218304731946
SPDEF,0.43554589448821596
SPP1,0.26857286644821826
STAT5A,0.00875
STMN1,0.3139823827446766
SULF1,0.3546776611037598
TAGLN,0.08969622305992551
TBX21,0.3554322071475691
TCF4,0.16858743095199738
TCL1A,0
TFEC,0.01806801682890612
TFF1,0.022405479822041125
TFF2,0.05648957006792688
