target,imp
ACTA2,35.763391186028805
ACTG2,14.79224582532187
ACTR3B,19.023168077898422
ADGRL4,1.2947330018395535
AGR2,22.6813643872176
AHR,12.524033202482299
AIF1,5.3124741707913925
AKT1,17.48090624654428
ALDH1A3,6.481989449912205
ANLN,18.59936732353176
AP1M2,18.85630106399168
APOC1,2.3519041781305283
APOE,6.975772812448688
AR,43.3284336674173
AURKA,22.168271234232147
AZGP1,28.161875535686637
B2M,29.655236473316666
BAG1,23.53454529926005
BANK1,10.104204172971741
BCL2,71.05267065083873
BGN,33.847498715796824
BICC1,5.599295116463944
BIRC5,14.138441400648151
BLVRA,25.45334135773612
BRAF,10.906832771015253
C1QA,6.032980482384645
C1QB,2.3935266727511246
CALCRL,1.7489246946277506
CAPN13,40.948319651016384
CCL2,3.2148006631562698
CCL3,8.539659832755643
CCL4,7.208546835398067
CCL5,11.364785754841797
CCNB1,32.29482284213725
CCND1,302.9074272889925
CCNE1,14.880001489328231
CCNE2,9.220882880515413
CD14,3.8331445972318194
CD163,3.409515167694985
CD19,4.420202485003298
CD2,8.10158746721347
CD24,74.72183992962786
CD274,1.5552105632360622
CD34,5.685677969069921
CD36,1.2760249723107469
CD38,4.1986810691247465
CD3D,2.9247795552982594
CD3E,4.970755656358571
CD3G,18.34209524510298
CD4,10.064976735474161
CD40,2.0364093027174333
CD40LG,7.659007836138573
CD44,21.067296680223595
CD5,5.744485634712969
CD63,55.08512781781132
CD68,3.205400886070897
CD69,10.230984367813921
CD7,14.487691006311
CD74,13.030708620228193
CD79A,5.848787103130851
CD79B,4.975947221523587
CD8A,9.50286853356568
CD9,21.391558477678817
CD96,6.628304898538176
CDC20,20.63909195144104
CDC6,9.712692989807865
CDH1,135.79267805778144
CDH11,21.20755077565349
CDH3,27.06493947658716
CDK4,63.964193888538475
CDK6,5.039017649558699
CDK7,20.28046874014236
CDKN2A,19.038995653346202
CEACAM1,83.06184895126627
CENPF,20.869986952600676
CEP55,9.460592792226443
CLDN4,29.121025760453122
CLU,22.41904477156366
COBL,8.532562376814502
COL1A1,31.883175984013196
COL1A2,20.997961443995774
COL3A1,9.888336862332393
COL4A1,10.123910822444394
COL4A2,26.070024181263037
COL4A5,21.644205093458137
CR2,26.517532001324025
CRABP2,34.49167080906179
CSRP2,13.37276410815388
CST3,22.604280789025395
CSTB,6.2456860237970275
CTCF,43.842552475303556
CTLA4,1.8347209195566083
CTSL,20.588393407748253
CXCR5,5.205164476918121
CXXC5,27.961087010639456
DCN,21.223207072384835
DERL3,7.06991158125607
EFNA5,8.33557890073947
EGFR,5.843766429870293
EIF3E,22.787553948491155
ELF5,17.759661928295564
EPCAM,52.903955040535486
ERBB2,49.63940111944038
ERBB3,147.8233648511329
ERBB4,12.758547430166379
ESR1,50.20087693548875
FABP7,16.912914343365696
FAP,7.033809855563049
FASN,84.69443571357606
FAT1,10.223146929563244
FCGR3A,21.905684805838654
FCN1,2.4126474351288136
FCRL5,1.1086688173389427
FGFR1,40.096467704706924
FGFR2,13.257752799739215
FGFR4,13.730321276645629
FN1,32.752564870657736
FOS,26.76095663312328
FOXA1,89.91160982007257
FOXC1,4.348311098255985
FOXP3,11.587905309859185
FXYD3,78.28313412719501
GATA3,305.20232242979375
GNG11,6.1452501302880504
GNLY,5.62078462888701
GPNMB,8.406257944493966
GPR160,15.897199599340897
GRB7,15.587073646774101
GSN,21.972547781527446
GZMB,5.744062019891422
HIF1A,27.772885749532016
HLA.A,4.309024687348102
HLA.B,21.591584991376067
HLA.C,18.543242338822196
HLA.DPA1,8.449761219667218
HLA.DRA,6.7700696487791605
HLA.DRB1,14.650977041673379
HLA.DRB5,2.834643710781457
HLA.E,27.46382251578229
HSPB1,227.22481731052275
HSPG2,14.684277685937728
ICAM1,22.250150114466372
ICOS,1.1295218329215528
IFITM3,13.499348396179931
IGF1R,60.6256088485503
IGFBP5,60.70216761116663
IL2RA,11.365435075222939
IL32,25.840478815539868
IL3RA,10.09032886330969
IL7R,2.3984202137710664
ISG15,13.736538983501644
ISG20,9.535283264822143
ITGA6,23.332181368683642
ITGAX,6.897556971923534
JUN,56.12598818847585
JUNB,121.89326333235043
KIF23,22.490165350603103
KIT,6.306639922896315
KRAS,32.33775831756202
KRT10,9.376613843290283
KRT14,3.1165529038373627
KRT15,9.215291671227751
KRT17,8.325922345122505
KRT18,130.24612488670329
KRT19,217.667492244847
KRT5,3.2768058202062655
KRT7,40.901031267390415
KRT8,137.3723527202877
LAG3,27.114533847967902
LAMA1,3.3425882332907606
LAMC1,77.99686440409954
LDB2,8.164203445445672
LGALS1,35.02347829382322
LGALS2,5.929478954976048
LGMN,19.83314887649613
LILRB1,5.430042311059674
LRP2,12.118416821393112
LST1,5.241021477084701
LTF,2.8339549065624374
LUM,9.28804474380542
LYPD6B,7.988348017912914
LYZ,5.502234180713169
MAPK13,52.193287932190735
MAPK3,12.825724815773818
MDM2,8.667508451122218
MELK,23.899368460107652
MIA,9.070733248832898
MKI67,21.53926248601787
MLPH,62.61494438133429
MMP11,14.52202826617617
MMP12,4.965687972963578
MMP9,19.0769716429469
MS4A1,8.153997230827212
MSR1,3.268801573452302
MT2A,6.10017560243087
MUC1,139.14553781279315
MYB,24.764539191732855
MYBL2,37.46502882570022
MYC,111.78371776472783
MYL6,224.72374603325972
MYL9,55.60608155800264
MYLK,24.246404047428378
MYO10,26.671975526811696
MYO5B,21.312267241861942
MZB1,16.017958547557335
NAT1,10.13995183419251
NCAM1,20.238279227477488
NDC80,9.203279758794176
NDRG2,35.669936310656944
NF1,30.420456051855425
NFKBIA,27.434541757088013
NKG7,7.497363375614108
NOTCH1,34.00233122438207
NR3C1,6.044293373006607
NUF2,5.935663565205298
OBP2B,0.6509004335086179
ORC6,34.282221525597926
PABPC1,132.5727629653429
PBK,5.636642636410815
PDCD1,5.200655630522226
PDPN,12.21691718136975
PDZK1IP1,14.749830410352093
PECAM1,5.728475295646043
PGR,18.41919525789607
PHGDH,44.36874881927082
PI3,11.420255771317104
PIK3CA,17.916283676456473
PLEK,2.082669286673225
PLVAP,14.107967330053771
POU2AF1,5.713841036450681
PRLR,24.08837500591
PTEN,16.799523653608063
PTPRB,17.28277782245309
PTPRC,3.0180643614466844
PTTG1,13.54546332546441
RAMP2,6.025852877633107
RB1,24.58209024520519
RPL13,59.474896571893886
RPL18,24.663102714186124
RPSA,82.05670130328019
RRM2,12.835666424309181
S100A14,14.608876140508496
S100A4,7.906361424844366
S100A8,1.267816688549431
S100A9,1.283926426415083
SDC1,93.90983102710585
SFRP1,4.980388268112958
SIAH2,37.75293530205718
SKAP1,24.84318199978673
SLC2A1,34.4649848207523
SLC39A6,109.42485330665036
SLPI,5.341958921351769
SNAI2,16.399756746456138
SOX10,5.107873761241087
SOX18,10.557755371093725
SOX4,69.51030867839437
SPDEF,111.5942893110664
SPP1,24.97965192762484
STAT5A,5.505855777916118
STMN1,53.255856045784746
SULF1,28.55956108526935
TAGLN,24.355428816123126
TBX21,12.469780765585845
TCF4,12.970331432256039
TCL1A,4.018595785474306
TFEC,5.22780511298659
TFF1,2.973432940782626
TFF2,0.668422538987016
TFF3,25.132038563747088
TFRC,54.55437596895812
THEMIS,5.428946790660505
THY1,14.194698850961899
TIMP1,35.503697760944625
TMEM45B,10.452233744645591
TMSB10,90.73173418678778
TP53,73.29335548301286
TRAC,3.465379886820423
TRDC,13.115685717556685
TSPAN1,38.13671940148573
TTC6,68.59174682408673
TTYH1,1.6982584059162116
TYMS,50.868573418435886
UBE2C,15.521830742480986
UBE2T,17.098400222312605
VIM,44.72154106477902
VSIR,8.160198813430544
XBP1,146.23705732895206
XCL1,16.017124155686673
ZEB1,22.94624019566736
ZNF571,23.308170896280636
