target,imp
ACTA2,1.241596553275789
ACTG2,3.168262313662731
ACTR3B,1.9010400894684438
ADGRL4,0.25625179916268137
AGR2,1.045050650404401
AHR,2.0425379998943303
AIF1,0.6330318070891762
AKT1,0.6895795191437898
ALDH1A3,0.6292950244304567
ANLN,1.4832166703991465
AP1M2,1.063057594198848
APOC1,1.762421758395699
APOE,0.17023043096262383
AR,3.295584373699465
AURKA,0.923652318252268
AZGP1,1.362002136916839
B2M,3.071255838817998
BAG1,1.1968313624086158
BANK1,0.16549994273876006
BCL2,3.424219453834454
BGN,4.7890007149446525
BICC1,2.2315964045293093
BIRC5,0.6047258131490209
BLVRA,1.6145743999415978
BRAF,0.9896557005047991
C1QA,0.20948144649449815
C1QB,0.3127502506608221
CALCRL,1.0541067879714054
CAPN13,2.3319478445411232
CCL2,0.21804894523159785
CCL3,1.0643219768234804
CCL4,0.3548601366666613
CCL5,0.46668842240417585
CCNB1,1.1245251238790355
CCND1,7.669117078350739
CCNE1,0.4654361137186547
CCNE2,0.38440631467974945
CD14,0.42923920307073865
CD163,0.21730199271095604
CD19,0.13424775777751824
CD2,0.6318567903603144
CD24,3.6332235622549827
CD274,1.4396776450608997
CD34,0.6802799910822601
CD36,0.5644404588955585
CD38,0.6651883637845455
CD3D,1.4890773163249398
CD3E,0.1799567795803769
CD3G,1.1929548922412456
CD4,1.1042496512596052
CD40,0.2681936001227362
CD40LG,2.0851222872816884
CD44,3.2220456108880393
CD5,0.2855543435272017
CD63,2.006509561095922
CD68,0.1392252337363632
CD69,1.7724906335824684
CD7,1.0724816194400606
CD74,2.243329446371206
CD79A,0.7792614319351976
CD79B,0.06883709889065354
CD8A,0.7979370446063038
CD9,1.4247282146078306
CD96,0.38778108781229953
CDC20,1.399708394933909
CDC6,1.672161844940843
CDH1,3.72491427485743
CDH11,2.5286301614752347
CDH3,1.1963916030989759
CDK4,1.8290831874064073
CDK6,0.3851602336071783
CDK7,1.8243352581610381
CDKN2A,2.473227558481661
CEACAM1,2.2340162631311675
CENPF,1.0645169564918315
CEP55,0.4525796068063998
CLDN4,1.107147203403287
CLU,2.8176615235560973
COBL,2.3689534939410946
COL1A1,14.388480167871297
COL1A2,10.930894118228242
COL3A1,5.146242250918025
COL4A1,5.407066467676649
COL4A2,2.6981233433103555
COL4A5,1.6356747859810008
CR2,0.754589357215605
CRABP2,2.7815838761064886
CSRP2,2.1186411850568954
CST3,1.0685252154142768
CSTB,0.8312248049442686
CTCF,2.308293219968543
CTLA4,0.6869856321147814
CTSL,1.5675243159130736
CXCR5,0.4630137963507127
CXXC5,1.3194351133296558
DCN,2.729250993937474
DERL3,0.8248980356043704
EFNA5,0.36320340611212815
EGFR,1.4099422512236013
EIF3E,1.2505546662842748
ELF5,1.4058666381558649
EPCAM,3.5167889186745267
ERBB2,2.6088220849341615
ERBB3,4.0860023810668284
ERBB4,1.0944914715184533
ESR1,3.3485061204863884
FABP7,2.0569393283745203
FAP,5.571055532800829
FASN,4.044862178302277
FAT1,1.5591134719084783
FCGR3A,1.7215255508657064
FCN1,0.6323378222978863
FCRL5,0.24377994837012817
FGFR1,4.390701762258093
FGFR2,2.613970969782037
FGFR4,0.8773807527903942
FN1,8.2011228792509
FOS,0.987423424557099
FOXA1,4.940138465420322
FOXC1,0.40365959038230914
FOXP3,1.0588498861327742
FXYD3,2.5783976142126646
GATA3,13.303584664780173
GNG11,0.4266168187629018
GNLY,0.5409469080782864
GPNMB,1.9146741193003556
GPR160,2.4287385662724854
GRB7,2.4124230230411623
GSN,1.8728012119353492
GZMB,0.4213347771885036
HIF1A,3.276742270920648
HLA.A,1.4171983296790298
HLA.B,3.7622853408433974
HLA.C,1.73113105496787
HLA.DPA1,0.38624107002338953
HLA.DRA,0.6115907156381654
HLA.DRB1,5.073995301227904
HLA.DRB5,1.3057260196465148
HLA.E,2.509535376304917
HSPB1,5.180503874081378
HSPG2,1.3458714264314409
ICAM1,1.7678207318985526
ICOS,0.04592638543987503
IFITM3,0.5791280998750152
IGF1R,2.756957906549735
IGFBP5,5.021181483239261
IL2RA,1.4200131764978698
IL32,2.0433202957036904
IL3RA,0.5691380831574373
IL7R,0.38908100891444114
ISG15,0.5334479862435783
ISG20,0.769910894133249
ITGA6,1.3041852691209215
ITGAX,0.9345269136073259
JUN,3.0279624355504766
JUNB,3.4922289898408643
KIF23,1.6595674505114062
KIT,0.3335539558991129
KRAS,2.8434229636303687
KRT10,0.9012130425305216
KRT14,0.40597122062529556
KRT15,0.3714875311026885
KRT17,0.3774998986195075
KRT18,4.833150260542324
KRT19,4.666844499269466
KRT5,1.2640068204395036
KRT7,2.3892915813920172
KRT8,4.828461042916252
LAG3,1.1164025935160007
LAMA1,1.283919582145343
LAMC1,2.8135290365994816
LDB2,2.8765120741091543
LGALS1,4.008812492978614
LGALS2,2.402518750424793
LGMN,2.1021436192631566
LILRB1,5.923029991384241
LRP2,1.5697715045543754
LST1,0.2909180231197322
LTF,0.1153882100349279
LUM,7.145366153855929
LYPD6B,0.8229175201165438
LYZ,0.5721404384219676
MAPK13,2.598196583111866
MAPK3,0.6008223443676286
MDM2,1.4647395239980283
MELK,2.017238395460032
MIA,0.31635230355053007
MKI67,1.4380407840992837
MLPH,3.00941758584609
MMP11,6.706862452789016
MMP12,0.09129489040425805
MMP9,0.8569988272929908
MS4A1,4.244027104108659
MSR1,0.6735408456902499
MT2A,0.48320345855863395
MUC1,6.026578689698884
MYB,2.7137434941545266
MYBL2,1.1710684021648994
MYC,2.2245295893682093
MYL6,4.779834402541892
MYL9,2.817375425208017
MYLK,5.75790974475459
MYO10,4.396816376865561
MYO5B,0.9776774750042115
MZB1,0.7815348061995266
"NAT1",1.265621251095358
NCAM1,2.6134140670230597
NDC80,0.5768260436206729
NDRG2,2.8779896333492263
NF1,2.62248317928702
NFKBIA,1.4780794077848582
NKG7,0.4337594070544773
NOTCH1,1.9897324163837589
NR3C1,1.046318365888718
NUF2,0.4896775182983932
OBP2B,0.5420694052945674
ORC6,0.7622930972706651
PABPC1,4.776018123936476
PBK,0.9275759492714707
PDCD1,0.28150628539018707
PDPN,2.9843056797004874
PDZK1IP1,0.5704684788471769
PECAM1,1.63893896565007
PGR,1.1260005019245445
PHGDH,2.5808213256363524
PI3,0.25968530082488095
PIK3CA,2.9496969171994363
PLEK,0.21543957158023697
PLVAP,1.0845047111076223
POU2AF1,0.22623213723996716
PRLR,0.4262691081609424
PTEN,3.1536347983117845
PTPRB,0.7370493578406275
PTPRC,0.6377513788099902
PTTG1,0.9108536791331234
RAMP2,1.3103954213389786
