target,imp
IL18,0.051467701624024295
SEMA3F,0.026522569140158624
TNFSF4,0.015555555555555555
IL20,0.09017232310878573
CTF1,0.0027425468966927368
IL12A,0.04791110073828011
RARRES2,0.05202235689120282
WNT2,0.06935438708115843
INHBB,0.009666666666666667
WNT4,0.010262252563067363
EDA,0.04312048593940822
CCL13,0.030360772160909266
BMP4,0.013122456077981966
WNT5A,0.0963504648651874
PTN,0.011689733792298464
CXCL12,0.012219356120179041
TRH,0.04001614274472331
GDF9,0.038452228264016834
GDF11,0.0982943167561539
TNFSF12,0.010569444444444444
CXCL1,0.02741092531571759
ANGPT1,0.012446143391097519
APLN,0.013216083938696546
CX3CL1,0.07199438676574232
FGF13,0.04529552420659315
GAL,0.08182073303041043
ANGPTL3,0.04539174303524885
PDGFA,0.022737132057627226
TGFB3,0.0687725488266381
CCL26,0.06499231073326914
IL15,0.054498670035517574
PTHLH,0.00917676178400243
PRL,0.09570603244781203
CCL11,0.03368032281338733
OSTN,0.03362070371948913
GDF6,0.08584485746114355
IL7,0.02738452049545779
WNT11,0.0058267939089840315
CLCF1,0.031530694721840564
NRG1,0.013333333333333334
CXCL10,0.042419213842581474
TGFB2,0.0608390456410843
EDN2,0.046451373188215295
PDGFB,0.037534562211981565
PGF,0.04038258573470286
VEGFC,0.026911764705882354
NRTN,0.04949045073961181
CCL4,0.035296584688612215
THPO,0.03349666558230319
IL16,0.08903801351708282
AREG,0.041175010832680776
INHBA,0.013187307263293771
GHRL,0.06385252369169514
SHH,0.030362497186274852
PDGFD,0.03952230062065606
CCL8,0.019940591815591813
CCL28,0.09546128164782917
EGF,0.07786336060042257
MDK,0.07526779478496563
BMP2,0.0566825745771741
BTC,0.09773094983445059
IGF1,0.019819673978019956
GAS6,0.02023528805104734
NTF4,0.029210722724685993
MST1,0.028237257073650723
CCL5,0.023528943089480333
AMH,0.00775609756097561
IL11,0.03910136083539131
TNFSF8,0.0569548672075741
PDGFC,0.011889631870537327
ADM,0.043312360114866603
CXCL5,0.02824894291754757
UCN,0.12055674411244283
FGF2,0.003724120441730627
NTF3,6.472809184243743e-4
TGFA,0.04813677098561293
GNRH1,0.05254787151916686
WNT3A,0.07202164861293127
TGFB1,0.005230090234708202
EDN1,0.01923570460915969
AGT,0.0893172195303106
FGF18,0.055736198884300654
FGF7,0.09082100595021196
BMP6,0.03677777777777778
CCL3,0.12284878944422598
IL1RN,0.007384615384615385
NRG3,0.046405391414207256
KITLG,0.010280100884469727
VEGFA,0.015709455414033548
TNFSF10,0.006809770128237375
BMP7,0.07439849850877268
IGF2,0.07491202991293225
HGF,0.010635172494864606
ANXA1,0.07242632213627113
WNT7B,0.04897177913923473
TNFSF13B,0.03031196999863219
PYY,0.017315999789684
PSPN,0.020165259141162756
BDNF,0.07656886910281059
TNFSF15,0.05075345376765081
FGF1,0.04020342365013849
CCL2,0.08186713286713287
TNF,0.02002286790345207
VEGFB,0.04059425685325184
NMB,4.94382391876042e-4
ARTN,0.053483443087915535
