target,imp
IL18,8.915608025289101e-4
SEMA3F,0.0054980694980694975
TNFSF4,0.038820356946304625
IL20,0.006596614127262113
CTF1,0.052347871455643506
IL12A,0.017745098039215687
RARRES2,0.036025769268184286
WNT2,0.009370689655172414
INHBB,0.018571428571428572
WNT4,1.8412444245680438e-4
EDA,0.026618532603619367
CCL13,2.6247281616584918e-5
BMP4,0.009444444444444445
WNT5A,0.023967051003627393
PTN,0.02171753246753247
CXCL12,0.07190555636407357
TRH,0
GDF9,0
GDF11,0.02761904761904762
TNFSF12,0.0988328483248506
CXCL1,0.05103257530576591
ANGPT1,0.03272727272727272
APLN,0.048696206467661686
CX3CL1,0.0057777777777777775
FGF13,5.260952513690227e-4
GAL,0.042414392912543855
ANGPTL3,0.04657998567461918
PDGFA,0.03261038073119114
TGFB3,0
CCL26,0.040999939966142394
IL15,0.005803087033744259
PTHLH,0.002478165938864629
PRL,0
CCL11,0
OSTN,0.057793059267802246
GDF6,0.010083349906317492
IL7,0
WNT11,0.039029120890519554
CLCF1,0.05634764961478181
NRG1,0.04025553835813282
CXCL10,0.029013049866044423
TGFB2,0.043565656565656564
EDN2,0
PDGFB,0.016302654513066145
PGF,0.07101277498980128
VEGFC,0.038794628977639925
NRTN,0.09508490928817043
CCL4,0.04077313536478247
THPO,0.004901960784313725
IL16,0.03322981893884221
AREG,0
INHBA,0.014285714285714285
GHRL,0.024474885844748856
SHH,0.023973645049818647
PDGFD,0.07291943135788063
CCL8,0.022105633148063738
CCL28,0.002503165960543857
EGF,0.04081545757355522
MDK,0.04872792813462625
BMP2,0.004666666666666667
BTC,0.011924160206718347
IGF1,0.018619753031639385
GAS6,0.017676530860338303
NTF4,0.058019875028202744
MST1,0.020577900692489933
CCL5,0.08891477891698531
AMH,0.06047145230070966
IL11,0.03378787878787879
TNFSF8,0.05129448366472209
PDGFC,0.019473132179541375
ADM,0
CXCL5,0.009230769230769232
UCN,0.02771587393707375
FGF2,0.06056143165668803
NTF3,9.405346426623022e-4
TGFA,0.018395989974937344
GNRH1,0
WNT3A,0
TGFB1,0.04294688622163902
EDN1,0.01929824561403509
AGT,0.002043177552101589
FGF18,0.0014233124691701373
FGF7,0.010005750667248065
BMP6,0.008333333333333333
CCL3,0.010532051282051282
IL1RN,0.020462916377142832
NRG3,0.10177187422868547
KITLG,0.0116976739251922
VEGFA,0.03642675691475824
TNFSF10,0.005214840559136163
BMP7,0.004950738916256157
IGF2,9.566225227963113e-4
HGF,0.029669992979110528
ANXA1,0.008333333333333333
WNT7B,0.017777777777777778
TNFSF13B,0.011566671139973601
PYY,0.04597788066504965
PSPN,0.03529411764705882
BDNF,0.046917710400033154
TNFSF15,0.047704456735722565
FGF1,0.061823672341120364
CCL2,0.07648239436619718
TNF,7.415348045955583e-5
VEGFB,0.050010331949649045
NMB,0
ARTN,0.04032778459379737
