target,imp
TNFSF4,29.998133160411353
IL20,29.625219425327995
SEMA3G,28.42826088545853
RARRES2,23.225351739107204
WNT4,24.35220480100026
EDA,26.864036255642063
CCL13,29.3002336354863
WNT5A,29.825475206693163
KNG1,23.192198210939104
PTN,21.89866683392479
CXCL12,22.055171012477228
GDF11,20.316930778859405
TNFSF12,18.03608226251232
HBEGF,33.00706607312848
ANGPT1,20.233361072089828
APLN,26.97221409400218
FGF13,40.90095196673335
LGALS3BP,20.400716908097692
LAMC2,24.17531462023565
PDGFA,26.292630784027374
SLIT3,18.615813421531882
PTHLH,19.098717852639197
RLN2,26.72240696777357
SAA1,23.44448798321694
APOE,28.462603953598588
LAMB1,32.574570245813845
WNT11,23.659678806032318
SPP1,44.89830678664328
SLIT2,37.193554991046746
RGMA,22.495961524371996
S100A8,30.1885445670742
EDN2,23.180373159733463
DKK2,35.13664872315373
EFNA4,20.15470278569684
SEMA3E,30.171645365303398
NRTN,27.02278052582135
CCL8,28.22885853981129
PTH,26.022531256023125
BTC,27.1346000961722
IGF1,23.07559359387514
CP,24.655183140925814
FBLN2,28.41690847044721
NTF4,57.58479800892928
HP,19.345407051270485
THBS2,22.733894857955438
MST1,23.64461781324017
ORM1,23.516343278587172
VCAN,24.987698365729447
DCN,22.671338300218544
MFGE8,23.960158797198595
CCL21,26.67304779774157
IL11,19.65385980751023
PDGFC,25.534913273484253
ADM,27.06683670235631
NTF3,26.738547424267335
GNRH1,23.91652381691822
ZP3,29.630619842242524
EDN1,36.18461053129789
AGT,29.986793825877122
EFEMP1,22.76782228434005
FGF7,25.345331694071223
NRG3,36.58616356073467
KITLG,22.162713852090857
APOB,21.6782496797654
BMP7,32.238200650078646
IGF2,34.58756368975231
ANXA1,32.313097154427226
WNT7B,25.60669746244209
CCL2,29.16662009261036
NMB,28.002855105940206
VCAM1,25.733089553842706
LTB,23.041592783794858
WNT5B,29.156242148634245
WNT2B,21.63550517646828
C3,27.393837833863927
F8,30.005899275785026
TIMP1,36.87718157707376
COL5A1,27.44456330752091
COL5A2,31.808518788892325
SERPINC1,27.78181349369663
BGN,25.591859099387584
COL8A1,18.63948124587236
ALB,24.33463124944212
MMP7,26.50244242615609
VIM,36.00256321550854
F10,23.06782138914332
COL11A1,23.22093236830455
"NAMPT",24.71280823736445
FGA,16.697526894222822
FGB,29.22507402077334
FGG,22.732624376972076
FN1,41.118921727322004
COL3A1,32.44186914328943
COL1A1,31.43762166885772
TFPI,25.832211722173614
COL4A1,27.631151354399066
COL1A2,35.793440018004915
CD86,35.95536669020385
FBN1,30.90704359999953
MMP9,24.91099256253766
COL4A2,27.567999711164166
COL9A1,27.781813457271937
COL9A2,21.65742531098112
SERPING1,22.32557991174081
COL2A1,23.768437374999664
MMP13,21.098417373615025
RGMB,29.350644082380068
COL6A1,19.506582903873426
COL6A2,24.066438995028538
ADAM17,25.407244646124056
