target,imp
TNFSF4,4.063800178818649
IL20,0.14448112289012877
SEMA3G,4.112536998609285
RARRES2,7.054587381254593
WNT4,1.55385900803415
EDA,2.369172341080871
CCL13,7.031376184752906
WNT5A,2.2421112290359773
KNG1,4.717626353774533
PTN,0.3557942781543359
CXCL12,7.293733373258109
GDF11,9.09119264410902
TNFSF12,5.131986327068976
HBEGF,2.6540102711939193
ANGPT1,3.480131184400211
APLN,3.1887437451827143
FGF13,2.419497419375329
LGALS3BP,6.105865290428398
LAMC2,12.40386694928418
PDGFA,6.387609518334099
SLIT3,0.0727276179341911
PTHLH,6.024160098002144
RLN2,1.7889755003833876
SAA1,8.866171997760011
APOE,6.414694219473055
LAMB1,10.639089674766737
WNT11,4.50379911881573
SPP1,10.144540391604624
SLIT2,7.735262334778114
RGMA,2.3220804367460346
S100A8,10.763059145431065
EDN2,6.223557298267292
DKK2,8.712884456044353
EFNA4,10.586227510693027
SEMA3E,3.3192133087337736
NRTN,1.34275232733872
CCL8,5.272535043006766
PTH,6.40868124122775
BTC,1.7261286115906775
IGF1,6.645635358990695
CP,1.866847793221934
FBLN2,3.2076637183177272
NTF4,3.135523181714134
HP,1.3335103894249272
THBS2,10.246489965433305
MST1,7.584003902070842
ORM1,3.350399321096612
VCAN,2.6013991832706047
DCN,11.031919948065912
MFGE8,6.027574252639449
CCL21,5.273725317879001
IL11,1.8633929668214915
PDGFC,9.144400095073467
ADM,1.9740149785259633
NTF3,1.729129533150276
GNRH1,2.842617122369221
ZP3,4.682422780272743
EDN1,0.11556994633492292
AGT,9.919862042682526
EFEMP1,1.0179263792242097
FGF7,1.871899769355928
NRG3,8.250376321944378
KITLG,8.733283123343714
APOB,7.8908177049079935
BMP7,3.019840235294188
IGF2,5.099108857760303
ANXA1,4.513617157742362
WNT7B,8.57942529644395
CCL2,0.8675519916654666
NMB,7.2180568467077775
VCAM1,3.2205695475044864
LTB,4.508383034397194
WNT5B,1.5087080566390543
WNT2B,2.7523493063551427
C3,5.902141685938974
F8,0.24626403874461694
TIMP1,4.399499760933282
COL5A1,1.1005841872560176
COL5A2,8.15888373655302
SERPINC1,8.046331532917439
BGN,7.53848748325158
COL8A1,8.168785110797572
ALB,2.727058695007295
MMP7,7.613857151573345
VIM,4.87175607812409
F10,2.6423426563115475
COL11A1,11.417200598149272
"NAMPT",3.6571831498319773
FGA,1.3503089309825396
FGB,4.0704081605154485
FGG,0.948040937011058
FN1,15.087398688899524
COL3A1,6.202587942830552
COL1A1,7.498144767141181
TFPI,5.466318742990301
COL4A1,7.924225658683721
COL1A2,9.58892835747789
CD86,19.032653376901656
FBN1,8.647331475001966
MMP9,6.095189050948187
COL4A2,8.441244800691809
COL9A1,6.6677473787700485
COL9A2,1.9112092054445287
SERPING1,4.723717279939233
COL2A1,2.138402580167761
MMP13,4.72800197805987
RGMB,14.676841117434527
COL6A1,15.49687940111157
COL6A2,7.882112446160456
ADAM17,5.748385056492046
