target,imp
TNFSF4,7.890757006676461
IL20,12.602535425066234
SEMA3G,6.461781750128053
RARRES2,4.184503676425776
WNT4,5.3368850851280465
EDA,3.484563482723427
CCL13,5.4067289465075445
WNT5A,3.8903310486315394
KNG1,5.2650747117935905
PTN,5.425554010007798
CXCL12,1.644022793491788
GDF11,4.6200062121130525
TNFSF12,5.480493474725844
HBEGF,3.447762681855311
ANGPT1,2.702189708354208
APLN,7.174789074685492
FGF13,4.9053107744409905
LGALS3BP,1.9288069867359356
LAMC2,7.514367310406741
PDGFA,3.446205558269434
SLIT3,4.2410904081258956
PTHLH,2.1998805555884657
RLN2,7.89726864221372
SAA1,25.804032369286926
APOE,6.915428850306961
LAMB1,4.039362209954458
WNT11,4.871533691404533
SPP1,17.297834621763737
SLIT2,1.3201773641206214
RGMA,4.344678267211168
S100A8,3.907521649434062
EDN2,7.118027415033793
DKK2,5.354088863220254
EFNA4,0.1571026802186886
SEMA3E,0.21112796912823387
NRTN,35.30655114246587
CCL8,4.929425324894842
PTH,6.823343825824017
BTC,3.8400486308298114
IGF1,3.17425502999381
CP,1.9970863041579592
FBLN2,2.0931138250432553
NTF4,3.082900615812745
HP,4.766443613539793
THBS2,4.437669235637981
MST1,5.954300567933437
ORM1,3.011951003906881
VCAN,14.62677235616409
DCN,15.609740975888386
MFGE8,13.761855790257114
CCL21,3.9436674095939095
IL11,3.064305904548486
PDGFC,1.827906067267379
ADM,6.901488496652264
NTF3,4.104284041101065
GNRH1,6.872710142961649
ZP3,5.752072063460538
EDN1,11.009661409588919
AGT,0.5763645536108796
EFEMP1,2.3346132969379476
FGF7,5.723577578998166
NRG3,27.74203488645469
KITLG,5.526154049541986
APOB,2.711019486945582
BMP7,1.0952709612039713
IGF2,1.8017448670331822
ANXA1,8.984929654331786
WNT7B,4.318566995141616
CCL2,3.1718751747936165
NMB,4.6318668652106565
VCAM1,10.602480798053236
LTB,4.778393724666178
WNT5B,0.4999240683495067
WNT2B,6.886830283878275
C3,2.600994950519771
F8,4.500155700577639
TIMP1,3.475138828428881
COL5A1,10.228355924476816
COL5A2,1.3552005277549437
SERPINC1,4.852415531568
BGN,4.039930381941483
COL8A1,4.349080333222887
ALB,10.997111084855181
MMP7,2.379982515904056
VIM,0.8965678346778715
F10,5.275524752231211
COL11A1,1.9864614664964286
"NAMPT",3.256425615090223
FGA,4.126361053573245
FGB,5.220904740667314
FGG,8.433029099178682
FN1,6.988654735695077
COL3A1,5.175176035770991
COL1A1,2.1192609171053944
TFPI,4.21316871055998
COL4A1,7.49649461316483
COL1A2,7.211203127205051
CD86,3.36152427165206
FBN1,2.590304480848857
MMP9,1.9981214949739812
COL4A2,2.381325711410702
COL9A1,3.1439024439340155
COL9A2,5.427403379298324
SERPING1,1.151055014024567
COL2A1,6.14307006654068
MMP13,3.988973912122856
RGMB,6.136057928431079
COL6A1,9.607605281171827
COL6A2,1.0728266239553725
ADAM17,6.025876944830908
