target,imp
TNFSF4,17.732558451326785
IL20,29.502451286742357
SEMA3G,28.826449122904464
RARRES2,34.445239018699205
WNT4,21.372407120428733
EDA,21.403108671743087
CCL13,28.81334547515784
WNT5A,17.939733095153294
KNG1,22.878511042108492
PTN,15.38035174661764
CXCL12,18.197769980802654
GDF11,24.606544780332055
TNFSF12,43.83622534157802
HBEGF,9.948425094820852
ANGPT1,15.6693324883262
APLN,23.57439208556864
FGF13,37.24095789161332
LGALS3BP,7.168138508060195
LAMC2,22.39590446663096
PDGFA,20.64988713096756
SLIT3,20.91409211798803
PTHLH,19.08726941783261
RLN2,23.06264801776711
SAA1,29.093874954201123
APOE,25.89384753051739
LAMB1,19.965637066460282
WNT11,23.473452498204455
SPP1,19.272782135838348
SLIT2,23.01127849321823
RGMA,8.924690063574934
S100A8,18.572694500868494
EDN2,25.1835472300653
DKK2,17.31632133041846
EFNA4,20.90347058495387
SEMA3E,32.91416249496827
NRTN,39.81772419609658
CCL8,12.156886441445533
PTH,38.14796001774224
BTC,16.351289290939544
IGF1,37.13683201373144
CP,19.591679133286984
FBLN2,25.69297685697355
NTF4,26.091815694869624
HP,19.46257896000071
THBS2,22.892551592327653
MST1,7.9062444773376015
ORM1,23.290383789786183
VCAN,19.875282440786304
DCN,19.65923931550446
MFGE8,34.59108648600256
CCL21,17.823814393376896
IL11,11.458995799483654
PDGFC,21.759159560755908
ADM,15.02678927694358
NTF3,16.970187844314324
GNRH1,18.75929503019811
ZP3,13.706229001238624
EDN1,14.220297793279997
AGT,22.31963088342567
EFEMP1,16.315657561082073
FGF7,16.333546257886624
NRG3,18.673113653652255
KITLG,23.220888399570384
APOB,28.378414171212956
BMP7,14.507015224647681
IGF2,39.47062909859175
ANXA1,27.68311182562573
WNT7B,22.020272386774483
CCL2,17.76271899174286
NMB,10.40969167533195
VCAM1,22.149552344228997
LTB,29.00430436223733
WNT5B,13.363233101090334
WNT2B,13.166299584486206
C3,24.814169495341307
F8,18.05907017623839
TIMP1,20.605416562534643
COL5A1,18.435284575927852
COL5A2,26.373326528881226
SERPINC1,27.9513665208004
BGN,23.748511814810232
COL8A1,21.721081276321378
ALB,21.49463544404648
MMP7,52.86555422136513
VIM,24.355625847787678
F10,10.1374576880904
COL11A1,30.776879877625785
"NAMPT",26.91453253450692
FGA,13.644080372935118
FGB,29.51152253820812
FGG,32.266631680636785
FN1,23.786297102853208
COL3A1,29.560885300236308
COL1A1,52.43327294283973
TFPI,38.45324204162834
COL4A1,35.68982063780299
COL1A2,23.019692461604688
CD86,29.47182393589411
FBN1,25.982092156465193
MMP9,17.663666592335268
COL4A2,20.33370021478707
COL9A1,27.624718519228804
COL9A2,27.87699047716255
SERPING1,30.378292082635685
COL2A1,31.68302178079016
MMP13,15.327336370073041
RGMB,26.13024709331907
COL6A1,39.41008333684402
COL6A2,11.06495128165335
ADAM17,26.939541502039518
