target,imp
EDNRA,0.4911271112624167
CDON,2.5522446994584447e-4
IL20RA,0.09460821054416352
CD47,0.05440353015657311
UNC5D,0
PTGIR,3.3083683440616617e-4
IL13RA1,0.1317216669160477
ACVRL1,1.6835016835016827e-6
EPHA7,5.896526808759139e-4
LRP4,3.710107073689843e-8
TYRO3,4.2351975559055407e-4
CD46,0.047113522116678866
BOC,2.377200403554206e-5
ACVR2B,0.003230878623625384
SELL,0.0917322889257381
EDAR,1.5789473684210575e-4
C5AR1,0.18462234603822306
ADIPOR1,0.002565994563108055
LTBR,0.015206985568748608
ACVR1,1.739934278508335e-4
RAMP2,0.002412683788623629
BMPR2,0.154344536536151
OPRD1,8.933615849417907e-4
LPAR2,0.07515403992995351
LGR6,7.794818424684962e-5
CMKLR1,2.7255282491608327e-4
LRP5,0.00157085918202401
GIPR,0.07811758563819966
IL10RA,1.5670218634525815e-5
ROBO1,0.0029828425240957974
RET,7.360625680125268e-6
PLXND1,9.595972089493307e-4
FGFR1,0.03232027840026901
IL11RA,8.356790992258972e-6
ROR2,0.001499399179094304
RAMP1,2.0551035922539012e-5
CD27,0
ROBO2,1.8570507025954307e-4
NOTCH2,0.16383019627032527
PTPRU,0.0013975637850883313
IGF1R,0.0047594115941489365
LRP1,0.0021758244606135575
ACKR3,6.852781028314025e-4
ADORA1,1.308471919664205e-4
IL1RAPL1,0.0019149479162235573
CD93,3.4910890917031005e-4
SCARB1,4.00489754467184e-4
OPRM1,0
ACVR1C,0
FLT3,6.379585326953749e-6
SMO,3.9163058515277086e-6
ITGA6,0.0015311924389680147
EPHB4,0.26284025588981885
IL3RA,2.216617099392457e-5
ITGA3,0.0010199014547786938
OSMR,0.23783162771973435
ITGA4,4.7265197220417136e-6
SCARF1,7.608113653195629e-6
MC1R,1.3710718390884684e-4
DDR2,8.962946237045306e-5
PLXNB2,0.33971641901030397
IFNAR1,0.07026960678029825
EPHA4,0.001447020919749943
FPR3,0
PTPRF,0.18538310720070705
IL27RA,0
BDKRB2,1.6945951311879401e-4
TNFRSF4,2.227798962902386e-5
GFRA1,0.11163271205314622
ITGAL,0
TGFBR1,0.0236443164433424
LRP6,0.09965655935624895
F2RL1,4.705242006337198e-5
EPHB3,0.00598785436028252
CD36,2.559679405043322e-4
TACR1,5.795455790139104e-4
CSF2RB,1.146688081700492e-5
MUSK,1.0332779959971602e-5
ITGB1,0.004009675508132775
ITGA2B,2.900982693592e-7
VIPR1,2.4423738645623622e-5
PLXNA1,5.320100060564409e-5
CNTNAP1,0
EPHB1,3.236124078400044e-6
IL2RA,2.4937313827366054e-8
ERBB4,0.004626564659428218
OPRL1,1.2794984469175304e-4
C5AR2,0.036182573576426146
TNFRSF10B,0.05325362167496273
FGFRL1,0.002258013425424282
FSHR,0
IL12RB2,2.5655576605577535e-4
PTCH2,3.2534484470134337e-6
FZD2,0.0014402867620553217
ATP6AP2,0.16992883492190644
ITGB7,2.685414802434775e-7
ITGB6,9.074072959097719e-4
PLXNA3,1.210511968811702e-4
TGFBR2,1.3790007099779245e-5
LPAR4,2.122464606302523e-4
PDGFRA,4.391447580428858e-5
IFNGR2,0.06772514079593947
ITGB2,6.025410350676219e-4
FZD1,3.9621754097161584e-4
ITGAE,0.00234510443298195
NOTCH1,3.0206205451716343e-4
NOTCH4,6.316988462840892e-4
AXL,0.0021203854858186594
TNFRSF14,0.002785824320316637
TIE1,5.853597305357314e-6
INSR,0.0025628620310210203
ITGAX,2.1153357416733313e-6
GRPR,3.361580328816049e-5
EPHB2,1.5166835187057637e-5
C3AR1,2.6728487216667803e-4
ITGA9,3.0026292131848014e-4
TNFRSF10A,1.2030330221166906e-4
FPR1,1.9992334271025673e-6
OXTR,6.12494915104261e-5
ITGA5,2.5028736729071765e-6
ITGB4,8.81622559744475e-6
IL18R1,2.659393969450096e-6
ITGB5,0.15812233785187174
CELSR1,0.001192823416983734
ITGA11,0.0011187412847856863
PTPRB,5.672487507197595e-5
FZD4,9.321881966522561e-4
PDGFRB,1.4156671714541313e-4
DCC,0.002136123994091301
PTPRM,7.925811761250842e-4
FZD5,3.6147708340489293e-6
IL1RL2,1.2625375418171095e-5
ITGAV,7.135056468207608e-4
LRP11,0.007645474539321645
NPFFR2,3.643166651353675e-6
NTRK2,3.726778090060024e-4
MARCO,5.131866754659244e-4
ITGA10,1.393204232360747e-4
ITGA1,0.0014517929603483724
TNFRSF12A,0.0035753673483099263
ROR1,0.07190247139324571
ITGA2,7.939915925343953e-4
UNC5C,0.004109760705700894
PLXNC1,4.916650635285357e-4
SDC2,5.088091589276845e-4
TNFRSF11A,5.027306601525457e-5
EPHA6,1.858554182436919e-4
TNFRSF8,5.833357551671742e-4
TNFRSF19,0
IL2RB,0
TNFRSF21,2.782199537420341e-4
NOTCH3,0.0012358576989239213
HTR2C,1.7083659374741838e-5
LGR4,0.0019381068162448761
ITGB8,9.131262533487815e-4
ERBB2,0.0020100018198687787
LHCGR,3.8745471145035834e-4
TACR3,3.534798534798533e-4
ACVR1B,4.482966538278593e-4
ASGR2,1.4444722006696467e-6
NTRK3,0.13682036689255436
LPAR1,0.052708723364152395
ITGA7,1.4194276642618797e-4
FZD6,1.2004310233738998e-4
IGF2R,0.09889524485973103
ALK,3.336530336758086e-4
IFNLR1,3.505346507519994e-4
ROBO4,0
THBD,1.3550135501355003e-4
IL10RB,0.002246039478306321
RTN4R,1.2892905387358033e-4
MERTK,5.968816459753439e-6
FZD7,0.007103725685516831
CD72,2.8098597594464236e-4
CD74,0.10152522878605094
KISS1R,0.0025988103402653302
LILRB2,3.6491533997150815e-6
CD4,1.5015015015014954e-5
RYK,0.1998931243579396
TLR2,1.3035230034187385e-4
PTH2R,1.2300720370254692e-4
CSF1R,0
F2R,0.0020830476074529015
LDLR,4.179119732693923e-4
GPR39,3.661698472775618e-4
IFNGR1,0.004171427085839394
ITGAM,1.191071220065261e-4
MST1R,7.612029980593201e-4
ACVR2A,3.4155524806493915e-4
EPHA2,0
TLR4,1.3433368692747274e-6
RXFP1,2.4768865159821583e-6
GPR37,2.5875587777346248e-6
NPR1,0
PLXNA4,2.6665405592059653e-5
UNC5A,0
GRIN2D,6.307633457874873e-5
IL17RC,6.309835422209864e-4
GPR37L1,4.4020317281404385e-5
EPHA1,2.545581112856473e-4
NRXN1,5.958693847672669e-4
BMPR1B,0.1532286838864213
NPY1R,0.05799796104022858
HCRTR2,1.1494252873563218e-5
ADIPOR2,0.010344773215246359
BMPR1A,0.003004938845328179
IL20RB,2.4435113500361936e-4
GRM5,4.6199840633713163e-7
PROCR,8.900679194524112e-6
CCR10,6.747638326585689e-6
UNC5B,0.3277553241028633
NPR2,5.519702034584473e-4
CXCR4,0.06972912849720649
TNFRSF10C,1.802576623761541e-4
FZD3,1.4246703368352476e-4
PLXNA2,0.0012156642505530015
NPSR1,0
CCR3,0
PTPRG,0.0035902042110502724
SDC3,1.2116188150942857e-5
PTCH1,4.7465159809083503e-4
VLDLR,9.523350148602357e-5
KLRG1,4.408105984816928e-5
FZD8,9.806820195705284e-7
IL6ST,0.014539087359893565
LIFR,7.172881438625452e-5
IL1RAP,0
FLT4,6.741472472497791e-6
EGFR,0
IFNAR2,0.0016938528213584967
NRP1,0.0024876055848683134
NRP2,2.9114813989305333e-4
PLXNB1,0.016829311870784184
IL4R,0.0018145384546656782
CD44,0.0033543724568842435
ERBB3,0.23887520640764953
IL15RA,7.477771090107455e-5
