target,imp
IL18,0.03777221338344666
SEMA3F,0.062090870887656996
TNFSF4,0.05006265667900344
CTF1,0.0013020282897751685
IL12A,0.048363771301096266
CSF1,0.04970079534807823
RARRES2,0.02261780322984437
WNT2,0.06667312101894829
INHBB,0.01217381834913946
WNT4,0.02285304805755259
EDA,0.009273902993737464
CCL13,0.10843516703320978
BMP4,0.07707922084223479
WNT5A,0.0024899044484075514
PTN,0.055156952149596324
CXCL12,0
TRH,0.019249493032221458
GDF9,0.09214658730831127
GDF11,0.0022920057722040426
TNFSF12,0.049449898965816114
CXCL1,0.02909088304395164
CCL7,0.05999707842947661
HBEGF,0.03893623524296137
ANGPT1,0.10412865106710227
APLN,0.03100330725342678
CX3CL1,0.019553175981166477
FGF13,0.052378202765761765
GAL,0.02846821877309682
ANGPTL3,0.04874127216869153
PDGFA,0.0096
TGFB3,0.08518730122405016
IL15,0.04097549259744203
PTHLH,0.04142379359770665
PRL,0.11558738551910411
OSTN,0.0019256158800538426
GDF6,0.07811548600341062
IL7,0.032817460317460315
WNT11,0.09131551214485999
CLCF1,0.03830146280518489
NRG1,0.014213493975903616
CXCL10,0.02783517462845361
TGFB2,0.03253328775865642
EDN2,0.03866900753819866
PDGFB,0.15781370752305332
PGF,0.08870597224602923
VEGFC,0.1356226864729785
NRTN,0.10353336471638737
THPO,0.009523809523809523
IL16,0.09460418495968857
AREG,0.04078835446881185
INHBA,0.05198511585809646
GHRL,0.04708337572067538
SHH,0.03464461369901746
PDGFD,0.028392857142857143
CCL8,0.05225859888285731
CCL28,0.038469673287160555
EGF,0.09294933196318211
MDK,0.07500392170775101
BMP2,0.24255807097117404
BTC,0.04397095306939867
IGF1,0.039452941176470586
GAS6,0.07086975694634699
NTF4,0.021416188563778926
MST1,0.029657767010734807
CCL5,0.07167086834733893
AMH,0.015334008256581275
CCL21,0.06760601190448426
IL11,0.05885391428579153
TNFSF8,0.04251968866775807
PDGFC,0.004714285714285714
ADM,0.06143668269942678
CXCL5,0.013218368143294312
UCN,0.0794830924080513
FGF2,0.021473650402357637
NTF3,0.033568122012496364
TGFA,0.08247645374159532
GNRH1,0.014726124191842755
WNT3A,0.059826013689137314
TGFB1,0.08749387273850882
EDN1,0.0971924951584107
AGT,0.014817579072542561
FGF18,0.09877590038106375
FGF7,0.07539323927982669
BMP6,0.10052454834421817
CCL3,0.04545451371440277
IL1RN,0.07983328282566288
NRG3,0.04828090030502311
KITLG,0.0456161368335459
VEGFA,0.0653763341839046
TNFSF10,0.017927654974332897
BMP7,0.051659288354849765
IGF2,0.0036946564885496185
HGF,0.02123462478138806
ANXA1,0.0623393926347511
WNT7B,0.131844656029752
TNFSF13B,0.04059484059699267
PYY,0.07267591796634545
PSPN,0.10309632758616713
BDNF,0.03652734482991475
TNFSF15,0.0046875
FGF1,0.09838890484044507
CCL2,0.03739177489177489
TNF,0.09659015746642108
VEGFB,0.0018191343466462018
NMB,0.05448130157363908
ARTN,0.009887046053966321
