target,imp
A2M,0.3224235580058892
ADAM17,1.5558252803787007
ADM,2.172985101655377
ADM2,0
AGT,1.3522943321475172
ALB,2.690997731685985
AMH,0.0211553174111375
ANGPT1,0
ANGPT2,2.250508027125379
ANGPTL1,0
ANGPTL2,0.1706882213303339
ANGPTL3,0
ANGPTL4,6.366825462405607e-5
ANXA1,2.2626731762765617
APLN,0.10735991471981125
APOB,0
APOE,6.642455024874063
APP,8.255018859248151
AREG,0.00495407756424455
ARTN,0.055747983676398036
AZGP1,1.7370499844494907
B2M,20.82477427206688
BDNF,0
BGN,0.5510058465965817
BMP1,0.700157550680688
BMP2,0
BMP4,0
BMP6,0.008241460332989402
BMP7,1.0260969100402848
BMP8A,0
BMP8B,0
BTC,0
C1QTNF5,8.74528722345996
C3,0
C5,3.1627367797394443
CALR,8.487865688064044
CAMP,0
CCL11,0
CCL13,3.670413179119231
CCL18,4.631625803223525
CCL2,0.011664102866374572
CCL21,0.931281808224818
CCL28,0
CCL3,0
CCL5,8.495470502999935e-4
CCL7,0
CCL8,0.04474795046451753
CD55,0.3460466493491791
CD5L,0
CD86,9.125374691499788e-4
CFH,0.007639782210283439
CGN,0.17043935874390506
CKLF,1.4129877455678435
CLCF1,0.0021953546129261934
CLEC11A,0.01888275742091653
CNTN4,7.1429235321468e-4
COL11A1,0
COL14A1,0.03716938523939836
COL18A1,1.4700841743617883
COL1A1,12.539208807816072
COL1A2,10.174095930565095
COL2A1,0
COL3A1,2.716688669696715
COL4A1,1.2315338178296218
COL4A2,1.1438129499458685
COL4A3,0.001890534557105814
COL4A4,0
COL4A5,1.3957334108353594
COL4A6,0.006791536260001991
COL5A1,1.9949683700668694
COL5A2,4.342817830417253
COL5A3,0
COL6A1,0.05376163929343109
COL6A2,1.0965123270345394
COL7A1,0.7238899402432601
COL8A1,1.2954841550625034
COL9A1,0.006913114296371941
COL9A2,0.053990220706669693
COL9A3,2.353409595186662e-4
COPA,2.501462850500549
CP,0
CRLF1,0.574330344943305
CSF1,0
CTF1,9.017067119508893e-5
CTGF,0.004891181851240126
CX3CL1,0
CXCL1,0
CXCL10,0
CXCL12,2.9214538420174576
CXCL17,0.011400606907499118
CXCL5,0
CYR61,0.10205619781268624
DCN,1.670663196163941
DKK2,0.023333686370539543
EDA,4.433875789072476
EDIL3,0.016988974924468818
EDN1,0
EDN2,0.5583163947349667
EFEMP1,0
EFEMP2,0.8485078362379432
EFNA1,1.0650818029998568
EFNA4,1.2015625990833557e-5
EGF,0.0011935298397516177
F10,0.0019987164559890935
F12,4.219889103506097e-5
F13A1,0.009062912626237662
F7,9.208512734990745
F8,0.05057692670963178
FAM3C,3.1471923095726853
FBLN1,4.950051752594133
FBLN2,0.03584154701520873
FBN1,0
FGA,1.3860343093894791
FGB,0.007924684436271865
FGF1,3.777732165171674e-4
FGF12,0.12334216391497531
FGF13,5.03081013796486
FGF14,0
FGF18,0
FGF2,0
FGF7,0.047779698575633106
FGG,0.13631958651631002
FGL1,0.002893878590386487
FN1,6.212886648130178
FST,2.8369397974784826e-5
GAL,0.19067112755838728
GAS6,7.878901999496375
GDF11,8.326048626292038e-4
GDF15,0.12611722660616892
GDF6,2.3460383703336007
GDF9,0
GHRL,0
GNRH1,0.004941854208198464
GPI,13.222722564836566
GREM1,0
GRN,2.119058323900485
HBEGF,0.0014466699219592317
HGF,0.0015607064260969373
HLA.E,2.3269410102379813
HP,8.664950053401643e-4
HSP90AA1,19.94725516672062
IGF1,0.09905290895981363
IGF2,0.34121354895424344
IGFBP4,3.7126771922311366
IGFL2,1.6072152231077497e-5
IGFL3,0.0018034211207926787
IL11,0.0010476864996111302
IL12A,0
IL15,0.04260147559720877
IL16,0.8153704347089276
IL18,0.002695762238836067
IL1B,0
IL1RN,0
IL20,0
IL33,0
IL7,7.634586025492607e-5
INHBA,2.887111730132316
INHBB,0.783804520138012
KITLG,3.0050550012680893e-5
KNG1,0
LAMA1,0.019852684840480642
LAMA2,0.02611035628546561
LAMA3,0
LAMA5,3.528234159453496
LAMB1,1.3006409466638786
LAMB2,4.221504724456845
LAMC2,4.997559195077562
LEFTY1,0
