target,imp
ACTA2,1.1757843886897923
ACTG2,1.6752176057311479
ACTR3B,1.9128849003241735
ADGRL4,1.2214326604032553
AGR2,1.2450442275782176
AHR,1.5943409898527054
AIF1,1.8603677068206361
AKT1,1.71460981752422
ALDH1A3,1.6636508574108142
ANLN,1.2250029185497915
AP1M2,1.207005467857461
APOC1,1.0351072600581348
APOE,1.7338269564838158
AR,1.3856646361269613
AURKA,1.2162337805340504
AZGP1,1.173465193657287
B2M,0.9854992982401763
BAG1,0.9017940359147399
BANK1,1.3317742143368039
BCL2,1.9431872380695103
BGN,1.2465835242266836
BICC1,1.1732214726917705
BIRC5,1.1797895399971103
BLVRA,0.632246034333197
BRAF,1.5528884475099642
C1QA,1.5349099870378138
C1QB,0.918721205686916
CALCRL,2.0718648396020423
CAPN13,1.711962291928973
CCL2,1.1723505583901108
CCL3,1.746134115786781
CCL4,1.2133966029611556
CCL5,1.5489456645590371
CCNB1,1.1955359941916794
CCND1,1.2140368902010144
CCNE1,1.853694326621618
CCNE2,1.381002993192233
CD14,1.8324344518570432
CD163,1.463831628472316
CD19,1.4611323378926722
CD2,0.9758808331210258
CD24,1.1889564627702054
CD274,1.4488011097449907
CD34,2.3978228954436296
CD36,1.6578697430254505
CD38,1.316254369219028
CD3D,1.053803644629427
CD3E,1.020325665387754
CD3G,1.5999357887988443
CD4,0.7093604126237882
CD40,1.4949938274205332
CD40LG,1.6167947645414367
CD44,1.4397269136404904
CD5,1.8721300519700523
CD63,1.3428158952601654
CD68,1.9434725497371204
CD69,1.1829686992867672
CD7,1.1612520501670374
CD74,1.4943702075796386
CD79A,1.483198807624425
CD79B,1.4314036447068164
CD8A,1.785925613005373
CD9,1.441864386462693
CD96,1.2322056627296187
CDC20,0.9981790344887314
CDC6,1.379458431776543
CDH1,1.2815629442035816
CDH11,1.1005237252641245
CDH3,1.4938406098661596
CDK4,1.448503712909873
CDK6,1.4389635286120184
CDK7,1.410809881574116
CDKN2A,1.7620552586925573
CEACAM1,1.1258741776610792
CENPF,1.5497759141117329
CEP55,1.283984464923574
CLDN4,1.713842284212314
CLU,1.741351370081494
COBL,1.2702575898400894
COL1A1,1.1056420379332528
COL1A2,1.1219346460077093
COL3A1,1.7503718646186266
COL4A1,1.0963964582654644
COL4A2,1.1130997759203758
COL4A5,2.1582412230639516
CR2,1.5212204161315541
CRABP2,1.1016950571898088
CSRP2,1.6864487993252584
CST3,1.3207302384403456
CSTB,1.3156573527772732
CTCF,1.012537859453903
CTLA4,1.6648596274651026
CTSL,1.322004171492306
CXCR5,2.131886137767757
CXXC5,0.9167210348118363
DCN,1.3830138483623136
DERL3,1.2568418323584336
EFNA5,2.7520252832952043
EGFR,1.6887911767323458
EIF3E,1.1452293463858632
ELF5,0.9700442485235437
EPCAM,2.072415492498858
ERBB2,1.2912829617283423
ERBB3,1.3798193139483603
