target,imp
ACTA2,35.406231651644816
ACTG2,2.6476291973443415
ACTR3B,21.573396062955577
ADGRL4,26.137490745618173
AGR2,31.200877502223506
AHR,37.98346373726591
AIF1,16.40273153306881
AKT1,108.9465032981887
ALDH1A3,22.409662617864242
ANLN,104.70411760609284
AP1M2,41.503100433087745
APOC1,31.955515685169775
APOE,20.991201883053954
AR,503.0666657322456
AURKA,40.48894222622903
AZGP1,448.45752141312073
B2M,93.57473780224056
BAG1,193.52300452762836
BANK1,11.624395252567481
BCL2,20.285516217077838
BGN,69.65083137210942
BICC1,19.6247679946147
BIRC5,25.76833402250953
BLVRA,36.862075412767936
BRAF,29.981166689585578
C1QA,20.270953132549415
C1QB,16.65323111979883
CALCRL,15.891885211646034
CAPN13,81.0342344865041
CCL2,4.576907648243819
CCL3,8.73344709697848
CCL4,3.3827919108686904
CCL5,13.836686189704903
CCNB1,40.892224117369665
CCND1,286.25992184309695
CCNE1,29.069126236423035
CCNE2,10.651651253874903
CD14,29.10574110842417
CD163,6.190063674621696
CD19,2.2029474869491796
CD2,18.052740156746353
CD24,420.15303654506744
CD274,8.219136106881741
CD34,17.119252000014157
CD36,50.16859331166829
CD38,16.339158093611605
CD3D,15.443748306318232
CD3E,8.547107979668013
CD3G,47.170803936928344
CD4,15.787526051488253
CD40,7.83985100737697
CD40LG,89.27120524004066
CD44,69.3819879428324
CD5,25.098813738082253
CD63,43.131859541720324
CD68,26.60347955592532
CD69,31.4635109693958
CD7,12.086970481403178
CD74,92.23361587214814
CD79A,53.173593831872516
CD79B,12.948435804383148
CD8A,19.15459488303156
CD9,76.2765532804245
CD96,8.882600463477393
CDC20,41.54559302948697
CDC6,83.69336161026095
CDH1,574.6750047724759
CDH11,20.02704894800745
CDH3,15.188621005688335
CDK4,88.77314630409106
CDK6,10.158228745634535
CDK7,41.586014137918006
CDKN2A,150.3116374236692
CEACAM1,25.27341501872525
CENPF,76.0455254771998
CEP55,38.16266317101003
