target,imp
EDNRA,1.4349900154812508e-5
IL20RA,3.726785156040681e-6
CD47,3.9180088946213195e-5
PTGIR,0
IL13RA1,9.597802248186946e-5
ACVRL1,0
EPHA7,4.479702910729435e-6
TYRO3,0
CD46,8.414656181275938e-5
BOC,1.1684406955337964e-5
ACVR2B,5.371163699200475e-6
C5AR1,7.73738306909488e-6
CCR1,6.604663761732232e-6
ADIPOR1,5.463537603045579e-5
LTBR,7.53681219582169e-5
ACVR1,3.652911470762994e-5
RAMP2,2.475309349411173e-6
BMPR2,4.7117533357976966e-4
LPAR2,4.5794206861716085e-6
LRP5,7.946230861619121e-6
GIPR,0
IL10RA,0
ROBO1,4.189966508724208e-5
RET,0
PLXND1,6.864670244660935e-6
FGFR1,5.800633169914226e-5
IL11RA,5.665451625104655e-6
ROR2,1.2705433383059653e-5
RAMP1,1.110246478442868e-5
CD27,0
ROBO2,4.2374831405029605e-5
NOTCH2,3.732321752617163e-5
PTPRU,2.0084187408563307e-5
LRP2,1.4279835252868978e-5
IGF1R,0.006046751677089659
LRP1,3.02012109968225e-6
ACKR3,1.092833471303561e-7
NPR3,1.4417630396267814e-7
ITGAD,0
SCARB1,9.394566552730811e-6
FLT3,4.162322507809052e-6
SMO,3.267973856209153e-5
EPHB4,5.713921294582288e-5
IL3RA,6.2691308788393235e-6
ITGA8,7.220128599278116e-6
OSMR,1.1672876345010879e-5
ITGA4,0
SCARF1,3.3523164127396392e-6
DDR2,0.0044598033659014056
PLXNB2,1.6229231525549263e-4
IFNAR1,1.2106316565161016e-4
EPHA4,1.2111466277829564e-6
PTPRF,1.538124166954406e-4
BDKRB2,3.947371320474447e-6
TNFRSF4,0
GFRA1,1.815723572228434e-6
ITGAL,1.2659450167678262e-5
NTRK1,2.1965212510484085e-6
TGFBR1,3.783169035452473e-5
LRP6,0.1515892206893914
EPHB3,0
CD36,6.915554142178735e-5
GRM1,0
TACR1,2.1331784670807188e-5
F2RL2,4.420174306717971e-6
ITGB1,5.165253057301423e-5
VIPR1,4.905519690756067e-8
PLXNA1,4.8086637739432064e-4
IL2RA,2.62497414757739e-7
ERBB4,5.723789492076903e-4
OPRL1,0
TNFRSF10B,7.826850632912386e-7
FGFRL1,0
FSHR,0
IL12RB2,1.2415251272829449e-6
IL5RA,8.662258539543283e-8
FZD2,4.785748782875207e-6
ATP6AP2,0.0011486952317338608
ITGB7,1.2403525775250424e-5
S1PR1,9.53456996705777e-8
ITGB6,4.14929384229928e-5
PLXNA3,1.1941704450618012e-6
TGFBR2,0
PDGFRA,1.62705898840066e-5
IFNGR2,5.046399313090288e-5
ITGAE,1.4711691067746367e-4
NOTCH1,1.8038066415204536e-5
NOTCH4,2.351319087528546e-6
TNFRSF14,8.145274100388856e-6
TIE1,1.532667257280446e-5
INSR,3.509808484313609e-4
ITGAX,3.722422501378185e-6
EPHB2,4.480429481956835e-6
ITGA9,1.5039977996826405e-5
TNFRSF10A,3.711582508134558e-7
TNFRSF9,0
NGFR,8.032309757998179e-6
ITGA5,0
ITGB4,5.4004404354849656e-6
IL18R1,2.5239140859644944e-7
ITGB5,1.8064972221389647e-4
CELSR1,3.246289033433365e-5
ITGA11,3.3694272390384965e-6
FZD4,1.9635881010028567e-6
PDGFRB,2.9384118790423165e-5
PTPRM,0.0016165843951360306
ITGAV,2.5931492607001607e-5
LRP11,2.6581840488077924e-5
NTRK2,4.216349783860242e-5
ITGA1,2.17954483284787e-5
TNFRSF12A,5.769280341257114e-6
ROR1,3.814821494918376e-6
ITGA2,2.8010825201682798e-5
UNC5C,7.048751974206742e-6
PLXNC1,1.8265070184615185e-5
SDC2,9.142686052974103e-5
TNFRSF19,0.0011115963982569537
PTGDR,0
CCR5,0
TNFRSF21,4.053115595947247e-6
NOTCH3,6.808209338820658e-8
LGR4,1.8091751534330675e-5
ITGB8,6.053224086152858e-6
ERBB2,0.10555247848521943
LHCGR,7.555549444189166e-7
ACVR1B,1.0569242122072229e-5
LPAR1,5.939439115335802e-4
ITGA7,9.314727985118243e-6
FZD6,1.106579028701313e-5
IGF2R,3.5904653800118957e-4
ALK,4.775107169314495e-6
IFNLR1,0
ROBO4,8.864002053039928e-7
IL10RB,1.6052671212971263e-5
MERTK,8.523996689044364e-6
FZD7,1.0845829778672247e-5
CD72,2.5572926205191456e-6
CD74,1.9787947783865244e-4
CD4,2.7097802847469055e-6
RYK,1.4077299470952777e-5
TLR2,7.273458476587989e-7
CSF1R,1.6969290294371366e-7
F2R,2.210260109658454e-5
LDLR,3.319798408678244e-6
GPR39,2.0321870251768333e-5
IFNGR1,3.415229087440195e-5
ITGAM,0
ACVR2A,6.183905740807016e-5
EPHA2,4.108643490265259e-8
APLNR,1.6125603748258956e-5
RXFP1,9.341637665554754e-6
NPR1,8.782043125666509e-7
IL17RC,6.871884376514206e-6
SELP,0
NRXN1,0
DRD2,5.485884818362411e-8
ADRB2,0
BMPR1B,0.0013497297469760923
ADIPOR2,1.5637996624000178e-5
BMPR1A,2.9887717170957784e-4
TNFRSF17,7.552301557549716e-6
GRM5,7.072623082545189e-6
PROCR,0
UNC5B,4.159174679529035e-6
CXCR4,1.7759768297979453e-5
FZD3,1.2788589338937806e-5
PTPRG,7.759234541824628e-5
PTCH1,2.0643409642215836e-6
VLDLR,2.590678972358139e-5
KLRG1,3.5711985188064713e-7
FZD8,3.522947314726324e-7
CSF2RA,0
IL6ST,4.718981082739413e-5
LIFR,2.8250879759664984e-6
IL1RAP,5.068305497572493e-6
EGFR,6.626895859931958e-6
IFNAR2,9.671319418529764e-5
IL17RA,1.1726364193604972e-5
NRP1,6.832224124195318e-6
NRP2,0
PLXNB1,3.255067917851398e-4
IL4R,2.8555371153252335e-5
IL7R,3.426990404339306e-7
EPHB6,5.395780499649338e-8
CD44,7.952839776697557e-5
ERBB3,0.0015507953705194224
IL15RA,3.738759536025175e-5
