target,imp
A2M,9.145198724889454
ADAM17,0.269737023685193
ADCYAP1,0
ADM,0
ADM2,0
AGT,0
AMH,1.0555479743342921e-4
ANGPT1,0
ANGPT2,0
ANGPTL1,0.00905075587491976
ANGPTL2,2.298725120692513e-5
ANGPTL4,0
ANXA1,12.382276465863772
APOD,0.0926716730623286
APOE,8.152616077044904
APP,1.7509796516150882
ARTN,0.004425044782716454
AZGP1,4.274641706346093
B2M,20.867427207556826
BDNF,0
BGN,1.3589837825068674
BMP1,0.06125262999007791
BMP2,0
BMP4,0
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BTC,0
C1QTNF1,0
C1QTNF5,0.020741258024376385
C3,0.19351366039149376
C5,0
CALCB,0
CALR,6.350907401123157
CAMP,0
CCL11,0
CCL13,0
CCL17,0
CCL19,0
CCL2,6.50928559557364
CCL20,0
CCL21,0
CCL22,0
CCL24,0
CCL26,0
CCL28,3.6300723014210115e-5
CCL3,0
CCL4,0
CCL5,0.005894272098036963
CCL8,0
CD40LG,0
CD55,0.007731125336246061
CD70,0
CD86,0.003929514732024643
CFH,0.8327480065312319
CGN,4.132808021108561
CKLF,0.026653466889751665
CLCF1,0
CLEC11A,0.3400832704128731
CNTN4,0.0394857101436871
COL11A1,4.583411591384315
COL14A1,5.377207353533782
COL18A1,6.784535681160693
COL1A1,12.873273189919695
COL1A2,11.108675875540621
COL3A1,23.373023695827733
COL4A1,0.35860300469422207
COL4A2,0.005605787680006484
COL4A3,0
COL4A4,0
COL4A5,0
COL4A6,0
COL5A1,6.587448172177273
COL5A2,11.665931548812233
COL5A3,0
COL6A1,2.977136043114226
COL6A2,0.860758858682625
COL7A1,0
COL8A1,1.5791371543177626
COL9A2,0
COL9A3,0.02598681930483151
COPA,5.437446261498988
CP,0.1622872972317632
CRLF1,0
CSF1,0
CTF1,0
CTGF,3.5416177178430286
CX3CL1,4.806164056807488
CXCL1,0
CXCL10,0
CXCL11,0
CXCL12,0.0436667897025728
CXCL13,0.051140242072190215
CXCL14,6.401947350084332
CXCL17,0
CXCL2,0
CXCL9,0
CYR61,4.327089821550598
DCN,17.77269337507755
DHH,0
DKK1,0
DKK2,0.001583000790219321
EDA,0.006637567174074679
EDIL3,0.04397475619889772
EDN1,0.011593494547015084
EDN2,0.030346022816601533
EFEMP1,1.7959044252481846
EFEMP2,1.1671328517202197
EFNA1,0.04351603248163918
EFNA4,0.05770680854320973
EGF,0
F10,2.1253735689390543
F12,0
F13A1,0
F7,0
F8,8.245425060962341e-4
FAM3C,7.221993950399293
FASLG,0.01060141672905195
FBLN1,3.445309551076252
FBLN2,13.426582502694066
FBN1,0.29385068064798464
FGF1,0.03445460436941882
FGF10,0
FGF12,0.0036952949110227794
FGF13,2.5081653463637257
FGF14,0
FGF18,0.041441761178501686
FGF19,0.03713391421763289
FGF2,0
FGF21,0
FGF23,0
FGF7,0.003293773245021594
FGF9,0
FN1,11.030406276436654
FST,1.2725374119335498e-4
GAS6,2.002978155410088
GDF10,0
GDF11,0.011768176065456135
GDF15,0
GDF5,0
GDF6,0
GHRL,0
GNRH1,0
GPI,2.5349004621811773
GREM1,0.5011678552970832
GRN,0.011056549745958573
GRP,0
HBEGF,0
HGF,0
HLA.E,5.694965521077609
HLA.G,0
HSP90AA1,7.925778752830857
IGF1,1.3392001181508844
IGF2,0.039692564326966794
IGFBP4,1.9602801920055186
IGFL2,0
IL11,0
IL12A,0
IL15,0
IL16,0.009349064267688082
IL17B,0
IL18,1.2717676385641574
IL19,0
IL20,0
IL26,0
IL33,0.002775879729458588
IL34,0
IL36RN,0
IL6,0
IL7,0
INHA,0
INHBA,3.144327542699221
INHBB,0.0076395470463916084
KITLG,0.04399775313463003
L1CAM,0
LAMA1,0
LAMA2,4.0335991365075134
LAMA3,8.556186142881029e-4
LAMA5,6.908371809286774
LAMB1,21.952516193897836
LAMB2,4.236309363834615
LAMC2,0.010082696350780957
LCN2,0
LGALS1,4.328771947770175
LGALS3BP,0.010761601889554146
LGALS9,3.4005988657208635
LIF,0
LPA,2.3874850348018395e-4
LTB,3.785078721264873
LTBP3,3.0626538167252475
LTF,0.011363410125881742
MDK,4.689407562418888
MFAP2,0
MFGE8,0
MIF,0.2378750358859657
MMP13,0
MMP2,0.6261218925478022
MMP7,0
MMP9,0
MST1,0.0152347624193475
"NAMPT",0.023456375470626047
NCAM1,0
NGF,0
NID1,1.59533922934567
NID2,0.175844404384256
NLGN1,0
NMB,0
NMU,0
NPNT,2.503478184321881
NPW,6.308072567360081
NRG1,0.1347378890461265
NRG2,0.006876650781043123
NRG3,2.790043218632513
NRG4,0
NRTN,0
NTF4,0
NTN1,0
NTN4,0.06123963980414161
NTNG2,0
NXPH3,0
OLFM2,0
OSM,0
OSTN,0
PCSK9,0
PDCD1LG2,0
PDGFA,0.013119485419084231
PDGFB,0
PDGFC,0.2222221618700705
PDGFD,4.050712442238795
PENK,0
PGF,0.304105397397304
PIP,1.6446663703633562
PLA2G10,0
PLAT,2.9541600762675926
PLAU,3.438272939141545
PNOC,0
PRND,0
PROC,0.0025996493096965365
PSAP,14.23314335408113
PSPN,0
PTH,0
PTHLH,8.094108220717246
PTN,0
PYY,0
RAET1E,0
RARRES2,3.886650721890127
RBP4,2.568049133423423
RELN,0
RGMA,0
RGMB,0
RPH3A,0
RSPO2,0
RSPO3,0
S100A8,3.306670740600308
S100A9,1.5922868274534827
SAA1,0
SEMA3A,0
SEMA3B,0
SEMA3C,3.5751907786517787
SEMA3D,0
SEMA3E,0.1256518467285092
SEMA3F,0.01317612520936112
SEMA3G,0.047167915195966546
SERPINA1,0.11502123177453115
SERPINE1,5.394888719966704e-6
SERPINE2,0.008865121834539406
SERPING1,1.398122018088829
SFRP2,4.022992659774548
SFTPD,0
SLIT2,7.288398341580488
SLIT3,5.615234212975261
SPINT1,0.012472441985621004
SPON2,7.203541934757839
SPP1,0.01136097951331119
TF,0
TFF1,0.15170499447052718
TFPI,2.383717577826253
TG,0
TGFA,0
TGFB1,1.1086939073773143
TGFB2,0.003767265347122377
TGFB3,6.417260350591258
TGM2,0.002204618271875033
THBS1,6.606411035094518
THBS2,1.901741550175227
TIMP1,7.086847681502259
TIMP2,4.89950203692814
TNC,0
TNF,0
TNFSF10,1.8804808821680945
TNFSF11,0
TNFSF12,0
TNFSF13B,0.0011080274579242599
TNFSF14,0
TNFSF15,0.019241911947990183
TNFSF4,0
TNFSF8,0
TNFSF9,0
TSLP,0
UCN,0.0036572728704143474
ULBP2,0
VCAM1,0.006844961146107451
VCAN,10.910980089725781
VEGFA,6.901246560128857
VEGFB,0.27360493328946
VEGFC,0
VIM,9.726226994866684
VWF,4.046731697164157e-6
WNT10A,0
WNT11,0
WNT2,0
WNT2B,0
WNT3,0
WNT4,0
WNT5A,4.010636074015388
WNT5B,0
WNT7B,0
WNT9A,2.774547798769761e-5
ZG16B,0.07835020672807282
ZP3,0
