target,imp
IL18,0
SEMA3F,0
IL20,0
IL12A,0
CSF1,0
RARRES2,0.01209888179785087
CXCL11,0.009974358974358975
WNT2,0
INHBB,2.0731845474113516e-5
WNT4,0
EDA,4.642904072306032e-4
BMP4,0
WNT5A,0
PTN,0.008888888888888889
CXCL12,2.1292141886723523e-4
TNFSF11,0.009955947136563876
CCL17,0
GDF11,0.039558462875212044
TNFSF12,0.015
TSLP,0
HBEGF,0
ANGPT1,0.009965277777777778
CX3CL1,0
FGF13,0.01818181818181818
GAL,0.018521916411824667
ADCYAP1,0.008333333333333333
PDGFA,0
TGFB3,0.05263465045592706
IL15,0.0010529715762273902
PTHLH,0.013553878252331859
CXCL2,0
CCL11,0.01988538587848933
CD70,0
IL7,0.009835570012771296
WNT11,0
NRG1,0.009818181818181818
PENK,0.018000000000000002
CXCL10,0
TGFB2,1.0976151334441009e-4
EDN2,0.040456226476845034
CCL19,0
PDGFB,0
PGF,0
NRTN,0
IL16,2.5632850013188e-4
WNT3,0
INHBA,0.05329463126723948
PDGFD,2.9813042055310095e-5
CCL28,0.028043478260869566
EGF,2.2868597610865652e-5
IL34,0
CGA,0.0016131907308377896
MDK,0
BMP2,0
BTC,0
IGF1,0
GAS6,0.00103896480906083
NTF4,0
CCL20,0
MST1,0.009995090819833088
CCL5,0.01925925925925926
AMH,0.0099672131147541
IL19,0.009545454545454546
CCL21,0
IL11,0
TNFSF8,0
PNOC,0.008571428571428572
PDGFC,0
ADM,0
FGF2,0
TGFA,0
WNT3A,0.009945355191256831
TGFB1,0.004593969951328265
CXCL9,0.029296875
EDN1,0.055062265402711336
IL17B,0.0031862745098039215
AGT,0
FGF18,0.01929824561403509
FGF7,0.02861013986013986
INHA,0
BMP6,0
CCL3,0
IL1RN,0.012373212321232124
NRG3,0
FGF10,0
NRG2,0.007843137254901962
KITLG,0.0623965378238974
VEGFA,0.037995090819833086
TNFSF10,0.06815478645066274
CCL22,0.009935064935064936
BMP7,0.0394827114937816
CALCB,0
IGF2,0
HGF,0
EBI3,0
ANXA1,0.0037100261327065454
WNT7B,0
TNFSF13B,0
PYY,0
PSPN,4.4143647721975863e-4
BDNF,0
TNFSF15,0
FGF1,0
CCL2,0.008333333333333333
TNF,0
VEGFB,2.550268529649973e-4
NMB,0
LIF,8.455598455598456e-4
