target,imp
EDNRA,2.6506206214927275e-4
CDON,3.270591458017232e-4
IL20RA,8.898776418242493e-5
CD47,0.0012864080475435986
UNC5D,0
PTGIR,5.659973459747253e-5
IL13RA1,0.003312112525460369
ACVRL1,0.006207818942996215
EPHA7,0
LRP4,0
TYRO3,0
CD46,0.14179227128270036
CCR2,0
BOC,0.6820431195105506
CHRM3,1.6541278559021677e-6
ACVR2B,3.2214744905325643e-6
SELL,4.801440958351628e-7
C5AR1,0.0012151927842534885
ADIPOR1,0.001345340028377638
LTBR,0.13754932760055624
ACVR1,8.280677293765806e-6
RAMP2,3.498615406511325e-4
KIT,7.69853375373967e-5
BMPR2,9.561313762326956e-4
KLRD1,2.0581801426861532e-6
LPAR2,2.786055024066462e-4
CMKLR1,1.234416819829126e-6
LRP5,8.157597770351014e-6
GIPR,4.605758811497735e-5
IL10RA,5.271293038920644e-6
ROBO1,0.005421822468633186
RET,2.747303963836459e-6
PLXND1,2.607314827423534e-4
FGFR1,0.0021276205999764906
IL11RA,6.245438734132225e-5
CX3CR1,0
ROR2,0.25350704892118237
TNFRSF13B,0
RAMP1,7.364767014809578e-5
CD27,1.4525947610851895e-6
ROBO2,0.019526789153845793
NOTCH2,9.8171121389657e-4
PTPRU,1.0127170516071286e-4
CNTFR,2.2731328202872225e-8
LRP2,1.9839240853256575e-4
IGF1R,8.570658203948687e-5
LRP1,0.180574203927049
ACKR3,6.68873391772411e-6
ADORA1,2.0383538030596893e-4
NPR3,8.22137365584532e-5
IL1RAPL1,3.818367400224704e-5
CD93,7.66291683516757e-5
SCARB1,1.512489253097816e-4
OPRM1,3.369637328615657e-4
CALCRL,0.07816578695862293
FLT3,1.6666666666666677e-4
SMO,4.6862065522643185e-5
ITGA6,2.0451437446324078e-4
EPHB4,0.0031079643056712326
IL3RA,2.0364125675808817e-6
ITGA8,7.927568051077409e-4
ITGA4,1.999904181892177e-5
SCARF1,1.1473838558742644e-6
MC1R,3.124234596666386e-7
DDR2,2.1448235304984977e-4
PLXNB2,0.17698775544103829
IFNAR1,0.043029012600061936
EPHA4,4.013923698134223e-4
FPR3,6.172763908401848e-7
PTPRF,0.10843408176877911
IL27RA,1.772332174479229e-6
BDKRB2,0
TNFRSF4,0.0066963722443067275
SSTR3,4.048239046674646e-6
GFRA1,2.034425536683751e-6
ITGAL,2.8550107170417956e-5
NTRK1,0
TGFBR1,3.59082023007421e-4
LRP6,8.000782657574892e-4
F2RL1,1.120429348526377e-7
EPHB3,2.6140920474091497e-8
CD36,0.022658344433339462
GRM1,1.3448743869222136e-5
TACR1,1.0384836028490336e-4
TSHR,0
CSF2RB,2.804430692873711e-4
F2RL2,7.7898552563935e-8
ITGB1,0.27390239012211
VIPR1,3.8132940870780883e-4
PLXNA1,2.43030100515848e-4
EPHB1,1.1106534779507663e-7
IL2RA,0.36031313560405104
ERBB4,0.01781429840779105
TNFRSF10B,2.5701720250740625e-4
FGFRL1,0
FSHR,0
IL5RA,2.1834576679746755e-6
PTCH2,1.9249171880750816e-4
ATP6AP2,0.007726458087163533
ITGB7,1.6288095067277673e-5
EDNRB,1.7032219697738241e-6
ITGB6,0.001774871902340062
PLXNA3,2.896424373887528e-4
TGFBR2,5.794116697590189e-4
LPAR4,5.7692307692307765e-5
PDGFRA,1.433952991820238e-4
IFNGR2,0.0011295765662302875
ITGB2,1.652657732367209e-4
FZD1,0.12797223086398016
ITGAE,4.537093352751964e-4
NOTCH1,3.076923076923074e-5
NOTCH4,3.546520847553222e-4
AXL,3.29459284185324e-5
TNFRSF14,7.7132764699698e-4
CCR7,3.333333333333327e-5
IL23R,2.8502501697898434e-6
CXCR6,6.855587339090247e-4
TIE1,0.0010759526607003783
INSR,5.287657975149022e-4
ITGAX,5.211276211713068e-7
EPHB2,0
C3AR1,7.544584090732959e-5
EPHA5,5.932400298597381e-7
ITGA9,4.823327050502544e-4
TNFRSF10A,2.2187461454445564e-6
FPR1,6.684136948161418e-6
OXTR,0
ITGA5,1.2254901960784305e-5
ITGB4,7.298118807393626e-5
IL18R1,0.08953989815345055
ITGB5,5.955286953414848e-4
CELSR1,8.09954472443622e-5
ITGA11,2.362352392377331e-4
PTPRB,3.0525926268055808e-6
FZD4,1.0126086441607007e-4
PDGFRB,2.8456363279764923e-4
DCC,5.855210322232005e-6
PTPRM,3.862144946554511e-4
VIPR2,0
IL1RL2,2.466723147450298e-4
ITGAV,8.350123643485165e-4
LRP11,0.0014597318891762289
NPFFR2,1.2019265587993097e-6
NTRK2,4.752572486179211e-4
ITGA10,0
ITGA1,0.0032205179536015827
P2RY12,7.350596572897445e-6
CALCR,0
TNFRSF12A,1.41057780500674e-4
ROR1,7.089718018282037e-8
ITGA2,5.306772809191696e-4
UNC5C,3.133762867862134e-4
PLXNC1,0.00261494116435907
SDC2,4.282749535153916e-4
TNFRSF11A,7.130162906396863e-8
EPHA6,6.377618101686103e-6
TNFRSF8,0
TNFRSF19,2.3286477447835693e-4
PTGDR,3.017017370612947e-6
IL2RB,0
CCR5,1.5580456129236613e-4
TNFRSF21,1.4328589923116815e-4
NOTCH3,0.29105581587129886
HTR2C,2.4372473969704263e-6
LGR4,0.004890821193300216
ITGB8,1.4869530004115673e-4
ERBB2,0.0010440313103642449
ACVR1B,1.4967827291201072e-5
NTRK3,9.982476564798065e-6
LPAR1,0.0026309796675876903
ITGA7,1.0211330141216646e-5
FZD6,0.0013834218996237214
IGF2R,7.098923407638198e-4
ALK,4.5766238638885124e-5
IFNLR1,1.0181327054216881e-6
ACKR4,3.553198594575047e-6
ROBO4,1.6141561494304942e-7
THBD,1.191646557630998e-7
IL10RB,1.7577339273109772e-4
IL12RB1,4.0753648079645126e-5
MERTK,1.9910751184356778e-6
FZD7,2.1785229591350098e-5
CD72,2.7471309372765866e-6
CD74,0.0070030105493055885
CD4,2.4782068642884513e-6
RYK,3.0814185328420117e-4
TLR2,3.576491877131736e-6
PTH2R,3.742290282009133e-4
CSF1R,2.8868932851691742e-5
F2R,0.002567667705297272
IL21R,3.1623359187580305e-5
LDLR,5.386435670104134e-4
GPR39,2.585220342119297e-4
IFNGR1,3.1056125897543305e-4
ITGAM,7.083153086450179e-5
MST1R,2.4415254150204546e-5
ACVR2A,5.862019902314567e-4
EPHA2,3.5696098291215544e-6
TLR4,0
APLNR,8.966937715443384e-6
RXFP1,1.5053439710974344e-7
GPR37,0.23371090885006676
PLXNA4,3.2277818843261837e-6
UNC5A,5.8479532163742686e-5
GRIN2D,2.4038461538461455e-6
IL17RC,3.859918779841362e-4
EPHA1,5.000729393679203e-6
NRXN1,0.14050225105634107
DRD2,0
ADRB2,0
BMPR1B,3.90224415753739e-4
NPY1R,1.8457873347963707e-4
HCRTR2,0
ADIPOR2,7.084955025902453e-4
BMPR1A,7.946258636266452e-4
TNFRSF17,1.5733498245503646e-7
IL20RB,6.374037375649407e-5
GRM5,9.688405925110597e-7
PROCR,3.9677271602908614e-5
CCR10,5.026745998949528e-4
UNC5B,1.1124970970778983e-7
NPR2,9.032356557710819e-5
CXCR4,5.670732588188762e-5
TNFRSF10C,0
FZD3,0
PLXNA2,9.549504429580103e-5
ACKR2,5.107252298263559e-6
PTPRG,7.114316971866868e-5
SDC3,8.973383642842484e-5
PTCH1,2.0417075614726463e-5
VLDLR,1.1866977389318653e-4
RAMP3,0
FZD8,6.410256410256401e-5
CSF2RA,2.769346213188987e-4
IL6ST,0.0025897880639284177
LIFR,2.8429575162997495e-4
IL1RAP,1.476503343891514e-6
FLT4,0.0010013613373264633
EGFR,3.193125601999568e-5
IFNAR2,0.0024028626807360304
IL17RA,1.1070595119827109e-4
NRP1,1.0042068684806321e-4
NRP2,5.729003330258967e-4
PLXNB1,0.003595432835584128
IL4R,5.572738307082664e-4
IL7R,1.0057126906291305e-5
EPHB6,0
CD44,0.13936671768024878
ERBB3,3.496284371857944e-4
IL15RA,2.0151884491269876e-7
