target,imp
CD47,3.794427500213574e-4
FXYD6,4.074970584692611
EPHA7,5.142125613814833
CD46,6.622258760355842
CHRM3,2.0727019142447825
GPIHBP1,6.371898382329825
SELL,6.1919369396952
CCR1,1.1178182396320444
KIT,1.0210372192415789
MCAM,0.4009471559599306
CX3CR1,3.5593924403216928
TNFRSF13B,8.53663904269088
ROBO2,5.676856151368562
LRP2,6.320462188519364
NPR3,3.440977097971124
CALCRL,1.7815053551337912
SMO,3.489740753685681
ITGA6,3.2395789073509618
IL3RA,5.985753933607099
OSMR,1.7030561638611184
ITGA4,3.840364980495744
SCARF1,1.0612460472267053
RTN4RL1,6.0862918039784
MC1R,8.28837552061443
EPHA4,10.747646911992824
BDKRB2,0.27009131964740973
IL18RAP,2.5491195958753883
ITGAL,3.5800883451992895
F2RL1,6.9995262779663285
DCBLD2,0.9988821181508931
ERBB4,2.5009834404541054
FGFRL1,5.493245308854101
S1PR1,6.243872913460476
CCR7,10.686980187578028
TIE1,4.124621247306746
C3AR1,3.162454109004345
TNFRSF10A,7.093286085382858
IL18R1,6.950742817608043
NRXN3,1.2239453163807898
CNR1,2.587801355588937
ITGA11,6.99168111600497
PDGFRB,4.0804590299692
PTPRM,1.857029379546404
VIPR2,4.274342598662527
FCGR1A,2.173873058556105
IL1RL2,0.02565404623618967
ITGA1,5.72968147849852
P2RY12,7.038296012845851
UNC5C,2.39151664201263
SDC2,5.533367823730884
TNFRSF11A,3.9998054430972783
TNFRSF19,3.4044345751159204
CCR5,1.4575057128221323
NOTCH3,4.950728522547662
ITGA7,24.85713601952071
IFNLR1,3.8816436995606773
ACKR4,4.627565967660028
ROBO4,3.02259631677632
THBD,5.896735949564851
IL12RB1,6.290099110718435
MERTK,4.015731839979165
CD72,11.314078581667289
CD74,5.33895664425722
GPR39,2.1628634296448954
GPR135,1.050590377588122
GRIN2D,2.6495644688923217
EPHA1,0.048024020492966536
SELP,1.9179647169234841
NRXN1,1.4013266234500903
LPAR3,7.157740399600591
HMMR,4.8886132894967345
IL20RB,3.7990686344935343
PROCR,2.9050135915649413
UNC5B,9.619278515978843
CR1,1.8040519728711093
CXCR4,2.8272059746511933
FZD3,17.169032249490726
CD96,2.7697632037099442
RAMP3,4.1936983518593545
CD244,2.6678862740737332
KLRB1,6.9491406072396
CLEC2D,10.570287837928669
KLRG1,4.6345212772206485
CD2,4.898815324085276
SIRPA,1.4726969351489736
LAIR1,10.059015285709416
CD33,7.45593399547868
CD38,10.523708764184057
NCR1,1.980668303603505
CD3D,8.077827519453201
GPR162,1.1657670230821207
MRC2,6.49689545044082
TLR7,6.303481094936246
P2RX7,2.03950596199457
TLR1,4.0592965007409445
CD247,2.772848608219091
HRH1,4.839228831691467
CDH2,8.018431665860886
RRH,8.595631645506156
P2RY8,7.675087053178303
LRP10,5.026760313129059
PAQR7,12.827683178062273
PTPRT,4.709268992777649
PTGER4,2.033981545086293
HCAR1,7.482642101292832
SUCNR1,1.295590958310019
GPR161,4.861739004576147
CYSLTR1,14.466413713078076
PTGER1,3.2395481177549312
LTB4R,1.762393900739886
GPR153,10.233224438729234
ADRA2C,4.080048838947936
PTAFR,5.266036788458105
P2RY10,4.247777765957753
RELT,2.053103447001402
LRP3,2.6672694224401976
GPR173,2.0051657870369293
CLEC12A,8.49949150081338
GPR82,16.488786205542475
COLEC12,2.3675499758786582
GPRC5C,2.2801364661369803
ESR1,2.53988770453555
PTGER3,1.7375161104639611
FCGR2B,6.448802400485606
GPRC5B,3.973696537691161
LPAR5,4.669530342818873
GPR68,10.487656949341705
NRP2,3.8661843297341703
ENG,6.105443532828637
IL6ST,0.8108291121687533
TNFRSF1B,0.10997498358744419
LIFR,0.07611067565410318
CRLF1,7.88203544488325
FLT4,0.4613123721909924
IL17RA,12.154826309515977
TGFBR3,9.80630944944747
PTPRS,1.9368418405729289
IL7R,2.3873592899428545e-4
MET,1.7599232344159008
IL1RL1,5.401324756745943
FGFR2,4.838685509929373
PVR,8.638612594242398
TRAF2,6.111686813074707
HFE,1.4060613535548447
GABBR1,4.053298708935348
