target,imp
A2M,14.311104162471409
ADAM17,0.15674885303218034
ADCYAP1,0
ADM,0
ADM2,0
AGT,0
AMH,2.029584395220898
ANGPT1,0
ANGPT2,3.802107770213772
ANGPTL1,0.15147660509664773
ANGPTL2,0.21228622070332698
ANGPTL4,0
ANXA1,6.834862843465089
APOD,1.3751273521571263
APOE,11.177184513735163
APP,19.404308313338493
ARTN,0
AZGP1,1.9380849587055733
B2M,20.001001970034213
BDNF,0
BGN,4.87899407398554
BMP1,0.0066784609676982095
BMP2,0
BMP4,1.8149997268955753
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,1.2484481190048313
C3,9.390386347819422
C5,0
CALCB,0
CALR,13.060483387654724
CAMP,0
CCL11,0
CCL13,0
CCL17,0
CCL18,0
CCL19,1.2913974795710859
CCL2,0
CCL20,0
CCL21,0
CCL22,0
CCL24,0
CCL26,0
CCL28,0.9662279622276594
CCL3,0
CCL4,0
CCL5,10.34662913481564
CCL8,0
CD40LG,0
CD55,0.19734456742083753
CD5L,0
CD70,0
CD86,0.32527508315477605
CFH,1.3770180983025093
CGA,2.1691539633823974e-4
CGN,3.2884884187247327
CKLF,0.8300807682839504
CLCF1,0
CLEC11A,4.201745263005767
CNTN4,0.8133208162205016
COL11A1,3.9052717249849445
COL14A1,11.6786181563988
COL18A1,3.8022201396896906
COL1A1,23.57413741387367
COL1A2,25.0170146375072
COL3A1,27.7797512882146
COL4A1,2.406278214375848
COL4A2,0.05031202428678551
COL4A3,1.7374059357013705
COL4A4,3.908000270713079
COL4A5,9.874724804383249
COL4A6,0
COL5A1,7.7180043852842575
COL5A2,13.48801799786027
COL5A3,0.02062958015661054
COL6A1,5.435721457465587
COL6A2,6.209520664872348
COL7A1,0
COL8A1,8.70486592252798
COL9A2,0
COL9A3,0
COPA,3.4383502568639286
CP,2.1737391455295447
CRLF1,0.053068467694795986
CSF1,6.058671414964612e-4
CTF1,0
CTGF,2.751034228600395
CX3CL1,2.308116685393116
CXCL1,0
CXCL10,0
CXCL11,0
CXCL12,8.300064698792353
CXCL13,0
CXCL14,10.260386518385817
CXCL17,1.5022307403686779
CXCL2,0
CXCL9,1.5875955818224098e-4
CYR61,1.907591902801661
DCN,20.285139147306737
DHH,0
DKK1,0
DKK2,0
EBI3,0
EDA,0
EDIL3,1.4123603014155757
EDN1,0.003842819697272031
EDN2,0
EFEMP1,10.318245953342853
EFEMP2,3.198036504705355
EFNA1,2.450668471036356
EFNA4,3.301600891625357
EGF,0
EPO,0
F10,0.06839137495634186
F12,4.009115960549957
F13A1,0.0026605899045119875
F7,3.4004515883457818
F8,0
FAM3C,0.9137529969263929
FASLG,0
FBLN1,6.79872882078563
FBLN2,8.826392112384523
FBN1,1.777963233636356
FGF1,0
FGF10,0
FGF12,0
FGF13,0.9203658970803628
FGF14,2.1831808206734498
FGF18,0
FGF19,0
FGF2,0
FGF21,0
FGF23,0
FGF7,3.5768545199238053
FGF9,0
FN1,23.147912737838215
FST,0
GAL,0
GAS6,1.7307869728445615
GDF10,0
GDF11,0.014868065210465438
GDF15,0
GDF5,0.009561049378388378
GDF6,0
GHRL,0
