target,imp
A2M,38.675121684301196
ADAM17,34.53190866325738
ADCYAP1,36.79311240049743
ADM,58.12149478382363
ADM2,34.17159011077469
AGT,31.226713091035755
AMH,34.08102257793287
ANGPT1,37.50642231076873
ANGPT2,45.7866003873373
ANGPTL1,43.84002666270456
ANGPTL2,61.248918775496385
ANGPTL4,23.736594580825464
ANXA1,34.91848252660932
APOD,31.07863453649531
APOE,32.82038254286075
APP,43.94771992439703
ARTN,46.92342419357701
AZGP1,29.36978133942387
B2M,34.25205804946655
BDNF,37.86337149259579
BGN,34.111144369606436
BMP1,39.83249339504359
BMP2,33.520284673845836
BMP4,35.6061923835201
BMP5,26.37907873525276
BMP6,31.098817046671446
BMP7,38.853438644662425
BMP8A,33.417827518647776
BMP8B,46.711627043262155
BTC,32.6047349764835
C1QTNF1,37.01866209624197
C1QTNF5,34.710169685680796
C3,33.245064838812134
C5,44.33735360754022
CALCB,42.569804331604615
CALR,31.76644408127033
CAMP,30.288580582891985
CCL11,33.211095853696385
CCL13,66.52398883348128
CCL17,30.21454573665062
CCL18,26.075797613558702
CCL19,31.082656591872237
CCL2,61.58833951778742
CCL20,37.57415977612309
CCL21,29.380332894789
CCL22,32.32336470700472
CCL24,29.460437068134187
CCL26,30.048303540168323
CCL28,36.17964751843895
CCL3,34.08818692094941
CCL4,35.31751725766053
CCL5,67.67301663211423
CCL8,30.077734926447626
CD40LG,39.19573035821882
CD55,44.85504236584695
CD5L,38.402743059150666
CD70,25.485039018066818
CD86,53.52909768981677
CFH,42.100634800043565
CGA,32.39776006706251
CGN,45.906602563687926
CKLF,47.57397627187177
CLCF1,29.088699625272117
CLEC11A,39.431125633010176
CNTN4,31.53327511130299
COL11A1,29.761445795873215
COL14A1,40.814210582547645
COL18A1,55.577111801345524
COL1A1,22.164366808309527
COL1A2,32.22592208371464
COL3A1,36.94112414317875
COL4A1,40.9791395746858
COL4A2,43.50544008712862
COL4A3,25.3442476639383
COL4A4,30.23299532521331
COL4A5,39.37327618000067
COL4A6,30.758783533724564
COL5A1,36.8381813717506
COL5A2,40.95055361566633
COL5A3,36.74633715893033
COL6A1,40.387381454485904
COL6A2,38.9235898149424
COL7A1,43.88089560622995
COL8A1,31.447326415442582
COL9A2,45.92491795526595
COL9A3,37.75108251518813
COPA,49.83665622172132
CP,25.582100173353314
CRLF1,35.922960093032174
CSF1,45.02549095586689
CTF1,23.516896151882484
CTGF,61.047824491877456
CX3CL1,33.97322339488722
CXCL1,31.67974863751246
CXCL10,33.12751329783783
CXCL11,36.30993151449441
CXCL12,44.50013662264773
CXCL13,44.81917291893115
CXCL14,49.31960369314652
CXCL17,51.41845787512253
CXCL2,25.54615805875351
