target,imp
IL18,2.265941634297073e-4
SEMA3G,3.1126509543800355e-4
CTF1,3.133420779896262e-4
IL12A,1.4207827666884082e-4
OLFM2,2.6243198477173934e-4
PRND,2.0043979037008338e-4
NGF,1.4266612225492334e-4
L1CAM,1.6055797016509082e-4
NTN1,1.7258227890792086e-4
EDA,1.85987307552423e-4
BMP4,2.6568101234568874e-4
WNT5A,1.8342985131963142e-4
TG,1.8230584569277775e-4
PTN,1.9644596299985958e-4
CCL17,2.5002377976738243e-4
TNFSF12,2.99333110436062e-4
ANGPT1,2.01789445641872e-4
CX3CL1,2.7822047944611224e-4
FGF13,3.699501039455103e-4
CYR61,3.153104191357999e-4
AZGP1,4.032102739033077e-4
FGF9,1.2955662168759706e-4
CCL26,1.8317908104863897e-4
IL15,2.236573144494367e-4
ADM2,2.0379385222599118e-4
SAA1,2.357615830942995e-4
APOE,3.938599552511256e-4
CD70,1.981258239171229e-4
IL7,2.1057967880773416e-4
NRG1,2.4483298440965937e-4
NXPH3,1.5813453130676767e-4
PENK,2.1446406424962896e-4
CXCL10,1.8695247023998174e-4
LEFTY2,3.429622385164982e-4
S100A8,2.9966443597420953e-4
DKK2,3.5578906606087055e-4
EFNA4,2.5310217005192236e-4
LAMA2,4.3439855352156816e-4
SEMA3E,3.426897127401641e-4
PGF,1.5801055806127247e-4
VEGFC,1.6077186074428375e-4
CCL4,1.3709240949392895e-4
CCL18,1.8366220273637664e-4
EGF,2.519287653474676e-4
IL34,2.3685077017716186e-4
ANGPT2,1.8439831102442253e-4
DKK1,2.3362242429069414e-4
IGF1,2.8947981420328063e-4
NPNT,3.236651688424222e-4
RSPO3,1.6981925690042678e-4
CCL20,3.3571634610954116e-4
CCL5,2.831810666170634e-4
IL19,1.6404061061908116e-4
VWF,2.0273508595363495e-4
ADM,2.4202082453080506e-4
FGF2,2.1230225715542352e-4
TGFB1,3.500195280061247e-4
SEMA3D,4.2218814225075674e-4
EDN1,2.2475439352864123e-4
AGT,2.2767695033587613e-4
FGF18,2.0290435581286635e-4
FGF7,2.47120419002244e-4
FASLG,1.5763383656669085e-4
BMP6,2.2733091314976292e-4
IL1RN,2.2299801296393577e-4
NPW,1.5190148225395812e-4
NRG3,2.729031599782236e-4
HGF,3.011573255572296e-4
ANGPTL1,2.025807263783378e-4
TNFSF13B,2.089331050795937e-4
PSPN,1.88250392456844e-4
BDNF,2.3821311547218333e-4
LAMA1,1.9591063531232292e-4
TNF,1.947686498170898e-4
NMB,3.5913700919020143e-4
GRP,1.5821927923707674e-4
LTB,2.72728800886167e-4
ANGPTL2,2.633112529168775e-4
CXCL17,2.516381482121406e-4
CRLF1,1.9427258265246252e-4
BMP8A,2.0300114612702272e-4
CXCL14,3.2770994091861595e-4
WNT10A,2.477743229364509e-4
WNT5B,2.4618827780677086e-4
PDCD1LG2,2.6399392540612214e-4
WNT9A,3.1450678314284765e-4
FST,2.41389463722389e-4
ANGPTL4,1.536224011262375e-4
FGF14,2.2453589575859088e-4
BMP1,3.1853024888630255e-4
WISP3,1.6624883827162797e-4
CFH,2.8689679559841806e-4
SERPINE1,2.64416770123297e-4
RBP4,2.0114962630033575e-4
F8,1.8679873340509686e-4
F7,2.5639277770953466e-4
COL4A5,3.1156988046342974e-4
SERPINA1,1.2932983130530811e-4
TFPI,2.309627513426559e-4
PLA2G10,1.7657419863364028e-4
CD86,2.3205668577525114e-4
FBN1,3.9779721113334483e-4
MMP9,1.7595547958333013e-4
COL4A2,2.832729419153357e-4
F12,2.804942474361699e-4
COL9A2,2.988919907837193e-4
COL9A3,2.415400150721902e-4
MMP13,1.836521892116168e-4
COL7A1,2.2550160280243334e-4
