target,imp
A2M,0.6746140528279432
ADAM17,2.97957707800763
ADCYAP1,0
ADM,0.032945694721323075
ADM2,0
AGT,0
AMH,0
ANGPT1,0
ANGPT2,0
ANGPTL1,0
ANGPTL2,0
ANGPTL4,0
ANXA1,8.861159157194052
APOD,0.05236462631857958
APOE,5.250353348403974
APP,5.699301314395208
ARTN,0
AZGP1,4.51274314225894
B2M,5.754713693035261
BDNF,0
BGN,1.3844460807419514
BMP1,0
BMP2,0
BMP4,0
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,7.346605356779205
C1QTNF5,1.1186316791870103
C3,6.869189638866128
C5,1.7209552901907983
CALCB,0
CALR,9.125357490418969
CAMP,0
CCL11,0
CCL13,0
CCL17,0
CCL18,0
CCL19,0
CCL2,0
CCL20,0.030046002864749965
CCL21,0
CCL22,0
CCL24,0
CCL26,0
CCL28,0.004741241229219917
CCL3,0
CCL4,0
CCL5,8.58625559642404
CCL8,0
CD40LG,0
CD55,2.6413000777867786
CD5L,0
CD70,0
CD86,0
CFH,0.09025590434565725
CGA,0.0037196813528914464
CGN,4.720588747681263
CKLF,0.3328792734570773
CLCF1,0
CLEC11A,1.9582175354969973
CNTN4,4.555574233260129
COL11A1,1.6252191975839352
COL14A1,5.4310332426851815
COL18A1,0.05013077619427571
COL1A1,10.924577999955922
COL1A2,10.605634320815362
COL3A1,17.302784758690713
COL4A1,0.008514765293406718
COL4A2,0.42976896837980116
COL4A3,0
COL4A4,0
COL4A5,0.023596551572396585
COL4A6,0.05948528213572221
COL5A1,3.3415114086237465
COL5A2,2.4311111023215535
COL5A3,0
COL6A1,6.79446458055129
COL6A2,4.368119011064778
COL7A1,0.00313417314723758
COL8A1,3.2373352784180742
COL9A2,0
COL9A3,0
COPA,1.1708398872285795
CP,4.438724034646174
CRLF1,0
CSF1,0
CTF1,0
CTGF,3.9902138666099485
CX3CL1,0.004835725938935162
CXCL1,0.031322669399576245
CXCL10,0
CXCL11,0
CXCL12,0.23110308308179697
CXCL13,0
CXCL14,2.8984835515656675
CXCL17,0
CXCL2,0
CXCL9,0
CYR61,5.4710161960223624
DCN,7.205632279182509
DHH,0
DKK1,0
DKK2,0
EBI3,0
EDA,0
EDIL3,1.0905371349875141
EDN1,0
EDN2,0
EFEMP1,9.55261843064348
EFEMP2,2.1081897667682044
EFNA1,2.1873606830907244
EFNA4,11.38936846326036
EGF,0
EPO,0
F10,5.2499874140092295
F12,0
F13A1,1.55024761498839
F7,0
F8,4.211375166813492
FAM3C,1.0172658686428924
FASLG,0
FBLN1,2.4316059003894317
FBLN2,1.1368257251400948
FBN1,1.5060125971601173
FGF1,0
FGF10,0
FGF12,0
FGF13,0.005121540134509765
FGF14,0
FGF18,0
FGF19,0
FGF2,0
FGF21,0
FGF23,0
FGF7,4.2748623086919695
FGF9,0
FN1,7.108833869188707
FST,0
GAL,0
GAS6,4.748777904100001
GDF10,0
GDF11,0
GDF15,4.1570232350999104e-4
GDF5,0
GDF6,0
GHRL,0
GNRH1,0
GPI,1.0733624660503427
GREM1,0
GRN,1.0693998043425923
GRP,0
HBEGF,0
HGF,0.013973572462392933
HLA.E,5.5445918512910275
HLA.G,0
HSP90AA1,8.257971734727642
IGF1,0.595883587573318
IGF2,2.625177959621203
IGFBP4,2.4699493166986923
IGFL2,0
IL11,0
IL12A,0
IL15,0
IL16,3.0488190010415566
IL17B,0
IL18,0.2760672737473018
IL19,0
IL1RN,0
IL20,0
IL26,0
IL33,0
IL34,0
IL36RN,0
IL6,0
IL7,0
INHA,0
INHBA,2.017942403969482
INHBB,0
KITLG,0.4728127363819696
L1CAM,0
LAMA1,0
LAMA2,1.9663938274767199
LAMA3,0
LAMA5,1.356622660365363
LAMB1,2.356231701763649
LAMB2,7.972231942621453
LAMC2,0
LCN2,0
LEFTY2,0
LGALS1,12.52944540315291
LGALS3BP,0
LGALS9,0.38942350990333663
LIF,0
LPA,0
LTB,3.661404184534122
LTBP3,3.4099522355278897
LTF,0.009730830674469426
MDK,6.166917040731095
MFAP2,0
MFGE8,0.01645612107014631
MIA,0
MIF,6.739519012970753
MMP13,0
MMP2,3.5359641300804445
MMP7,1.6148432351914812
MMP9,5.696105936202332
MST1,0
"NAMPT",3.389381552806625e-4
NCAM1,0
NGF,0
NID1,0.0023359304042810426
NID2,2.513350035181928
NLGN1,0
NMB,0
NMU,0
NPB,0
NPNT,0.011926457438110912
NPW,0
NRG1,0
NRG2,0.0094780129760278
NRG3,1.1301927728657286
NRG4,0
NRTN,0
NTF4,0
NTN1,0
NTN4,2.729741285677286
NTNG2,3.376570016407724
NXPH1,0
NXPH3,0
OLFM2,0
OSTN,0
OXT,0
PCSK9,0
PDCD1LG2,0
PDGFA,1.6065554195511953
PDGFB,0
PDGFC,5.01433233076785
PDGFD,0
PENK,0.023596551572396585
PGF,0.0029344502171025156
PIP,0.08625659715572827
PLA2G10,0
PLAT,0.05663172377375183
PLAU,0.12017802520243666
PNOC,0
POMC,0
PRND,0
PROC,0
PSAP,9.472217287691825
PSPN,0
PTH,0
