target,imp
CD47,1.3119017081436938e-6
FXYD6,3.236008624337913e-7
EPHA7,9.50059825282951e-6
CD46,5.426480122137011e-7
CHRM3,0.49488478345116943
GPIHBP1,1.3282104332402027
SELL,2.0062786029800144
CCR1,1.9625854087714418
KIT,2.685156350552382
MCAM,4.01449062157044
CX3CR1,1.1678399798384971e-6
TNFRSF13B,6.409929272136049e-4
ROBO2,1.3355130308594132e-6
LRP2,3.925885349815748e-7
NPR3,0.10815884818861005
CALCRL,9.491701735597248e-7
SMO,1.8268915727241534e-6
ITGA6,0.07249773712783292
IL3RA,3.76298305858197e-7
OSMR,9.452086055286579e-7
ITGA4,5.418377311086414e-7
SCARF1,0.4121728970376325
RTN4RL1,1.7418755616433104
MC1R,6.336607673742764e-7
EPHA4,4.874815694614005e-7
BDKRB2,3.037311334992044
IL18RAP,1.1922964678794508
ITGAL,1.1843323867064838e-5
F2RL1,6.881594369488658e-6
DCBLD2,2.8728242053690396
ERBB4,0.012116568690258275
FGFRL1,0.10067704708409363
S1PR1,0.16132656154715053
CCR7,0.1920332531531303
TIE1,0.9909155289197035
C3AR1,0.04804219005414387
TNFRSF10A,5.780114600187348e-7
IL18R1,8.486105062708877e-7
NRXN3,2.7116513161208134e-6
CNR1,0.2475122824858377
ITGA11,2.0150903227158545e-6
PDGFRB,0.0027068146960591666
PTPRM,0.8799086814028001
VIPR2,0.7882603756588015
FCGR1A,5.892763019956473e-6
IL1RL2,0.8376096291172359
ITGA1,0.9828400465096765
P2RY12,4.6159638641936254e-7
UNC5C,8.211996676696625e-7
SDC2,0.9912627213782079
TNFRSF11A,7.4708783468669e-7
TNFRSF19,1.2564517015171058e-5
CCR5,0.009871306739837722
NOTCH3,3.284037292226429e-6
ACVR1B,1.941990710986705
ITGA7,4.327535233855635
IFNLR1,2.4233303837966603e-5
ACKR4,2.875889182837346
ROBO4,1.3690182203949207e-7
THBD,0.6175674490177409
IL12RB1,1.2293299698248807
MERTK,1.9296692807955345e-6
CD72,3.539420965832783e-5
CD74,2.8981693375060034
GPR39,1.1484898427417078
GPR135,1.16264829225166e-6
GRIN2D,2.952625058749276e-6
EPHA1,0.6450262335052763
SELP,0.05770771006613216
NRXN1,3.656562753179371e-6
LPAR3,2.8236669382044817e-6
HMMR,5.52263414675784e-7
IL20RB,3.425078384642569e-7
PROCR,0.011702048624971624
UNC5B,9.746597544266818e-6
CR1,0.024523280903017947
CXCR4,0.8614790353841704
FZD3,3.554858522754681e-7
CD96,1.93140623964391
RAMP3,1.3416280052106353
CD244,2.171169286274525
KLRB1,1.1996708646415932
CLEC2D,3.69323960153785e-6
KLRG1,5.411085585321166e-7
CD2,0.2657527740589572
SIRPA,3.3583204673371356e-7
LAIR1,1.6538977834821242e-6
CD33,3.2646566706707824e-4
CD38,3.552063078357667e-7
NCR1,0.08635510230698763
CD3D,0.492286749696307
GPR162,5.068382066890798e-7
MRC2,2.582640145220661e-7
TLR7,2.319482386697851
P2RX7,0.7911992484719659
TLR1,0.9141590476408055
CD247,9.89636547781363e-7
HRH1,1.0575885796773516e-5
CDH2,0.1453913639911331
RRH,3.283924589391735e-5
P2RY8,4.5513367405159745e-7
LRP10,2.425683798435883e-7
PAQR7,3.6135804182615714e-5
PTPRT,4.764099625798019
PTGER4,2.3117387048637963
HCAR1,0.9427571185027794
SUCNR1,0.2476183692622817
CYSLTR1,0.25439878928608733
PTGER1,9.354350022570852e-5
LTB4R,5.289181232016336e-6
GPR153,0.95287921025032
ADRA2C,5.789531483280598e-4
PTAFR,2.235742287134041
P2RY10,3.9216514502995596
RELT,1.280688356144078e-7
LRP3,5.548178032200313e-6
GPR173,1.3599688602013443e-5
CLEC12A,1.3065682969666537e-7
GPR82,1.6033065345598082e-4
COLEC12,7.781979351939409e-7
GPRC5C,7.153200837198801e-7
ESR1,4.472033818949533e-7
PTGER3,0.5010033104925886
FCGR2B,1.278765767661032
GPRC5B,1.797239483343916e-7
LPAR5,3.6962308994025856
GPR68,3.390440893290482e-4
NRP2,4.3901170830271207e-7
ENG,2.444627137271594e-6
IL6ST,6.188308960701017e-7
TNFRSF1B,3.414952418959562e-7
LIFR,1.8291174092178185e-6
CRLF1,2.934728300096295e-6
FLT4,0.01566153529004893
IL17RA,5.50569984511264e-7
TGFBR3,0.8938147347658391
PTPRS,2.273418406546841
IL7R,1.7557199623104713
MET,0.07099878940272096
IL1RL1,0.05469611733710376
FGFR2,8.817255482410024e-6
PVR,4.9368539020144385e-6
TRAF2,7.748203863140301e-7
HFE,8.450938378845541e-7
GABBR1,8.971292820113747e-6
