target,imp
A2M,12.635385082459289
ADAM17,6.354446721308385
ADCYAP1,0
ADM,0.0023731748473577816
ADM2,0
AGT,0.0011723788119171452
AMH,0
ANGPT1,0.11496452705901807
ANGPT2,0
ANGPTL1,0
ANGPTL2,4.523194359682835
ANGPTL4,0.06694334032660318
ANXA1,28.58756684364017
APOD,8.645249650154517
APOE,25.268640355952407
APP,28.30760714046466
ARTN,0
AZGP1,22.715837266201465
B2M,42.362658391040625
BDNF,0
BGN,14.244538664933021
BMP1,1.8029009925097883
BMP2,0
BMP4,0.9941825543928776
BMP5,0
BMP6,0.10536010990621453
BMP7,5.203379810300265
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0.11284704253324755
C1QTNF5,3.5788115737472195
C3,2.86999794254539
C5,0.0016228123251860866
CALCB,3.2327494086542163
CALR,28.470702431605496
CAMP,0
CCL11,6.736082413674893
CCL13,3.9968978591076554
CCL17,0.0010130075075948798
CCL18,1.0959827322270189e-4
CCL19,2.632790589876814
CCL2,7.252944787632121
CCL20,3.8033473727924654
CCL21,0.00760037099146265
CCL22,0
CCL24,0
CCL26,1.7437826327228344e-4
CCL28,11.80927130475739
CCL3,0.0585444198452541
CCL4,0.02467898303461049
CCL5,3.061260171193466
CCL8,0
CD40LG,0
CD55,4.250223280744068
CD5L,0
CD70,3.485866149247704
CD86,0
CFH,2.0420408461924726
CGA,0.006074260287965132
CGN,4.994565004579896
CKLF,6.52681795218345
CLCF1,5.13689064065272e-4
CLEC11A,18.946952065689324
CNTN4,25.385955094398284
COL11A1,15.658223186420758
COL14A1,9.412697712649823
COL18A1,24.353867949102586
COL1A1,43.41085564225516
COL1A2,70.60589902414247
COL3A1,65.27571637569586
COL4A1,23.789407721702343
COL4A2,3.408943303225785
COL4A3,2.0798250911439613
COL4A4,0
COL4A5,6.6812773690239045
COL4A6,0
COL5A1,23.440838923238108
COL5A2,32.63049401439653
COL5A3,1.7767885908106096
COL6A1,28.69689117360926
COL6A2,26.92301532481149
COL7A1,4.4455267102693543e-4
COL8A1,15.157668376026848
COL9A2,8.385646762481985e-4
COL9A3,0.00870808051859805
COPA,12.325114514205234
CP,5.589463647353279
CRLF1,7.646359856614242
CSF1,0.0405644437300622
CTF1,0
CTGF,3.934446564057408
CX3CL1,9.271548119222807
CXCL1,0
CXCL10,6.042834233188322
CXCL11,3.2657908726641926e-4
CXCL12,13.64954719251018
CXCL13,0
