target,imp
CD19,88854718.84393725
PECAM1,124450284.47578587
HLA.DRA,184152550.48799378
MKI67,119125460.95343909
CD274,132770912.58758919
FAP,126497483.69021884
CTLA4,148454028.87473345
CD69,130382665.96356748
CD2,218465845.96637782
B3GAT1,135364300.33184272
PDPN,147868223.1069858
HIF1A,135601143.54064736
COL4A2,146872740.26520297
CD40LG,103890512.28247595
NCAM1,112218907.85605967
IGHM,159870126.61041486
MMP12,137346181.62115565
CD36,146486679.49280417
CD9,118956828.55893952
CD1C,144672055.54323828
ITGA6,145099530.28254977
PTPRC,189962592.6847162
FCGR3A,122899384.28694382
FOXP3,112017638.9254519
IL3RA,207448014.5673023
KRT19,179138030.61444432
HLA.B,114261643.70823494
THY1,134549936.0226724
IL7R,130872769.83122687
ICOS,118470386.94309042
CXCR5,136560726.54915598
KIT,128066021.5323202
PDCD1,143981051.63681996
CD5,179426178.7178305
PDCD1LG2,140444432.67001647
ITGAX,115515072.66766387
VIM,173461022.6591482
ICAM1,165993760.92501432
LILRB1,124320463.87352835
FUT4,156464552.89108986
CR2,131334174.9755232
CD38,116957399.05574933
CD4,190901965.01432312
ISG20,107271033.00381537
CEACAM1,156851304.28055403
CD40,120784347.12932812
CD8A,205019604.3551611
PTPRCRA,118843917.12666199
ENTPD1,145502729.7429215
