target,imp
CD19,131709.80205020332
PECAM1,192743.81315275695
HLA.DRA,201731.77988743238
MKI67,152579.5942445896
CD274,132127.96712414167
FAP,229519.94784604822
CTLA4,190522.96277131315
CD69,171704.22941807657
CD2,216172.01174770735
B3GAT1,174401.58261137005
PDPN,262646.8333698545
HIF1A,189956.36929975345
COL4A2,301120.05299103627
CD40LG,183202.6861766325
NCAM1,143799.16076349444
IGHM,201724.79934715404
MMP12,251828.6578028537
CD36,154279.72433920877
CD9,148891.03415659917
CD1C,199002.48921607385
ITGA6,187993.86578425314
PTPRC,207330.1495260713
FCGR3A,232671.50745198433
FOXP3,193580.0334942069
IL3RA,159815.85838959884
KRT19,162225.06846620384
HLA.B,151254.31608342394
THY1,298809.09160527494
IL7R,242622.4030175024
ICOS,142059.392258363
CXCR5,222251.99005247548
KIT,174132.612626222
PDCD1,270802.73771255795
CD5,159674.92097135703
ITGAX,383123.5589031119
VIM,174311.64049079825
ICAM1,248372.57422750935
LILRB1,187023.01408028192
CD7,162976.5110235597
FUT4,174765.01011790705
CR2,320955.1237757698
CD38,179845.06032122098
CD4,286162.5452340904
ISG20,152269.0449810066
CEACAM1,173825.8758601842
CD40,403581.1989732518
CD8A,249428.24904727214
PTPRCRA,165931.47404361508
ENTPD1,336742.3285349322
