target,imp
ACTA2,356.8362993925806
ACTG2,79.655011320219
ACTR3B,349.75354001836337
ADGRL4,153.25134155836687
AGR2,933.6633333047884
AHR,645.1216071240352
AIF1,144.62720194480136
AKT1,438.88304947852527
ALDH1A3,184.52043603515943
ANLN,351.00968029211356
AP1M2,328.9138324169476
APOC1,350.7666673384799
APOE,333.3989045354995
AR,1368.0272769958156
AURKA,293.9505661824453
AZGP1,2180.701593911216
B2M,619.3668836997283
BAG1,481.5303361368616
BANK1,170.87952156075286
BCL2,513.7563213014446
BGN,1093.5087967888949
BICC1,169.19750663938746
BIRC5,196.93155590591672
BLVRA,184.52524522652297
BRAF,247.59284764738797
C1QA,280.01279243082087
C1QB,314.4951034904697
CALCRL,206.1109068313225
CAPN13,350.2833725529586
CCL2,115.5997542839133
CCL3,198.2126280755073
CCL4,148.63919737246692
CCL5,132.07821894406328
CCNB1,428.8101525014476
CCND1,773.194338078947
CCNE1,227.48435548605153
CCNE2,203.26534104658887
CD14,189.3284331731994
CD163,206.6311452647152
CD19,137.62031357961104
CD2,154.3094890237352
CD24,805.5562408700655
CD274,133.4437134838589
CD34,280.5186790015375
CD36,151.6298205198641
CD38,194.43914787598897
CD3D,171.61259509074185
CD3E,114.7062841905772
CD3G,219.53928359296233
CD4,213.03840612988148
CD40,212.74479995038683
CD40LG,233.3790197141883
CD44,1889.6814173156831
CD5,181.13885048872652
CD63,835.0095161932484
CD68,158.64567440092605
CD69,265.6874970014189
CD7,207.7911727893232
CD74,655.6123954607439
CD79A,295.575689249318
CD79B,182.74777855778157
CD8A,165.4137357445696
CD9,1149.9020183210903
CD96,113.70714159848563
CDC20,345.2928711626412
CDC6,258.1856908016402
CDH1,619.8123144407705
CDH11,143.6284478129808
CDH3,159.83123331358388
CDK4,542.183944339146
CDK6,162.79241293968323
CDK7,443.1311195791491
CDKN2A,310.72227246501836
CEACAM1,1413.3362246906386
CENPF,359.2270163542802
CEP55,256.2831134017433
CLDN4,292.5766315587774
CLU,1762.7705699570379
COBL,889.0717075819186
COL1A1,782.0407818895402
COL1A2,888.4716815000221
COL3A1,616.7860957277261
COL4A1,506.79973588888134
COL4A2,563.7048452537013
COL4A5,308.33535808000687
CR2,85.09131806336686
CRABP2,917.3191304490076
CSRP2,189.76967547431428
CST3,225.08023818161536
CSTB,218.84244357639508
CTCF,533.6169741069236
CTLA4,110.91604667967113
CTSL,586.2039186123385
CXCR5,387.8563086425583
CXXC5,358.3540715974887
DCN,185.33286982376288
DERL3,288.97168278315985
EFNA5,376.9089129563531
EGFR,301.2241241870529
EIF3E,391.2609997136959
ELF5,260.1258552156025
EPCAM,747.7602251831099
ERBB3,2975.8351738212223
ERBB4,649.6648130469601
ESR1,1087.2676914050485
FABP7,419.70886979875127
FAP,325.44657885896646
FASN,1245.5940197082498
FAT1,148.3907200736683
FCGR3A,332.27328625614575
FCN1,134.52871009676446
FCRL5,124.3247068355631
