target,imp
ACTA2,100.64944656279117
ACTG2,17.697949581988638
ACTR3B,30.091352090777754
ADGRL4,18.980833657771093
AGR2,43.06598244532292
AHR,50.06978241264538
AIF1,22.70434987913034
AKT1,51.71841392771191
ALDH1A3,16.28200430570169
ANLN,40.127264456770384
AP1M2,25.284590625364803
APOC1,18.97323538747337
APOE,28.08040003171321
AR,44.779356703495544
AURKA,32.23026319368626
AZGP1,58.47500661783079
B2M,53.13084819917127
BAG1,43.92152154784657
BANK1,23.676798185447343
BCL2,25.400709274390575
BGN,49.52444657498125
BICC1,48.43583972093786
BIRC5,10.340889792217883
BLVRA,43.18335853272463
BRAF,25.545480164593965
C1QA,15.64540677676862
C1QB,24.02945517177908
CALCRL,31.533139433349962
CAPN13,25.82107401171653
CCL2,18.775412064722605
CCL3,18.497994052574914
CCL4,26.21126342965398
CCL5,11.982962799342344
CCNB1,40.73334741572229
CCND1,87.88572287200755
CCNE1,23.911876506204663
CCNE2,25.72238799042561
CD14,18.54573893247553
CD163,25.814828424562847
CD19,11.373615021464353
CD2,28.655374292413093
CD24,78.06531161757687
CD274,22.464162423723284
CD34,27.240358039596018
CD36,10.29770754151182
CD38,31.164397631727546
CD3D,28.02729548731087
CD3E,16.46665950344076
CD3G,19.617801731191015
CD4,27.27708636597957
CD40,40.604686445324084
CD40LG,25.132734159392058
CD44,52.22611376954719
CD5,30.05790158791043
CD63,45.759446588696704
CD68,23.450411122374398
CD69,44.03992360615858
CD7,32.566887003747496
CD74,36.51729630644163
CD79A,24.260135448326714
CD79B,28.60575795013675
CD8A,30.38304345704541
CD9,60.212291247100126
CD96,8.765973833066438
CDC20,27.32105603436838
CDC6,31.268085190462276
CDH1,69.7282649902256
CDH11,15.148443745855879
CDH3,23.153602493314555
CDK4,40.33225675251993
CDK6,45.18603287855207
CDK7,24.958800222481646
CDKN2A,25.5511700479014
CEACAM1,51.77020185645194
CENPF,54.00490745842531
CEP55,19.876188459388846
CLDN4,17.56246438781814
CLU,57.16275900707313
COBL,45.657992226540316
COL1A1,57.7353664927011
COL1A2,70.08878901546072
COL3A1,71.35469991652067
COL4A1,62.97819088782744
COL4A2,77.23022519095485
COL4A5,22.51385903765894
CR2,8.032886082361584
CRABP2,65.12578647537954
CSRP2,31.968215691759365
CST3,24.455784194925112
CSTB,21.470321729998005
CTCF,36.61447810665684
CTLA4,17.49814648161683
CTSL,49.77620082397725
CXCR5,38.759672543647575
CXXC5,31.150518039640502
DCN,28.960039825630766
DERL3,31.95409510348701
EFNA5,36.890352583475945
EGFR,35.4988561487083
EIF3E,37.41087573842741
ELF5,17.841225782258824
EPCAM,44.04058349088491
ERBB2,56.43855327344916
ERBB3,49.20327086243599
ERBB4,44.90274332100785
ESR1,63.82323105990976
FABP7,52.64834698761354
FAP,40.2009642306885
FASN,60.88867419833136
FCGR3A,21.326537061596273
FCN1,13.944689593943725
FCRL5,13.138338592596506
FGFR1,39.205680459625114
FGFR2,47.426890500845786
FGFR4,63.657138714688124
FN1,156.64734149109688
FOS,23.97178304758903
FOXA1,72.53908035873891
FOXC1,42.03241213701452
FOXP3,47.31091485546654
FXYD3,35.713872850876825
GATA3,62.863764871482935
GNG11,16.436731868859205
GNLY,24.570165193788046
GPNMB,11.56102943785569
GPR160,32.229258450759595
GRB7,41.58519809873835
GSN,41.767189994776935
GZMB,23.51637169245765
HIF1A,63.839439454205404
HLA.A,30.018648998223696
HLA.B,41.66058255106265
HLA.C,33.11574559553358
HLA.DPA1,19.358126908098026
HLA.DRA,23.608540289239546
HLA.DRB1,13.615288891052645
HLA.DRB5,14.584591327642386
HLA.E,35.438149186661235
HSPB1,57.85200161340198
HSPG2,34.90321334683593
ICAM1,24.906261092080868
ICOS,12.654305767649952
IFITM3,32.244710300661616
IGF1R,18.007093102912002
IGFBP5,70.8633580843942
IL2RA,34.51262507660849
IL32,30.636824844888952
IL3RA,28.327468977690796
IL7R,9.00431868981916
ISG15,19.107806142342934
ISG20,23.507534773748443
ITGA6,60.46147569600279
ITGAX,13.605447276558525
JUN,26.948114332320614
JUNB,80.63379917083788
KIF23,33.34921982627744
KIT,22.5899373509132
KRAS,58.776462234438796
KRT10,8.684306915491625
KRT14,14.388061573096287
KRT15,32.362522062939725
KRT17,23.25021365308315
KRT18,79.10585208889549
KRT19,83.91053703048134
KRT5,47.50926259301156
KRT7,67.63607944304364
KRT8,71.43650322849841
LAG3,34.65527674018541
LAMA1,41.31160131445845
LAMC1,67.91286586639238
LDB2,42.40799323583205
LGALS1,39.98387885302245
LGALS2,16.672303789976727
LGMN,57.90640042364998
LILRB1,5.292635644814976
LRP2,64.58622720626688
LST1,28.8495831481639
LTF,32.4633293920608
LUM,21.09285018762154
LYPD6B,21.52503495751695
LYZ,37.136565827143976
MAPK13,35.62139183851311
MAPK3,34.064290922144416
MDM2,43.61435051820532
MELK,27.942932706358775
MIA,16.438394296600485
MKI67,20.663592494981366
MLPH,61.71377991407839
MMP11,39.240394046608955
MMP12,7.082795020475888
MMP9,25.86091444979274
MS4A1,42.72631004713928
MSR1,20.49403872986197
MT2A,9.71264697529578
MUC1,73.84256422892574
MYB,34.192696345135175
MYBL2,44.29279547159056
MYC,56.92983960347428
MYL6,58.89308265604781
MYL9,36.74904692838867
MYLK,70.68113340697982
MYO10,51.59351381938699
MYO5B,35.97642958167501
MZB1,33.41021274462364
"NAT1",34.99079950423907
NCAM1,30.375418776972694
NDC80,28.136866304230544
NDRG2,37.07631081735584
NF1,41.388781116717375
NFKBIA,29.94733438825249
NKG7,21.329794952232074
NOTCH1,34.506523442643825
NR3C1,32.265310456945265
NUF2,12.57941123145174
OBP2B,25.687698072584514
ORC6,19.705980523082676
PABPC1,81.25502917548035
PBK,25.281681485655103
PDCD1,17.71012335796421
PDPN,15.293953316640955
PDZK1IP1,25.681728653579338
PECAM1,21.38409079916812
PGR,15.549316336336533
PHGDH,41.772961663181576
PI3,15.991182119732198
PIK3CA,36.776964205361324
PLEK,15.101995333755415
PLVAP,27.559660529164777
POU2AF1,22.505561217560583
PRLR,52.10132501264417
PTEN,36.550659868969326
PTPRB,28.300189877361376
PTPRC,26.279107138931863
PTTG1,23.768926378505398
RAMP2,15.080603285625093
RB1,39.38820615857376
RPL13,21.250206764141502
RPL18,31.297813155177437
RPSA,43.92605689828325
RRM2,9.427282568482163
S100A14,41.63531385614951
S100A4,42.03292751484176
S100A8,22.796453805377393
S100A9,15.942963630310812
SDC1,42.350096497874205
SFRP1,11.848251366182344
SIAH2,40.079628841349944
SKAP1,19.094340591830946
SLC2A1,30.742369437129987
SLC39A6,42.377953651312474
SLPI,31.920688434946236
SNAI2,45.406168644279205
SOX10,13.08987255142012
SOX18,9.74951981026524
SOX4,57.046994637415075
SPDEF,66.27350049606882
SPP1,74.07575720712413
STAT5A,31.401118248299632
STMN1,37.4478386943367
SULF1,27.87169967934135
TAGLN,32.002220022737056
TBX21,14.115882041293514
TCF4,52.70821194899854
TCL1A,15.484044025399971
TFEC,13.991031062248773
TFF1,15.659242690666899
TFF2,11.104300113425534
TFF3,42.433317294710356
TFRC,29.80153013176781
THEMIS,9.865662975630023
THY1,58.922065188289395
TIMP1,60.69081176883583
TMEM45B,15.825908019911902
TMSB10,44.46890979537784
TP53,43.02683578194497
TPM2,53.904302001638555
TRAC,26.19083254749856
TRDC,25.046811781561225
TSPAN1,53.215683591810404
TTC6,48.08445483027475
TTYH1,28.644254549378253
TYMS,20.70670120143323
UBE2C,7.985390845161287
UBE2T,31.99418815463188
VIM,62.603663447938374
VSIR,45.79618982390837
XBP1,91.26647969995206
XCL1,20.445231704670174
ZEB1,55.192125863886055
ZNF571,52.25537634295779
