target,imp
ACTA2,33.49960581225028
ACTG2,55.12340515845907
ACTR3B,34.17480984793056
ADGRL4,48.28675045787704
AGR2,20.8656459815186
AHR,27.516413053088844
AIF1,39.838995173629485
AKT1,36.47307776004457
ALDH1A3,49.99689600257219
ANLN,38.309169719143085
AP1M2,62.15490795401296
APOC1,44.23675615405766
APOE,50.18698671734807
AR,31.05208185140636
AURKA,50.04866136817262
AZGP1,22.75239946288064
B2M,42.61311690240657
BAG1,38.80743424505903
BANK1,55.51477574123829
BCL2,21.87542545681902
BGN,49.789528304751656
BICC1,44.59906473836523
BIRC5,29.59021764177471
BLVRA,43.96359726521921
BRAF,38.15698992395769
C1QA,36.498285364950654
C1QB,40.549542174034315
CALCRL,43.57149334238741
CAPN13,39.0555704641388
CCL2,51.21611841218606
CCL3,56.82965585443266
CCL4,56.439676377509194
CCL5,43.61332887715496
CCNB1,31.401086122805072
CCND1,25.456879689351744
CCNE1,43.18675594004952
CCNE2,49.8848304761576
CD14,29.09459962845921
CD163,30.920863230904537
CD19,57.520293489770246
CD2,42.09395956345308
CD24,21.42825511186194
CD274,53.18373883888032
CD34,38.727923994842286
CD36,40.79726081184806
CD38,47.703229861404765
CD3D,44.53757550731422
CD3E,76.44473761446675
CD3G,40.08460293672057
CD4,50.18021787538025
CD40,41.50307338126046
CD40LG,52.35248891864471
CD44,27.120509722501925
CD5,45.13700449998126
CD63,33.29943897634118
CD68,30.207723611366543
CD69,41.98982955855611
CD7,47.21387441013374
CD74,42.34988695950466
CD79A,40.045220866138884
CD79B,42.94192201538828
CD8A,40.81395090559236
CD9,28.571269213225666
CD96,39.52784666384965
CDC20,28.696328537120465
CDC6,39.44455724904748
CDH1,25.92284660236979
CDH11,47.12540841003467
CDH3,56.882954207663815
CDK4,34.790036475665254
CDK6,36.623685010169226
CDK7,24.716086030937888
CDKN2A,33.95129759977284
CEACAM1,32.662505660768595
CENPF,39.72464003050502
CEP55,38.31753479749509
CLDN4,36.596335845637086
CLU,21.2398739399513
COBL,28.188086478413688
COL1A1,39.94713187187641
COL1A2,35.022117598713436
COL3A1,40.625416690171505
COL4A1,28.367300624495055
COL4A2,50.771689489549246
COL4A5,36.13241590345902
CR2,45.37229776737601
CRABP2,29.733603673780898
CSRP2,45.45375937724857
CST3,42.30956998761517
CSTB,55.698961995672626
CTCF,28.15105573688387
CTLA4,48.846170259726904
CTSL,31.730768368526196
CXCR5,42.64226081626637
CXXC5,34.19297554390749
DCN,43.506348422885395
DERL3,46.29060878481261
EFNA5,25.615520710823247
EGFR,35.03726466193485
EIF3E,31.04067169832568
ELF5,34.79576907340865
EPCAM,27.548596911653863
ERBB2,26.252741930239555
ERBB3,21.85851333219864
ERBB4,37.93262216924361
ESR1,36.97231626223896
FABP7,34.5320800132177
FAP,48.340560007303154
FASN,28.59238258354691
FAT1,57.62853458112142
FCGR3A,35.77038740440451
FCN1,47.61666691112012
FGFR1,41.706908987286276
FGFR2,46.49270417023584
