target,imp
ACTA2,372.9287407858659
ACTG2,122.90451822240252
ACTR3B,356.8188214730893
ADGRL4,153.98445516920216
AGR2,776.0504359576065
AHR,685.2074568535685
AIF1,155.76931407809926
AKT1,428.0654338826948
ALDH1A3,173.80875716144362
ANLN,311.1611254371555
AP1M2,291.9740146636984
APOC1,335.70089102682374
APOE,352.1931856329141
AR,1838.168004140206
AURKA,230.59562982286033
AZGP1,1817.5551977748194
B2M,628.2479347783741
BAG1,435.71099684659043
BANK1,179.13297599603266
BCL2,451.36843238279545
BGN,1072.938562676491
BICC1,200.1045273917756
BIRC5,169.54726839954932
BLVRA,136.8198334990797
BRAF,228.05451244827614
C1QA,281.285368176841
C1QB,248.70258216174923
CALCRL,231.93006229404116
CAPN13,344.76525683146014
CCL2,105.67936221231676
CCL3,207.71961022066796
CCL4,165.267303327385
CCL5,109.94683172017014
CCNB1,357.91528114987324
CCND1,835.0628510855372
CCNE1,204.4150124877992
CCNE2,152.62651750762598
CD14,162.21536302373192
CD163,161.41404056428215
CD19,145.01312625807603
CD2,158.5415507282757
CD24,1031.882261609239
CD274,153.99783517422915
CD34,247.59125785395318
CD36,157.3627940257382
CD38,181.41570773035957
CD3D,196.60638642705547
CD3E,149.11833912678145
CD3G,207.5749710319958
CD4,238.6145564166626
CD40,230.96642683071406
CD40LG,280.5803527884815
CD44,746.426463386748
CD5,145.37373596224666
CD63,612.0360032639774
CD68,163.1267609384122
CD69,212.40219946019312
CD7,163.68544485586338
CD74,726.4927337344029
CD79A,258.707636113001
CD79B,205.39407323841115
CD8A,127.51434350752277
CD9,716.842719472766
CD96,128.26782008370992
CDC20,266.30187193730427
CDC6,193.22177189715802
CDH1,518.6635417459627
CDH11,162.42285402315184
CDH3,153.18136538514474
CDK4,463.24333185820893
CDK6,145.7828849043953
CDK7,342.95840762441736
CDKN2A,250.95527128775615
CEACAM1,1378.9882357913675
CENPF,290.8572533088789
CEP55,200.7193495558844
CLDN4,196.67231591256066
CLU,1462.9923269952892
COBL,686.73753360322
COL1A1,783.9679327140373
COL1A2,775.5677954716801
COL3A1,663.0286863091133
COL4A1,613.4058202509457
COL4A2,533.762352734749
COL4A5,244.91707503679018
CR2,58.34476726066023
CRABP2,1020.7820715470936
CSRP2,175.20963809647048
CST3,207.3958696112105
CSTB,200.9921886601038
CTCF,480.5200724929709
CTLA4,90.23491222100846
CTSL,481.30124014811275
CXCR5,322.5549979944994
CXXC5,478.5825254835594
DCN,241.50519113394185
DERL3,246.64203557170833
EFNA5,334.9020515445115
EGFR,285.8825327131948
EIF3E,387.9105023584037
ELF5,226.23804762584265
EPCAM,577.3890487714592
ERBB2,2237.8762704797705
ERBB3,1970.6022260589273
ERBB4,471.14144545435755
ESR1,1219.2000945174846
FABP7,354.2345721272843
FAP,275.5651502020407
FASN,2777.9556485791777
FAT1,155.67383259412324
FCGR3A,270.7775514929159
FCN1,150.80844791247765
FCRL5,113.20092307476081
FGFR1,581.0600673550898
FGFR2,174.58239216259855
FGFR4,791.9493549844096
FN1,796.9391979397373
FOS,208.82863180193607
FOXA1,1417.9611162469155
FOXC1,368.9829223923655
FOXP3,243.5988389449264
FXYD3,908.2200877811586
GATA3,2558.1949490204893
GNG11,133.79335588647814
GNLY,144.83773559389837
GPNMB,181.74406256675596
GPR160,342.0260143588904
GRB7,339.7967985220923
GSN,274.4883581439207
GZMB,158.31121832651317
HIF1A,326.28794578648507
HLA.A,221.58900083012395
HLA.B,438.4295872753492
HLA.C,285.43702400723873
HLA.DPA1,374.89258955876755
HLA.DRA,454.43098681652475
HLA.DRB1,197.01503216909364
HLA.DRB5,168.66287308728005
HLA.E,570.8133821188505
HSPB1,714.9821274268663
HSPG2,291.08385011315215
ICAM1,125.91582355725357
ICOS,91.35709281207423
IFITM3,507.5896574319241
IGF1R,188.77195208803354
IGFBP5,820.9235689576857
IL2RA,420.3617078176971
IL32,413.6920886512205
IL3RA,213.50410981172163
IL7R,113.97897239996985
ISG15,220.6006955389965
ISG20,273.54253763294736
ITGA6,771.216595868604
ITGAX,150.62461475607634
JUN,454.05441756470515
JUNB,541.4815432393809
KIF23,257.81341583721337
KIT,124.77859964401782
KRAS,423.3166962933654
KRT10,93.72132997886874
KRT14,100.56045987187413
KRT15,371.47087063029954
KRT17,98.73008054023492
