target,imp
ACTA2,21.61048983433908
ACTG2,35.816611133466814
ACTR3B,15.586595510780612
ADGRL4,25.704697700797475
AGR2,17.796784053825267
AHR,13.42718144389565
AIF1,21.214343731853077
AKT1,8.711950655363493
ALDH1A3,21.38037391972672
ANLN,7.849882946597368
AP1M2,15.006407923531995
APOC1,21.150253348186812
APOE,20.143954840096445
AR,16.35081618514424
AURKA,26.84295008819845
AZGP1,12.804269245201269
B2M,25.040373293761437
BAG1,29.399799129175314
BANK1,41.74359347071718
BCL2,12.060695925783202
BGN,20.62482127219512
BICC1,18.332276328695347
BIRC5,17.345789252214402
BLVRA,27.830051577247154
BRAF,20.779821266297407
C1QA,25.257381056709576
C1QB,31.078607702587302
CALCRL,23.969597028256103
CAPN13,19.488321452848368
CCL2,20.197101554396458
CCL3,20.67360071636007
CCL4,25.849920927560973
CCL5,30.370859435399247
CCNB1,22.259959257928973
CCND1,10.891666262536221
CCNE1,19.706647640410498
CCNE2,23.99313431606371
CD14,28.10561449395152
CD163,23.30645033934952
CD19,14.23228028678167
CD2,26.72128523986731
CD24,12.847170053253132
CD274,30.02213854758525
CD34,22.239384858154587
CD36,44.85367600154294
CD38,23.1107644390611
CD3D,32.762879241651724
CD3E,27.901696749277303
CD3G,31.535337049149692
CD4,34.79497593865785
CD40,32.39077940284038
CD40LG,17.509693585424433
CD44,6.175357244443154
CD5,27.160052978077974
CD63,17.55295465330931
CD68,41.774702354656704
CD69,26.93548592396019
CD74,15.28019898095776
CD79A,29.67843113202512
CD79B,20.707568536918576
CD8A,24.451838834505523
CD9,11.716178821206622
CD96,25.63513107755257
CDC20,23.800523361883783
CDC6,29.40043560560122
CDH1,16.298791266575584
CDH11,29.52195343741482
CDH3,29.85273329941555
CDK4,16.471425612649824
CDK6,27.725796851607573
CDK7,12.831298411070733
CDKN2A,26.030918113671188
CEACAM1,9.50806425739841
CENPF,21.57068608902067
CEP55,16.51023832023644
CLDN4,22.70260692208115
CLU,17.654522215636312
COBL,12.182044226943797
COL1A1,21.84222013246217
COL1A2,17.588734489958917
COL3A1,20.7960071142307
COL4A1,14.941854615719825
COL4A2,18.235929549558048
COL4A5,29.47361974149333
CR2,33.297651370495274
CRABP2,16.388238970844633
CSRP2,23.404518101853725
CST3,17.498329381139275
CSTB,26.23978033436707
CTCF,14.49139130783426
CTLA4,28.979170958757535
CTSL,15.851464257003656
CXCR5,28.18604809365461
CXXC5,29.360622541749773
DCN,19.77510231137482
DERL3,34.22101441314476
EFNA5,20.520095161008395
EGFR,28.84147051120629
EIF3E,31.28973602364715
ELF5,30.656092262808993
EPCAM,14.498198909694953
ERBB2,11.05222459274197
ERBB3,14.257232679973106
ERBB4,18.824217875359015
ESR1,14.705965339873908
FABP7,26.10376399663916
FAP,36.071814206391906
FASN,14.779912980234219
FAT1,24.48270369614499
FCGR3A,26.426669739489718
FCN1,33.10462357365606
FCRL5,20.29249533579134
FGFR1,20.133920401526673
FGFR2,18.931860826490542
FGFR4,14.24176070742735
FN1,18.578853314099813
FOS,17.949655413042784
FOXA1,11.726378566141573
FOXC1,27.90060941052755
FOXP3,24.318585660885518
FXYD3,12.367065292335626
GATA3,7.371953473375209
GNG11,19.883591706979043
GNLY,27.482270263024457
GPNMB,18.825548431634346
GPR160,15.726165176664267
GRB7,26.533423292181723
GSN,23.678753940700943
GZMB,30.796083895828783
HIF1A,27.426577347193856
HLA.A,25.45480390859731
HLA.B,13.764835939228474
HLA.C,19.571065653380835
HLA.DPA1,23.92658630116882
HLA.DRA,23.213745959644836
HLA.DRB1,20.894497137408063
HLA.DRB5,22.614116031295268
HLA.E,22.778938092758597
HSPB1,21.24924215402353
HSPG2,21.222898977502073
ICAM1,18.502613201442735
ICOS,29.199916005030037
IFITM3,21.647213901256873
IGF1R,21.836484463056753
IGFBP5,14.206730399901454
IL2RA,17.688411211204297
IL32,33.09459166077445
IL3RA,37.292749471836515
IL7R,56.650980385387086
ISG15,19.056154142134584
ISG20,19.10486449797078
ITGA6,16.24856094176683
ITGAX,21.452334141536316
JUN,13.63969262535874
JUNB,17.816185292254577
KIF23,28.898930836261357
KIT,20.97150112474067
KRAS,17.990928693654304
KRT10,31.270857407320303
KRT14,22.477131353062976
KRT15,17.335422961433647
KRT17,21.270751903423502
KRT18,9.351910466896616
KRT19,16.538434567249723
KRT5,28.811524399371997
KRT7,8.772269768427543
KRT8,10.828795138235074
LAG3,18.969787504296754
LAMA1,23.06709229316455
LAMC1,13.273319645975912
LDB2,18.768255645551594
LGALS1,38.157691655024244
LGALS2,37.742145935271
LGMN,16.822241979900422
LILRB1,48.31779426502904
LRP2,8.144526045838619
LST1,41.04646521173026
LTF,30.597603203953295
LUM,22.87426783383389
LYPD6B,24.251968665985043
LYZ,24.153548969067124
MAPK13,17.334601117851502
MAPK3,19.961453203239238
MDM2,19.265300240623755
MELK,23.218033800920317
MIA,21.904816941839872
MKI67,28.849710010596418
MLPH,17.188382624504897
MMP11,21.774461580726605
MMP12,38.546527453744055
MMP9,28.08103595956615
MS4A1,17.645106880044228
MSR1,24.900927642331617
MT2A,37.395546751866725
MUC1,10.867294761117883
MYB,17.853285413469933
MYBL2,20.600289282936913
MYC,20.341092805330984
MYL6,15.616093587815488
MYL9,25.82105649913278
MYLK,23.000517543896223
MYO10,13.538582277033802
MYO5B,14.940583635605533
MZB1,15.216618340391125
"NAT1",22.634365947338296
NCAM1,31.12944507531342
NDC80,15.71773646292669
NDRG2,32.14021897295698
NF1,17.33002942288549
NFKBIA,21.182011972024057
NKG7,25.080333019564236
NOTCH1,33.691103378603934
NR3C1,16.77964465142176
NUF2,31.394517826608016
OBP2B,22.32156656555101
ORC6,34.002330160101955
PABPC1,7.920776250622027
PBK,17.515440358983447
PDCD1,20.2685349242161
PDPN,24.684302628483
PDZK1IP1,22.097551685829732
PECAM1,39.796051417417424
PGR,25.84312318669837
PHGDH,12.090773008255463
PI3,24.10044118255038
PIK3CA,16.446739798587124
PLEK,22.43739452050484
PLVAP,26.642510215831273
POU2AF1,27.766134826965757
PRLR,11.28482146988488
PTEN,13.871572033056523
PTPRB,17.251683543756087
PTPRC,21.82344531004861
PTTG1,15.818052351852161
RAMP2,27.167565839188352
RB1,14.508172834285103
RPL13,23.628904421061605
RPL18,13.50917471714461
RPSA,19.44887894494021
RRM2,22.021958082938355
S100A14,21.84711743073875
S100A4,15.458247505821838
S100A8,25.17775402998865
S100A9,20.25403700418063
SDC1,18.820335265322413
SFRP1,21.423725111341376
SIAH2,14.092348517731585
SKAP1,14.280303837580568
SLC2A1,17.8242605865212
SLC39A6,7.986862748651817
SLPI,28.16773754161353
SNAI2,27.969376450844937
SOX10,36.88910135948219
SOX18,18.932010731005047
SOX4,16.14812458831199
SPDEF,14.193823048501331
SPP1,24.47005393717036
STAT5A,25.466675035007228
STMN1,18.02692597016621
SULF1,25.14947585236156
TAGLN,19.304257263563045
TBX21,28.326476273541868
TCF4,22.351625545843163
TCL1A,23.637493780437623
TFEC,24.114765683629876
TFF1,34.513903973827524
TFF2,31.507099336148
TFF3,21.83990623278229
TFRC,29.1072711161389
THEMIS,15.126009741517645
THY1,43.99545085291477
TIMP1,18.013682409221243
TMEM45B,29.04778556395905
