target,imp
ACTA2,0.23135316801878986
ACTG2,0.13076868116865595
ACTR3B,0.19996707079682507
ADGRL4,0.4156813482150954
AGR2,0.6658519312761885
AHR,1.1168530793209244
AIF1,0.1259265700393008
AKT1,0.6582202721041561
ALDH1A3,0.046411350115733885
ANLN,0.5060636127417902
AP1M2,0.4421365060335832
APOC1,0.5907176362673721
APOE,0.31452667562573533
AR,0.8728102675928622
AURKA,0.2490014384268282
AZGP1,1.277637927734785
B2M,1.2365300726510393
BAG1,0.5113445402634118
BANK1,0.046703710380914254
BCL2,0.625252593195396
BGN,0.5413626563067149
BICC1,0.2076298897885396
BIRC5,0.7262385658298193
BLVRA,0.4197415098870551
BRAF,0.6465580312729778
C1QA,0.23714421299592112
C1QB,0.4004483641547793
CALCRL,0.5494020913121779
CAPN13,0.33790021894098793
CCL2,0.49428771156519646
CCL3,0.454611897185185
CCL4,0.28595201333013454
CCL5,0.49127381328438696
CCNB1,0.3938807115289491
CCND1,1.2574907256830041
CCNE1,0.5209467823909246
CCNE2,0.13175599808285932
CD14,0.1123712057943339
CD163,0.45448747510084336
CD19,0.21885958127178914
CD2,0.1288630919151959
CD24,0.9282304436612854
CD274,0.21509813140338901
CD34,0.6562443551092637
CD36,0.041717738330139136
CD38,0.15570853886022992
CD3D,0.1985637724529248
CD3E,0.10558971308347098
CD3G,0.21256277959365627
CD4,0.18519499384644017
CD40,0.13882384134118317
CD40LG,0.15251760287718266
CD44,0.95441221788076
CD5,0.16809138054176345
CD63,0.9340848537530654
CD68,0.018859937526976067
CD69,0.14477202156529168
CD7,0.9836367135428484
CD74,0.41552326307491916
CD79A,0.5299482675742377
CD79B,0.711505648019973
CD8A,0.14613039663271513
CD9,0.5538914538496156
CD96,0.06500469164710256
CDC20,0.5428830480062845
CDC6,0.7658434579918623
CDH1,1.0149415874233039
CDH11,0.30299761877345444
CDH3,0.6003909371928595
CDK4,0.938780433992083
CDK6,0.18844466074235502
CDK7,0.846180073615288
CDKN2A,0.09687958964941255
CEACAM1,0.8505068000170085
CENPF,0.40628877016812354
CEP55,0.35984667712572355
CLDN4,0.18799282689291835
CLU,0.7652096380945643
COBL,0.381757049333959
COL1A1,0.22855953160481302
COL1A2,0.55580091491435335
COL3A1,0.15233320047274115
COL4A1,0.8259335199346782
COL4A2,0.4340392136895602
COL4A5,0.39870932326910746
CR2,0.33870783145040906
CRABP2,1.0864789298354451
CST3,0.12270301814340277
CSTB,0.4767823302646115
CTCF,0.5865045965626351
CTLA4,0.1854396128344719
CTSL,0.417180186670911
CXCR5,0.15699886782694508
CXXC5,0.23469371508596762
DCN,0.03627473975300062
DERL3,0.2901247255495553
EFNA5,0.5938502429226846
EGFR,0.3655549265341109
EIF3E,0.3640535044511517
ELF5,0.153594364764404
EPCAM,0.8028534895101659
ERBB2,0.8450727997103664
ERBB3,1.4580251399136828
ERBB4,0.5661092966364493
ESR1,0.5649950048846456
FABP7,0.36716261530197014
FAP,0.1599805723836135
FASN,1.7144334640529595
FAT1,0.3429388687595518
FCGR3A,0.21039678557499614
FCN1,0.08653920935380788
FCRL5,0.3241689745927163
FGFR1,0.8003292636164384
FGFR2,0.1963931103408791
FGFR4,0.8094354859060799
FN1,0.3269243983985694
FOS,0.1742032178249592
FOXA1,0.8758766523770349
FOXC1,0.16781530629243022
FOXP3,0.3083805325194846
FXYD3,0.8170183853602226
GATA3,1.4516057587928706
GNG11,0.19436479951421973
GNLY,0.13439796724583744
GPNMB,0.18086481172903762
GPR160,0.18566861878189456
GRB7,0.1709772650971447
GSN,0.2610655329103118
GZMB,0.026985245582638217
HIF1A,0.3277389989739774
HLA.A,0.17997180603552893
HLA.B,0.30897881880176703
HLA.C,0.695117330603026
HLA.DPA1,0.24884775551474828
HLA.DRA,0.3346537217916615
HLA.DRB1,0.3655505001543887
HLA.DRB5,0.08623833848213774
HLA.E,0.8769821482274738
HSPB1,0.7540097372172303
HSPG2,1.5720332039727622
ICAM1,0.23014833035110668
ICOS,0.32379201370640504
IFITM3,0.3931189540723578
IGF1R,0.13285995549027957
IGFBP5,1.348351143380182
IL2RA,0.40809328603594813
IL32,0.252792339825828
IL3RA,0.3308252151380772
IL7R,0.24126420889473824
ISG15,0.09801081798496142
ISG20,0.32875913903527004
ITGA6,0.593168019649704
ITGAX,0.1477201973976901
JUN,0.8980864325064573
JUNB,0.7158231202166835
KIF23,0.37546255228340875
KIT,0.1055282308795764
KRAS,0.6811647873658591
KRT10,0.12467646596657883
KRT14,0.11404595497229886
KRT15,0.493460605301398
KRT17,0.09873102270013702
KRT18,1.0600283679005307
KRT19,1.0348151652762396
KRT5,0.2662798878835092
KRT7,1.0617935340810452
KRT8,2.003951446987486
LAG3,0.16602324713486738
LAMA1,0.06054148119800692
LAMC1,0.9477334338050528
LDB2,0.6177166152759761
LGALS1,0.4975193492021176
LGALS2,0.19276248110638405
LGMN,0.633537768870542
LILRB1,0.143009635936756
LRP2,0.9978610533126634
LST1,0.19008738139542256
LTF,1.072253385835266
LUM,0.5473809903302065
LYPD6B,0.5961220083886994
LYZ,0.19057366993780125
MAPK13,0.3481993867197255
MAPK3,0.2622547032380587
MDM2,0.6148356208354087
MELK,0.6999437601438554
MIA,0.3669062846455592
MKI67,0.4098703963822829
MLPH,1.9878015305631627
MMP11,0.14248573422717536
MMP12,0.07967650420848325
MMP9,0.42437269035847786
MS4A1,0.20814485876953367
MSR1,0.2512557740441784
MT2A,0.35564486481855545
MUC1,1.461961988705571
MYB,0.925620689740023
MYBL2,1.6838182479018347
MYC,0.32133023414709533
MYL6,1.0895093552903294
MYL9,0.3325936578377309
MYLK,0.2007999484450993
MYO10,0.650355860714255
MYO5B,0.7575429895772041
MZB1,0.5471567096237379
"NAT1",0.20486023012097285
NCAM1,0.16261607603040276
NDC80,0.5344003097382493
NDRG2,0.41949892930213317
NF1,0.5963285180954753
NFKBIA,0.531154623270298
NKG7,0.6858001166079147
NOTCH1,0.4892799471736189
NR3C1,0.8121101142202464
NUF2,0.1490113540464854
OBP2B,0.050800717688709904
ORC6,0.33164870648609446
PABPC1,1.4014910230137863
PBK,0.5143597592131561
PDCD1,0.12008388192456856
PDPN,0.030660160225976174
PDZK1IP1,0.2476576076376755
PECAM1,0.2722341664500881
PGR,0.06646067352384205
PHGDH,0.47761575124606337
PI3,0.27201130391635286
PIK3CA,0.15685240589194416
PLEK,0.04294905121891549
PLVAP,0.5389059244414285
POU2AF1,0.44085036623160667
PRLR,0.7143929210417228
PTEN,0.2975636089845922
PTPRB,0.7285567844753821
PTPRC,0.18207724683031976
PTTG1,0.25584683475682835
RAMP2,0.22772723619753635
RB1,0.2873878351272281
RPL13,0.2228640972736474
RPL18,0.2446385598649954
RPSA,1.0083875272101976
RRM2,0.35634990507505854
S100A14,0.2303598983900385
S100A4,0.20232979594717876
S100A8,0.0030090277531809057
S100A9,0.387074547452264
SDC1,0.5585809734822057
SFRP1,0.15475582922349618
SIAH2,0.2462905146603266
SKAP1,0.3482139704789948
SLC2A1,0.178243950134618
SLC39A6,0.5524048414199096
SLPI,0.18404965540170867
SNAI2,0.32144872619185977
SOX10,0.16893067163228948
SOX18,0.09766814639940835
SOX4,0.6995602199648914
SPDEF,1.0552887400204412
SPP1,0.04779543827185166
STAT5A,0.24699081479308113
STMN1,0.29428561223302396
SULF1,0.26533831596904306
TAGLN,0.06958765077451795
TBX21,0.03418694390722085
TCF4,0.6991701315473285
TCL1A,0.24576466661704102
TFEC,0.0801893860131192
TFF1,0.5217881087338124
TFF2,0.128584303995787
TFF3,0.44667080750906374
TFRC,0.27946564796602735
THEMIS,0.058253597794368284
THY1,0.44148716168529967
TIMP1,0.2847534385298002
TMEM45B,0.14407964652866823
TMSB10,0.3298975109019871
TP53,0.9922293201450523
TPM2,0.35961266402981323
TRAC,0.22663196338613517
TRDC,0.1449723576548786
TSPAN1,0.7454935733971197
TTC6,1.042672498859072
TTYH1,0
TYMS,0.4348771793530217
UBE2C,0.20920992653169385
UBE2T,0.37815279064280327
VIM,1.0384298547345714
VSIR,0.7976805234622069
XBP1,1.4189616769324105
XCL1,0.3804090179044878
ZEB1,0.3537436039186623
ZNF571,0.24105232568481266
