target,imp
ACTA2,21.841076460677687
ACTG2,38.7081550708726
ACTR3B,10.024840474035752
ADGRL4,17.45100771311264
AGR2,17.356446237753726
AHR,11.938352416066907
AIF1,17.25596985853202
AKT1,9.524289174279529
ALDH1A3,12.520605223602972
ANLN,15.01311982280789
AP1M2,19.740581548724254
APOC1,20.15322239301106
APOE,11.819517483040272
AR,10.725613653169178
AURKA,12.092841809162652
AZGP1,6.933164398867404
B2M,16.354068718794064
BAG1,7.569911415396798
BANK1,15.921154990570397
BCL2,10.578707043275577
BGN,13.4404032213899
BICC1,11.540491947325814
BIRC5,18.206194516891827
BLVRA,23.87591077250187
BRAF,18.81063229859143
C1QA,22.735364169367482
C1QB,11.143784917118374
CALCRL,21.444221162344775
CAPN13,19.69169887796933
CCL2,33.49315258325674
CCL3,25.059907189458503
CCL4,25.04943061539846
CCL5,17.129275358826934
CCNB1,15.642149589169996
CCND1,9.13263256191606
CCNE1,12.52131488473578
CCNE2,17.651798205244795
CD14,14.693762685376312
CD163,22.0122955401866
CD19,21.826707517386765
CD2,10.443348190643219
CD24,8.646137056409188
CD274,8.37953624035524
CD34,11.659872927038887
CD36,12.822190237874288
CD38,12.033706487982261
CD3D,22.819816827624305
CD3E,19.90297502966502
CD3G,10.321682524453283
CD4,16.334782926214338
CD40,7.9023610495849566
CD40LG,13.053478482986895
CD44,7.665276802538601
CD5,15.136124478768812
CD63,10.961740207151768
CD68,13.479291241025399
CD69,12.188809525331806
CD7,13.509907950998077
CD74,6.763552998619833
CD79A,31.550912377665973
CD79B,13.504113570357335
CD8A,12.861197522547236
CD9,11.817519725635064
CD96,16.601502868032053
CDC20,11.159908895751334
CDC6,14.66031234176283
CDH1,11.022376545732532
CDH11,23.48058986195245
CDH3,16.735567887049157
CDK4,25.17316517272054
CDK6,16.423774213876268
CDK7,21.036485287249796
CDKN2A,20.056816076658382
CEACAM1,7.461581861799937
CENPF,25.418603853411827
CEP55,13.180251255404762
CLDN4,10.703168224538665
CLU,8.741569975393285
COBL,8.649099564317735
COL1A1,14.290588000612768
COL1A2,23.852945520167644
COL3A1,23.30198048476512
COL4A1,17.019804320377236
COL4A2,19.07303282004977
COL4A5,10.632797555275106
CR2,12.942199977710324
CRABP2,15.585378175571263
CSRP2,19.6970291912121
CST3,12.16859046605901
CSTB,27.636355348875355
CTCF,12.822372992519979
CTLA4,14.121558085196241
CTSL,16.223702927831233
CXCR5,15.065836686601717
CXXC5,7.771239427755335
DCN,18.871180048458424
DERL3,24.586590769832043
EFNA5,12.92603715029332
EGFR,17.323783099433637
EIF3E,14.380665532943034
ELF5,9.21340893937269
EPCAM,12.492918491795608
ERBB2,6.871268359887838
ERBB3,11.315979986328216
ERBB4,18.120574072615792
ESR1,6.941706146379745
FABP7,17.006353410827536
FAP,8.815264014537691
FASN,6.90457990324378
FCGR3A,11.95116638422039
FCN1,18.157491634973702
FCRL5,35.06230515247552
FGFR1,13.857879847701897
FGFR2,14.497722052564141
FGFR4,19.69345471355459
FN1,16.301939247136815
FOS,15.91223079605656
FOXA1,12.831013986769268
FOXC1,12.411743266914472
FOXP3,15.192358204357458
FXYD3,7.667926475053471
GATA3,4.6366188454040556
GNG11,25.652930712345896
GNLY,26.653631544369397
GPNMB,16.3409814034365
GPR160,12.922393533603042
GRB7,8.031036523705048
GSN,10.217464893310131
GZMB,15.180037647519772
HIF1A,5.634345974820102
HLA.A,13.607677176047682
HLA.B,12.894043793697204
HLA.C,12.308683809885649
HLA.DPA1,14.6860372563576
HLA.DRA,13.278970119351639
HLA.DRB1,15.025739083006165
HLA.DRB5,13.968841861045018
HLA.E,10.172165114723976
HSPB1,7.817650003621563
HSPG2,10.90371469030929
ICAM1,17.11247014836525
ICOS,13.985162613398545
IFITM3,18.278096436553753
IGF1R,12.74661597659953
IGFBP5,9.124871796263491
IL2RA,8.853601386735257
IL32,16.72295894185955
IL3RA,18.525341843918984
IL7R,16.583425110427946
ISG15,29.098697704401012
ISG20,12.850249524588834
ITGA6,9.872195146224659
ITGAX,10.686922661124916
JUN,18.370880631203722
JUNB,9.572319281193993
KIF23,14.886613757731606
KIT,21.6485357252017
KRAS,14.541366559388399
KRT10,27.77354790682872
KRT14,20.248319328364346
KRT15,13.753248156108787
KRT17,20.767901813308235
KRT18,6.4199058343286275
KRT19,11.044718272132041
KRT5,18.40805907016314
KRT7,7.07651410423465
