target,imp
ACTA2,2.00576093043878
ACTG2,0.8798764738891123
ACTR3B,2.5816210062353546
ADGRL4,0.7193899174457665
AGR2,4.678558930807194
AHR,5.789091849841517
AIF1,1.1451623648267926
AKT1,4.431205454280258
ALDH1A3,0.5892071965711346
ANLN,2.6254538339255316
AP1M2,2.4445870029786363
APOC1,1.8958036497419015
APOE,1.0851140930613574
AR,3.9731112519889478
AURKA,1.7773725659152413
AZGP1,6.661652474288452
B2M,3.3673243347367285
BAG1,2.1108696038100154
BANK1,1.5865206051991032
BCL2,2.91744053895107
BGN,3.1541758011884777
BICC1,5.3699026261519744
BIRC5,1.426839133232093
BLVRA,0.40825282546744573
BRAF,2.2234605670399175
C1QA,1.1880226665806213
C1QB,2.9411854918803653
CALCRL,1.7294281641099807
CAPN13,3.0941638840120986
CCL2,1.2259905326976515
CCL3,3.250680554609508
CCL4,0.9491709970144337
CCL5,1.699501720175404
CCNB1,2.9927163064785036
CCND1,6.958169926895944
CCNE1,1.1882539493332474
CCNE2,1.1535260725801346
CD14,0.8331992808618981
CD163,4.0438533573207796
CD19,1.0756395499507934
CD2,1.4521541930562605
CD24,7.3826759879465484
CD274,1.8780304990969596
CD34,1.2524922994033783
CD36,1.1810761233639362
CD38,0.7483668922139808
CD3D,0.6532776933867761
CD3E,1.5095731955213156
CD3G,2.026264144530688
CD4,1.2756316668210064
CD40,1.2327114186179673
CD40LG,1.0352736163175027
CD44,5.011889844835018
CD5,3.151311189566639
CD63,5.343456154572133
CD68,0.596641210691703
CD69,1.1311840804590099
CD7,0.6638310795303465
CD74,4.2976798947873025
CD79A,3.490746473464317
CD79B,1.3225263955258484
CD8A,1.0254625539644575
CD9,8.701366613096349
CD96,1.9957536299222411
CDC20,2.1704577069905637
CDC6,2.665779728386131
CDH1,4.167669107677157
CDH11,1.2407352292536482
CDH3,0.5516122186271413
CDK4,6.038685077872329
CDK6,0.5503010361146398
CDK7,4.07954251640604
CDKN2A,1.2350986997963684
CEACAM1,4.9918430509866205
CENPF,2.133563355202163
CEP55,1.8945292549110087
CLDN4,1.5672700594173694
CLU,7.045039368320708
COBL,4.170936200037183
COL1A1,1.8373493885763066
COL1A2,1.1529884984407726
COL3A1,1.3273028645023992
COL4A1,2.8286888510084305
COL4A2,1.8646636908423604
COL4A5,2.1661777944753564
CR2,2.4454180841767728
CRABP2,4.3367757399231595
CSRP2,1.3545699920988736
CST3,0.9235915711454351
CSTB,0.5852101517461334
CTCF,2.652192314629413
CTLA4,0.7122779249805877
CTSL,3.2991217081749102
CXCR5,1.47346776635835
CXXC5,2.0010618269020317
DCN,0.4583531734370526
DERL3,2.0103488040172848
EFNA5,2.436842444036512
EGFR,3.5740490905543747
EIF3E,2.417744459131181
ELF5,1.498980282287831
EPCAM,3.854053648498932
ERBB2,7.405454499181187
ERBB3,8.780736128164522
ERBB4,3.024674009881446
ESR1,6.229006205880942
FABP7,2.7502069841711982
FAP,2.2177732206871563
FASN,5.348062109128423
FAT1,0.6109832985334119
FCGR3A,1.742180824778919
FCN1,0.5802986087597545
FCRL5,0.7477821612167216
FGFR1,4.197348500142309
FGFR2,0.6763766705239288
FGFR4,6.747019337195999
FN1,1.6597408340639936
FOS,1.9739236099236643
FOXA1,5.979117445529262
FOXC1,1.8190232554952253
FOXP3,1.6447337230801613
FXYD3,6.390720229097398
GATA3,7.121565321800976
GNG11,0.9879917589401331
GNLY,0.4118952654601577
GPNMB,1.1989015756982635
GPR160,1.9853241134341297
GRB7,4.47300965071727
GSN,2.4417589347821997
GZMB,2.8479343943062436
HIF1A,1.0619040637528476
HLA.A,1.5485908380656475
HLA.B,4.6615220941840985
HLA.C,2.3694388121233327
HLA.DPA1,0.6599738358847308
HLA.DRA,3.31606713848644
HLA.DRB1,0.6844384635470909
HLA.DRB5,0.27092580607001837
HLA.E,3.1122832083426113
HSPB1,5.9201405055713385
HSPG2,1.0117859228194757
ICAM1,0.8877587441198712
ICOS,0.5611634890540953
IFITM3,1.7015162538472444
IGF1R,1.8044006070024636
IGFBP5,7.9337601821005475
IL2RA,2.5668954043519245
IL32,0.7430466215665626
IL3RA,1.4334188305501276
IL7R,1.0725152822208275
ISG15,1.6423482711275943
ISG20,2.789844501762143
ITGA6,5.340815937271538
ITGAX,0.6616105895638357
JUN,3.2526387401984334
JUNB,3.908070743346055
KIF23,3.5240117719307857
KIT,0.9059351189595563
KRAS,4.107821962965772
KRT10,2.1917244382798433
KRT14,1.2436920678511583
KRT15,2.0897485934007554
KRT17,0.5422662875231216
KRT18,8.485984972972634
KRT19,7.282776364665587
KRT5,3.2001211297039593
KRT7,6.9905496332051
KRT8,6.719865527515153
LAG3,1.3983966428607337
LAMA1,1.0850924983151047
LAMC1,4.983358394333349
LDB2,2.3481469256299463
LGALS1,0.7742891558356366
LGALS2,2.2716068255502537
LGMN,3.6004318815029435
LILRB1,0.8652396942490829
LRP2,4.877191696802776
LST1,0.4234473906445131
LTF,2.2434907413154974
LUM,2.606978919429571
LYPD6B,1.8280450244752435
LYZ,2.6952998955255434
MAPK13,3.5660663496196316
MAPK3,0.9409721986328188
MDM2,2.448756534988941
MELK,1.6440018316013936
MIA,0.41827514731620513
MKI67,2.4559615703994533
MLPH,6.213979335300295
MMP11,2.3282259447476124
MMP12,0.8339965479856818
MMP9,2.3061620803612892
MS4A1,1.1998238351994055
MSR1,0.7299806000686582
MT2A,2.331490177228572
MUC1,7.519356404648123
MYB,4.722142827375482
MYBL2,3.095409988293785
MYC,2.045920331132641
MYL6,5.201131843679344
MYL9,1.6209401374637635
MYLK,0.8424736121440533
MYO10,3.6783795874794754
MYO5B,6.2709374570837655
MZB1,1.9070914599237678
NAT1,1.9309823814540965
NCAM1,0.33346877987931056
NDC80,1.7574957141064815
NDRG2,2.6922859897551645
NF1,2.9944190918654834
NFKBIA,1.5757925487751896
NKG7,1.2762166842283114
NOTCH1,2.247047024626437
NR3C1,1.2616788271903432
NUF2,1.457499390066812
OBP2B,0.6295919659396464
PABPC1,6.9203863317969025
PBK,4.54367373716412
PDCD1,0.4865411815788938
PDPN,1.5055937643359316
PDZK1IP1,1.086682291812091
PECAM1,1.8167945055645192
PGR,0.8425080252391536
PHGDH,3.318802661084248
PI3,0.4795015484806225
PIK3CA,2.955482926156958
PLEK,0.30896826590503496
PLVAP,2.481839449866344
POU2AF1,1.3017280294174376
PRLR,5.676419180042899
PTEN,1.6418879909140884
PTPRB,1.0708360070039284
PTPRC,1.1085165126309393
PTTG1,2.1452207498716884
RAMP2,1.5200341860996454
RB1,3.143551531184616
RPL13,2.5917978599846005
RPL18,2.2648051000773575
