target,imp
EDNRA,45.673202878148025
FXYD6,34.07551162476441
PTGIR,43.14751409722892
BOC,30.230129396897965
KIT,37.655790885810056
BMPR2,25.224653731272248
OPRD1,26.05372699022277
RHBDL2,22.942020599002177
LPAR2,27.81366355482146
CSPG4,41.881576495952075
CMKLR1,27.279900147638845
GIPR,35.38908345531311
CDH5,58.707585705244085
ROBO1,56.42212234055689
RET,38.72511902161555
MCAM,36.722155252251305
CX3CR1,34.35401531645531
ROR2,34.467512452807725
ROBO2,33.64369335103601
NOTCH2,44.11226677675766
PTPRU,27.436262011180666
LRP2,98.92733472442268
LRP1,37.55476043499194
IL1RAPL1,34.58261558734309
CALCRL,31.11482870237731
SMO,65.52710351094306
ITGA6,68.91792691660326
ITGA8,33.45456031526925
OSMR,35.85368506235396
ITGA4,64.20085119678983
BDKRB2,48.217378102031546
GFRA1,59.82910721438183
ITGAL,61.10012311887506
TGFBR1,51.32180045120916
EPHB1,22.183003888474094
ERBB4,97.43407841693585
C5AR2,34.73470202073252
APCDD1,41.09663296469891
LRRC4C,29.562981940221402
FSHR,38.80415191045806
IL2RG,41.85312731507816
ITGB7,52.94534810222689
CXCR3,46.79417399660064
TGFBR2,48.79131353248934
KREMEN2,33.1287952756193
ITGB2,64.62018265814811
TMEM67,25.55477050947198
NOTCH4,28.05862124944986
CXCR5,51.59985437024483
AXL,48.249350926386136
INSR,56.71740921653613
EPHB2,36.81318030368521
FPR1,31.77716634894245
ITGB5,59.504847928108695
CELSR1,57.33184985068521
ITGA11,50.44327235092631
CD1A,39.954745639021894
PDGFRB,41.09871670589885
PTPRM,38.5272396382878
ITGA1,51.37566503805978
UNC5C,40.64854671603425
SDC2,44.9813150904557
TLR5,32.88695208446221
ADCY1,30.216776390461487
TNFRSF19,38.49502802898703
CD79A,39.17351885192906
CCR5,35.74021697591201
TNFRSF21,29.75655412293832
LPAR1,32.650310815284165
ITGA7,42.884782853809554
ROBO4,49.00205988132951
MERTK,33.82242633333971
CD74,74.18737306083526
TLR2,49.89604522124708
PTH2R,28.996344038176744
CSF1R,45.821534301482515
F2R,41.4041164332136
GPR39,58.61448469356256
ITGAM,34.37148824202407
MST1R,43.880025218693966
EPHA2,43.77897254288281
APLNR,57.473118715306185
PLXNA4,32.61968327463048
BMPR1B,37.80715905203233
PTH1R,55.8121621191779
HMMR,33.509202186819934
BMPR1A,32.89014997063412
PROCR,38.86406906969416
TNFRSF10C,57.10761290731173
FZD3,28.452760610213577
PTPRG,44.10025458370572
CD96,42.102049136372315
PTPRK,40.965543580579855
CLEC2D,43.7060811342426
KLRG1,36.53693941944954
CD2,53.93386206518225
SIRPA,43.454061347950876
LAIR1,44.45848243023645
CD226,41.18912925613187
PTPRJ,32.06554250528212
CLEC10A,33.22495433516732
LYVE1,36.947957269018495
S1PR3,35.88642568760267
HTR2B,32.108421343945196
CD247,47.06442489720391
SORCS2,40.49409448664939
SIGIRR,53.80773556215377
CELSR2,29.551102251399488
P2RY2,35.42577871427498
PTPRT,117.36514878446465
OPN3,49.62589197491811
IL1RAPL2,36.96943868718863
GPR183,33.57976753556387
LPAR6,38.64911879020134
LTB4R,32.65724095861605
GPR132,50.05857941113563
PTPRN2,37.85285995706951
GPR65,43.62496936168073
LRP12,37.65238947695598
GPR173,32.80074297771359
P2RY6,38.25472634123262
ADORA3,31.812690927083178
ESR1,194.6003986079274
GRM8,47.327378284445196
ANTXR1,38.639878002057884
FCGR2B,43.14828894086916
LILRB4,57.02141618221399
NLGN2,35.27616833001109
NRP2,82.60292791839373
CAV1,52.01629013714674
FZD8,50.09743321788996
TYROBP,69.844805887942
LIFR,28.26958836406231
EGFR,43.94890628501801
DYSF,24.273759477588932
CFTR,28.689485550508255
IL1RAP,42.41939984252696
CRLF1,32.756196456193926
FLT4,46.968505874872974
PTPRS,28.627881129629305
PLAUR,34.913244579838114
IL7R,58.38685013122724
NT5E,35.95926309353769
KDR,32.15742337126463
CD274,58.47622466156583
COL13A1,26.384436062317707
FGFR2,32.214737332725164
IL15RA,27.29225829640591
HFE,34.01276032145812
PTPRA,118.70553935388477
EPHA3,35.12793211735143
GABBR1,31.017160694993954
