target,imp
IL18,1.9710121379744643
CTF1,5.0313365346753764
NXPH1,6.8223233916033745
NTN1,0.9947298174411692
PTN,5.582782652256148
GDF11,2.952559216801081
TNFSF12,0.9148750326868244
IL5,3.313969105718446
FGF13,2.8325885027572975
CYR61,0.9862282552377102
LAMC2,6.273932646139424
SLIT3,0.04163196949385034
ADM2,3.9695143908174417
APOE,4.913380180366705
GDF6,2.3183029374448547
LAMB1,6.353355279246281
NTN4,1.8703193559563638
IL7,0.15072626881102144
WNT11,2.0631338283892187
EFEMP2,0.9403692499077344
SPP1,1.980351053611236
NXPH3,6.440559216208165
SLIT2,4.011205239857219
DHH,1.8195369320210275
CXCL10,7.5751652820393485
TGFB2,5.4790307702688
CCL19,0.11741798091397389
LAMA2,2.1873966948619117
PDGFB,2.6446271573993663
PGF,1.9460196946336723
INHBA,0.9193372749298281
PDGFD,0.053774463438142586
IL34,3.4884932415892167
ANGPT2,2.38479736456825
BMP2,5.427062009415945
BTC,3.2282783075824586
IGF1,3.3954167063974783
CP,7.861826095088426
CTGF,5.682721000424035
THBS2,3.080185235957144
VCAN,0.14908807412544556
CCL5,8.087530370022426
DCN,4.583061240436861
MFGE8,3.929065263948248
NMU,2.007679905634397
GDF5,1.294693406226826
TNFSF8,1.8663611343696613
PDGFC,9.127051807661479
GNRH1,1.3274193729711488
ZP3,1.4391252519660194
CXCL9,1.706699915495106
EDN1,3.383164062244431
FGF7,6.401359726824742
CNTN4,1.9278163934374424
CGN,5.483069437908548
IL1RN,1.8669245961107739
NRG3,4.867057167412472
SEMA3C,6.792069739243704
THBS1,4.057548937992783
DEFB1,1.7249535734633037
CCL22,8.306337142151756
BMP7,4.498490011124481
IGF2,3.075707848776959
ANGPTL1,5.389944488795074
ANXA1,0.015495745973136223
WNT7B,0.4580643566555677
TNFSF13B,0.8686715715093181
GHRH,1.232672228326315
PYY,0.9723510424175283
LAMA3,4.1761855589827865
FGF1,3.9491927422123503
GRP,0.5232688714848832
LTB,0.013850754821084034
SFRP2,4.191835296596793
GDF15,0.7010595229058835
CRLF1,0.09423643043241028
PDCD1LG2,0.36400306477663535
WNT9A,0.15144051475052145
WNT2B,7.121844260468771
FGF12,0.5687654139917625
CKLF,7.829105498593702
RBP4,3.0002234471402325
SERPINE2,5.9840391335988565
F8,2.938168277066725
C4A,2.429409552175663
TIMP1,5.138486810800146
COL5A1,0.022313988677261122
COL5A2,18.275880991812713
COL4A5,0.34169515858104715
COL8A1,1.1276647613185828
A2M,0.2010083305327176
ALB,7.590529201124238
VIM,2.665180429410299
COL11A1,3.022606526060449
FN1,3.5178900914283213
TGM2,0.8344610422323615
SERPINA1,1.9468242877600168
PROC,0.05659512878635115
COL3A1,5.588742819068826
COL1A1,3.7606358815351952
TFPI,0.016299787466653008
COL4A1,8.592113326851855
COL1A2,4.315993444032466
PSAP,1.5671188256694535
CD86,0.01130780387612037
FBN1,2.545334214601477
COL4A2,1.8076864643047192
NCAM1,1.6527898001967631
COL7A1,11.746060179146438
COL6A1,0.024576805624961232
