target,imp
IL18,0.1992434202215295
SEMA3F,0.32832461811431346
CTF1,0.2341084700858164
CSF1,0.43134750629718766
RARRES2,0.2794906294407858
CXCL11,0.44695323866456077
INHBB,0.28312731343010783
WNT4,0.2989514290743685
EDA,0.3715927777566241
BMP4,0.23529505884901458
WNT5A,0.21348752072406912
PTN,0.2828674032827652
CXCL12,0.12920172842469854
GDF9,0.2748512535184904
TNFSF11,0.4179469754653848
CCL17,0.19835656382425185
GDF11,0.13539298425056223
TNFSF12,0.3089959335646716
IL5,0.3813319617814206
HBEGF,0.3557454955588208
OSM,0.5437689634497717
APLN,0.2155183017002751
FGF13,0.19873947396090713
BMP5,0.29520234704530995
PDGFA,0.2015460621347075
TGFB3,0.2067645038955922
IL15,0.4677658477145174
PTHLH,0.4483207962913264
CCL11,0.3541942991028029
GDF6,0.22717414727284552
IL7,0.2635408226965239
CLCF1,0.20450805292222157
NRG1,0.23202259027573827
DHH,0.4714844249297083
CXCL10,0.18883935941605604
TGFB2,0.2419620170344772
EDN2,0.13736542405343
NTS,0.17870097995704065
CCL19,0.2447591939880326
PDGFB,0.21875084916522106
PGF,0.35060152658953214
VEGFC,0.2612453551631795
NRTN,0.40209130458601927
THPO,0.4571992969270864
IL16,0.2425982195787993
INHBA,0.23911052066705327
NPPC,0.28246360651871066
PDGFD,0.22847660890546354
EGF,0.1883518769673315
EPO,0.24246348476916949
IL34,0.11031758440420282
MDK,0.4777868020372231
BTC,0.22508475447160173
IGF1,0.32373142155089163
CXCL6,0.13844473010895134
GAS6,0.17728640065967965
MST1,0.19753879853124576
CCL5,0.3884421043615857
AMH,0.16830742159692913
IL11,0.6384448970481295
GDF5,0.20397380766607434
TNFSF8,0.3344875522284674
PDGFC,0.2527937735648677
ADM,0.31168984467226923
UCN,0.29154487203523005
FGF2,0.3983295820915435
TGFB1,0.7711904222095975
CXCL9,0.23983436032765876
EDN1,0.6804188607618906
FGF18,0.1863187741160741
FGF7,0.24407110066500265
FASLG,0.21111705159967645
CCL3,0.19371935763466094
NRG3,0.2105832211437682
KITLG,0.19289476594841093
VEGFA,0.24653147999136615
TNFSF10,0.16146755273402988
CCL22,0.33423051596985665
BMP7,0.17328241648502324
IGF2,0.5070240695877151
HGF,0.1953310393554908
ANXA1,0.25113015186581794
WNT7B,0.21626233687378146
TNFSF13B,0.36521113986370446
GHRH,0.36250818413535535
PYY,0.33142452018890933
PSPN,0.3892413942470946
TNFSF15,0.34304266074979123
FGF1,0.17817827356341978
CCL2,0.1886156686433174
TNF,0.22116000204603647
VEGFB,0.318916017605651
ARTN,0.29060647672149725
LIF,0.23431749569708657
GRP,0.2343615897593824
