target,imp
IL18,60.16114057014654
CTF1,62.343657287383934
NXPH1,76.77541008050483
NTN1,76.77427715753204
PTN,56.091449055716026
GDF11,68.41741685366522
TNFSF12,63.018147323833276
IL5,42.19776594242376
FGF13,82.77895119829095
CYR61,70.33681843613522
LAMC2,68.58105858235115
SLIT3,80.44949355121413
ADM2,56.29539792807612
APOE,78.17741687609622
GDF6,50.06567486297902
LAMB1,81.31639557172312
NTN4,97.95065724638012
IL7,56.841009719954485
WNT11,35.144637917085014
EFEMP2,63.11881142391555
SPP1,71.12316807606244
NXPH3,63.31615820960899
SLIT2,57.919277853893284
DHH,43.920760982932435
CXCL10,50.05567965246743
TGFB2,66.08985583525264
CCL19,41.04413420010038
LAMA2,57.572023374935704
PDGFB,60.52376049729609
PGF,52.96766888392588
INHBA,73.84421578490753
PDGFD,59.02642923025471
IL34,58.54341278595831
ANGPT2,60.05026449006118
BMP2,50.18244716383548
BTC,65.21061601526368
IGF1,50.60681826381964
CP,40.6676198736674
CTGF,60.4033329301296
THBS2,78.15060706385539
VCAN,74.44864276930393
CCL5,58.01423459422299
DCN,80.56263998826599
MFGE8,47.12162263511389
NMU,56.092603081323105
GDF5,51.88749352432286
TNFSF8,49.510245227543
PDGFC,65.71698583794813
GNRH1,40.146200074817564
ZP3,77.13124806492934
CXCL9,50.865043023844635
EDN1,55.81335761769426
FGF7,53.66951083459187
CNTN4,45.53311731719371
CGN,77.28026624601027
IL1RN,43.908431653478026
NRG3,83.97047327281896
SEMA3C,101.03395489858251
THBS1,81.93336286988365
DEFB1,43.11752894765168
CCL22,49.343835154392266
BMP7,75.69469679453556
IGF2,49.243805659785245
ANGPTL1,56.76233918684894
ANXA1,73.64668783232172
WNT7B,56.58957215493283
TNFSF13B,66.31880431205236
GHRH,53.57642481370103
PYY,58.84053576723
LAMA3,61.78914089134948
FGF1,71.71074140759923
GRP,41.961596360451566
LTB,62.81497992290669
SFRP2,42.814183399855544
GDF15,64.89630577842243
CRLF1,56.16891246091434
PDCD1LG2,48.9609519095732
WNT9A,78.66017159552194
WNT2B,52.26748492091674
FGF12,75.33804351800802
CKLF,73.3562375230875
RBP4,48.45617945543495
SERPINE2,52.23318850064451
F8,47.64302433567072
C4A,57.49567843305477
TIMP1,98.20772150621741
COL5A1,73.32727180684527
COL5A2,87.73174830811213
COL4A5,83.15392820962033
COL8A1,73.4865197354582
A2M,74.89938464808097
ALB,65.41733019723179
VIM,82.11111101451117
COL11A1,59.402020548222
FN1,69.09414775759772
TGM2,51.72631046163893
SERPINA1,58.86600067561969
PROC,52.419877374402056
COL3A1,75.21720196311581
COL1A1,80.6088973810799
TFPI,49.60387195747986
COL4A1,88.06952551518764
COL1A2,84.43082815750397
PSAP,85.67915779956138
CD86,60.589959104271045
FBN1,67.1420205917066
COL4A2,82.42696269530707
NCAM1,36.71672787878212
COL7A1,66.16588028213448
COL6A1,66.20977806676045
