target,imp
EDNRA,4.266322704443385e-5
FXYD6,0.046145891397841664
PTGIR,0.02705806286240747
BOC,0.03631186061179734
KIT,0.3752141230508647
BMPR2,6.066962701693473e-5
OPRD1,0.0890814871314837
RHBDL2,1.9975756771343093e-4
LPAR2,0.29448048949697925
CSPG4,0.09463102188640404
CMKLR1,4.981420288546511e-4
GIPR,1.9831618031499848e-4
CDH5,0.030998801719491334
ROBO1,0.2959232616325552
RET,1.1524195397397367e-4
MCAM,0.043054141119374084
CX3CR1,0.028558964167614723
ROR2,0.3002341816856227
ROBO2,1.990470539426317e-4
NOTCH2,5.452061575681342e-4
PTPRU,6.697486731756377e-4
LRP2,0.017356471404495227
LRP1,1.3554409883628017e-4
IL1RAPL1,1.4427367306757888e-4
CALCRL,2.2030347845706364e-4
SMO,9.056403042244253e-4
ITGA6,1.8320357708721203e-4
ITGA8,0.06214165681420841
OSMR,5.7603280412179e-4
ITGA4,0.21975009806463852
BDKRB2,0.09878932895036266
GFRA1,0.047941054281019795
ITGAL,0.042057307179398935
TGFBR1,1.012387541829366e-4
EPHB1,0.3752428343279331
ERBB4,0.049584244142938126
C5AR2,0.028694417872144776
APCDD1,1.4477916610176962e-4
LRRC4C,1.0752546165064921e-4
FSHR,2.3580582114517815e-4
IL2RG,1.0521260111808704e-4
ITGB7,0.5587541146837369
CXCR3,0.0015499089001761754
TGFBR2,0.05759202418891178
KREMEN2,0.02194124073365623
ITGB2,5.288464759982262e-6
TMEM67,3.2037409651029824e-4
NOTCH4,0.0034279986778748095
CXCR5,0.6206132900868842
AXL,0.4119001021036872
INSR,4.474944180011989e-5
EPHB2,0.003973799480517915
FPR1,0.08854612737927522
ITGB5,0.04708405353386383
CELSR1,3.508591971802721e-5
ITGA11,1.990302855192725e-5
CD1A,0.03420032311018827
PDGFRB,0.03271296495246865
PTPRM,0.09744835855846215
ITGA1,8.776923114281027e-5
UNC5C,0.042754202718495976
SDC2,3.4198681338701685e-5
TLR5,0.009791532667150032
ADCY1,0.09731245778752473
TNFRSF19,0.02093933999493789
CD79A,8.921001752205539e-5
CCR5,0.0011617030200253313
TNFRSF21,8.276819480182554e-4
LPAR1,0.02503054716525619
ITGA7,0.04824375647889925
ROBO4,0.15838216960997759
MERTK,1.9371900985032048e-4
CD74,0.00888521733282051
TLR2,0.04299050822228156
PTH2R,0.005628979535113222
CSF1R,3.642408941035938e-5
F2R,0.00822229339646533
GPR39,0.3602864491549698
ITGAM,0.0012831289580588173
MST1R,1.5780036798473395e-5
EPHA2,0.3859194195305337
APLNR,0.2255283162167247
PLXNA4,5.104148423266228e-4
BMPR1B,1.0193971477384272e-4
PTH1R,0.08243577309037463
HMMR,8.609916678264934e-5
BMPR1A,1.158145415449739e-5
PROCR,0.04408904094914945
CXCR4,5.733173160625369e-6
TNFRSF10C,6.564429193738813e-4
FZD3,0.009363815777233388
PTPRG,0.025273936725433557
CD96,0.3048193712029212
PTPRK,0.09562785709670006
CLEC2D,1.2037804113093394e-4
KLRG1,7.127971048186572e-5
CD2,0.0014471720790244966
SIRPA,8.465267350137288e-5
LAIR1,1.9875210183514287e-4
CD226,0.0614663569737808
PTPRJ,0.24168547071044005
CLEC10A,3.4017673885305245e-4
LYVE1,0.3860014286920772
S1PR3,1.1781534552592392e-4
HTR2B,0.04884967136282534
CD247,5.7214752845144574e-5
SORCS2,0.07239140285880243
SIGIRR,0.06112885351710375
CELSR2,0.04079963353631137
P2RY2,0.06356319112349068
PTPRT,3.7055805111731006
OPN3,0.05847615581860094
IL1RAPL2,0.034613250465051044
GPR183,0.07944706071058419
LPAR6,4.95288877573939e-5
LTB4R,0.04593848911972096
GPR132,4.664795025434014e-4
PTPRN2,1.8367816145023612e-5
GPR65,0.14626798648591405
LRP12,0.2061184535176194
GPR173,7.592885725896559e-5
P2RY6,0.09141000771200014
ADORA3,0.047291132554884346
ESR1,0.0041966219117622675
GRM8,0.049556566661261216
ANTXR1,1.567829839805801e-4
FCGR2B,0.5393164807896186
LILRB4,1.0698306178729241e-4
NLGN2,1.1269012143421443e-4
NRP2,9.942713420082785e-5
CAV1,0.04695550310194001
FZD8,1.7831864525325784e-4
TYROBP,4.8974087221118805e-5
LIFR,0.011069281065742776
EGFR,0.18276664416982752
DYSF,0.027051533388631713
CFTR,0.010912787063726748
IL1RAP,0.034920878919408434
CRLF1,0.0012640756706197602
FLT4,0.10815687451542426
PTPRS,8.805971307780675e-5
PLAUR,0.7112319579988134
IL7R,1.0308771542621789e-4
NT5E,0.12745647695567086
KDR,0.002487894603539059
CD274,0.02310539623260455
COL13A1,0.0030951919847538147
IL15RA,0.02970665656154724
HFE,9.393679501920289e-5
PTPRA,8.473645617805724e-6
EPHA3,0.03062516765731243
GABBR1,0.0025569590617775927
