target,imp
IL18,22.4248688571708
CTF1,16.944730348805045
NXPH1,29.436124217788254
NTN1,46.13973079029316
PTN,23.058850903315623
GDF11,44.42996241239423
TNFSF12,27.37408575080773
IL5,25.660061358756046
FGF13,30.904272807514243
CYR61,41.77043602691083
LAMC2,33.34984236887633
SLIT3,56.64061651704212
ADM2,20.276318861419938
APOE,27.374934601514532
GDF6,19.07316160116302
LAMB1,32.91583972663746
NTN4,43.78495004362634
IL7,17.459290439809966
WNT11,19.030308370015437
EFEMP2,38.34405097394235
SPP1,52.60437840848459
NXPH3,15.932214469825535
SLIT2,21.626294125701808
DHH,42.472652269322964
CXCL10,16.343937597510752
TGFB2,41.034273057458186
CCL19,15.226775684098662
LAMA2,26.090662388128568
PDGFB,29.3863043664758
PGF,37.981832522926304
INHBA,22.16475446657484
PDGFD,51.13568609790575
IL34,22.446206101558346
ANGPT2,44.864750690661225
BMP2,19.311679954399704
BTC,43.9554726989488
IGF1,26.659350129533845
CP,24.40606329383497
CTGF,20.61029179115435
THBS2,42.16002713316192
VCAN,71.02608400061771
CCL5,30.929467555316393
DCN,17.32331483305569
MFGE8,30.113002756497917
NMU,14.67289866420914
GDF5,20.161674033968595
TNFSF8,10.905345833284958
PDGFC,28.53619576465657
GNRH1,32.81767271208799
ZP3,22.069745105901298
CXCL9,33.35211392915006
EDN1,20.78007905836523
FGF7,19.63278157410148
CNTN4,14.593564292696753
CGN,53.77249639366449
IL1RN,26.036318037280353
NRG3,44.54451735382176
SEMA3C,29.137829394846893
THBS1,27.175618013190398
DEFB1,12.555759810308759
CCL22,42.429265348440865
BMP7,29.70090482150648
IGF2,35.20336861635092
ANGPTL1,19.64821158442722
ANXA1,35.610568423589555
WNT7B,26.268429694014642
TNFSF13B,27.796114766621326
GHRH,32.98731663233766
PYY,19.85460657611043
LAMA3,20.5137364291661
FGF1,25.409801661133326
GRP,17.422736833797355
LTB,39.70174804889107
SFRP2,20.848899338389433
GDF15,26.68982262062771
CRLF1,36.144808538745295
PDCD1LG2,16.245182191374727
WNT9A,66.23415095740394
WNT2B,11.482247289976915
FGF12,33.978874893796636
CKLF,41.94520038424549
RBP4,24.55768149390591
SERPINE2,28.16873638538022
F8,17.055981941112186
C4A,22.986983005074453
TIMP1,30.41584001250937
COL5A1,52.186191675064165
COL5A2,34.05416099612166
COL4A5,31.446222834880743
COL8A1,16.89978586105972
A2M,39.965703084176354
ALB,28.353744130456413
VIM,23.101735518032946
COL11A1,31.63568718507595
FN1,50.680511545580856
TGM2,38.778693553756874
SERPINA1,27.920735028691265
PROC,23.9883217290906
COL3A1,38.724231940896196
COL1A1,32.1165614220838
TFPI,33.45501534402672
COL4A1,43.716450057356525
COL1A2,44.149350798407426
PSAP,44.13027142877065
CD86,26.94190912861635
FBN1,33.143150298968514
COL4A2,31.081708941328042
NCAM1,33.885923737854874
COL7A1,37.625748645782394
COL6A1,25.65640092629527
