target,imp
ACTA2,5.5429779989770225
ACTG2,4.011492614134479
ACTR3B,3.829349859954521
ADGRL4,4.432564801362573
AGR2,12.407447900057573
AHR,4.257805411549533
AIF1,7.728503028982758
AKT1,3.821916417540436
ALDH1A3,4.811855062599927
ANLN,6.221018828290832
AP1M2,2.929300830769346
APOC1,4.534427343372879
APOE,3.9354756917554976
AR,7.1380873730427705
AURKA,5.050242192785644
AZGP1,4.890758855267564
B2M,4.264669985889302
BAG1,4.8637321356124295
BANK1,5.042311159111346
BCL2,5.515788048743044
BGN,4.35480475455742
BICC1,5.374476434707381
BIRC5,2.696180095601521
BLVRA,6.664256431437774
BRAF,5.379954040823702
C10orf54,4.488263464578926
C1QA,10.274119004607288
C1QB,5.047764727178993
CALCRL,7.6462303271524625
CAPN13,3.708508383489551
CCL2,4.672265628726108
CCL3,6.297428958712204
CCL4,8.516974118796597
CCL5,8.720568219103754
CCNB1,3.2725339169009544
CCND1,4.236586459370439
CCNE1,4.823398538715794
CCNE2,5.598984674713935
CD14,6.370206352921961
CD163,4.6745664445065
CD19,7.768072207810389
CD2,5.178069489790643
CD24,6.441253930085067
CD274,4.861379652330197
CD34,5.786605222214246
CD36,3.79017254630534
CD38,7.491499248966236
CD3D,4.457016477209595
CD3E,5.66614548859714
CD3G,4.745050690071045
CD4,5.757007328258397
CD40,5.659345492193357
CD40LG,3.5200003369741983
CD44,7.0143254401674735
CD5,4.281627875360701
CD63,4.743207624421372
CD68,2.8556246809489694
CD69,3.0604825010824874
CD7,6.4281537424994175
CD74,5.899650111537048
CD79A,6.033862067047995
CD79B,5.417981789624959
CD8A,8.99568387918032
CD9,3.276129108810432
CD96,5.4399880646847
CDC20,3.497985069116865
CDC6,7.602587925020498
CDH1,3.3737600114486472
CDH11,3.126701130788083
CDH3,6.856785571423254
CDK4,3.183252317265538
CDK6,3.5521135887125648
CDK7,2.2400840213466826
CDKN2A,3.691857188193843
CEACAM1,5.346396822891808
CENPF,3.5792532114412614
CEP55,5.145748177790304
CLDN4,3.865165926154745
CLU,7.030751779384226
COBL,3.3121764222085748
COL1A1,4.685193683824199
COL1A2,4.639711680376667
COL3A1,4.867172520045149
COL4A1,3.213768331621049
COL4A2,7.457588075171831
COL4A5,2.9622856207709174
CR2,3.152206463339259
CRABP2,4.977233859970145
CSRP2,2.53879772853497
CST3,4.344777687591783
CSTB,4.734582690563688
CTCF,5.242041073714965
CTLA4,5.327889220320012
CTSL,6.998624718369598
CXCR5,6.078283746812598
CXXC5,4.979653340006413
DCN,4.530752298914331
DERL3,3.1507275422010794
EFNA5,3.774591357458141
