target,imp
ACTA2,8.299060774415157
ACTG2,3.718398062743381
ACTR3B,3.2727417235684784
ADGRL4,3.5516845502928267
AGR2,3.642379864278137
AHR,2.976201508240206
AIF1,3.747199138952749
AKT1,2.2952494713601066
ALDH1A3,3.644582534443389
ANLN,2.755516140333376
AP1M2,3.6884971545978456
APOC1,5.694536111388251
APOE,3.866700662906427
AR,4.014975714578253
AURKA,5.93377378984267
AZGP1,3.078777634157378
B2M,4.566906237322967
BAG1,4.458233494212169
BANK1,4.676564744971637
BCL2,5.357078234838647
BGN,3.7695266225597788
BICC1,4.2471444449228875
BIRC5,2.77618415321087
BLVRA,4.200608949327797
BRAF,2.84038605657682
C10orf54,3.3876143772311025
C1QA,4.783669020223474
C1QB,3.54896760514401
CALCRL,3.4680605290392372
CAPN13,3.4986174240453964
CCL2,3.6132579746875764
CCL3,6.662997422448168
CCL4,7.415522617544745
CCL5,3.7383516573146354
CCNB1,3.251414135782769
CCND1,3.0361435047553966
CCNE1,6.107126506924022
CCNE2,3.2876748229274932
CD14,4.837533848473302
CD163,6.644689342619362
CD19,4.645968444595271
CD2,2.6342414541015233
CD24,6.367600710559778
CD274,6.261126999865514
CD34,3.9108139565317983
CD36,3.040762364723956
CD38,5.187466299675278
CD3D,4.849994484473089
CD3E,4.064510216666776
CD3G,4.6359196659917306
CD4,6.583246843971001
CD40,3.4524776181270083
CD40LG,2.98337614191602
CD44,5.901845731019082
CD5,3.428821847360075
CD63,2.565680246271608
CD68,5.166177559519407
CD69,3.9397192204119076
CD7,4.2569587619274305
CD74,4.467461086403949
CD79A,2.7606237050446025
CD79B,4.320283172912527
CD8A,3.9852835401484197
CD9,4.02863774023073
CD96,2.3314554790456894
CDC20,2.4145232637689356
CDC6,2.4659087298569
CDH1,2.909836325527632
CDH11,4.55932848669186
CDH3,6.901180159822235
CDK4,3.589809321021537
CDK6,3.842191437433582
CDK7,2.947681724425668
CDKN2A,4.384355346944325
CEACAM1,4.750113111121302
CENPF,3.082178579284969
CEP55,4.88795426872401
CLDN4,4.730171180894259
CLU,4.370223931936369
COBL,3.8713919567917343
COL1A1,3.6149803454796756
COL1A2,3.3179480990497323
COL3A1,5.037387673855453
COL4A1,5.378337412883066
COL4A2,4.645327110845138
COL4A5,2.5614250242078658
CR2,3.2257661618797884
CRABP2,3.41802409505037
CSRP2,3.0762015203346897
CST3,4.022220793487282
CSTB,3.7581961398865062
CTCF,4.170910270940406
CTLA4,6.519337002444819
CTSL,4.037965806136241
CXCR5,3.8499649463483623
CXXC5,5.236228182152271
DCN,2.0980681548204894
DERL3,2.655690684246987
EFNA5,4.178833217040394
EGFR,3.781092493370053
EIF3E,4.809893436592198
ELF5,3.697533968005333
EPCAM,3.2342037230544345
ERBB2,3.7734843526281243
ERBB3,3.017886475361529
ERBB4,3.270541113228309
ESR1,4.543250736508982
FABP7,4.39407337005004
FAP,5.554345970645316
FASN,4.06445992999437
FAT1,3.1521503091805476
FCGR3A,5.266223345655504
FCN1,2.80084160105943
FCRL5,3.53329156995857
FGFR1,4.130734151689681
FGFR2,3.471464462935978
FGFR4,3.5623014082747453
FN1,5.639078002522689
FOS,4.437739441258986
FOXA1,3.667838355005186
FOXC1,4.754649829661823
FOXP3,7.585576096535593
FTL,3.377060327313484
FXYD3,3.2877511799705137
GATA3,3.5055346346013034
GNG11,3.324039910885318
GNLY,4.568369940803574
GPNMB,3.7344267229292414
GPR160,6.329112689462972
GRB7,4.713424881555617
GSN,4.881417200770241
GZMB,3.962000954440606
HIF1A,2.9098670253274515
HLA.A,4.064020077199189
HLA.B,3.438313811836317
HLA.C,2.913612596564408
HLA.DPA1,6.2563426462035014
HLA.DRA,3.7513177928968706
HLA.DRB1,3.730251812666714
HLA.DRB5,3.5023057335116046
HLA.E,5.7907155220503705
HSPB1,3.695993649872293
HSPG2,5.159599768662099
ICAM1,5.815506245800043
ICOS,2.7409128308203528
IFITM3,3.2996316436594664
IGF1R,2.6231345182365766
IGFBP5,5.639606916511908
IGHG1,2.9259363833484353
IGHG4,4.0482608441278405
IGHM,2.3896137058571005
IGKC,3.487282444311296
IL2RA,6.27183536572645
IL32,5.383993728847272
IL3RA,8.230441058560082
IL7R,4.761157715800935
ISG15,4.114728627279605
ISG20,3.608582234826094
ITGA6,3.7871344814792316
ITGAX,6.695826653792841
JUN,4.010512375437804
JUNB,3.6632898314063294
KIF23,3.343440864733612
KIT,3.950824140764723
KRAS,4.170502203628521
KRT10,3.8694866644426664
