target,imp
IL18,0.053592045099992394
SEMA3F,0.007769801882705108
TNFSF4,0.11086604417437272
IL20,9.242321147841946e-4
CTF1,0.01263157894736842
CSF1,0.0439782826945843
RARRES2,0.013333333333333334
CXCL11,0.04041840558926055
WNT2,0
NRG4,0.07177027284031894
INHBB,0.049611979333058394
WNT4,0.023573658414678095
EDA,0.12570721946519944
CCL13,0.05951856025753417
BMP4,0.04277660938329121
WNT5A,0.009285714285714286
PTN,0.025217209690893902
CXCL12,0.15173755367025032
TRH,0.03545189658585316
GDF9,0
GDF11,0.0018701298701298702
TNFSF12,0.066243243983259
CXCL1,0.00135
TSLP,0.05117540335048276
CCL7,0.053424636432340585
HBEGF,0.10094267475876098
ANGPT1,0.10418447078973006
OSM,0.009031004972093888
APLN,0.007314169192913805
FGF13,0.08850780820637784
GAL,0.038497129999540795
BMP5,0.01778738927951169
UTS2,0.004166666666666667
PDGFA,0.09002298580325675
TGFB3,0.0095
CCL26,0.05499340991466975
IL15,0.11437348946441439
CXCL3,0.03049490858740259
CD40LG,0.017693883549339116
PTHLH,0.02371268830970579
TNFSF14,0.07515604319052595
PRL,0.015
CXCL2,0.01811493168703647
CCL11,0.044254515599343194
CD70,0.04702432557831245
IL7,0.05865322275418047
CLCF1,0.01951054972721271
NRG1,0.22856137665229606
CXCL10,0.0013960107695790071
CCL23,0.03230683189291963
TGFB2,0
EDN2,0.16138446369985535
CXCL13,0
NTS,0.03697402597402598
PDGFB,0.06314405936615056
PGF,0.10173307248699316
VEGFC,0.06253770403848366
NRTN,0.01051767651939443
CCL4,0.018819444444444444
THPO,0.009655172413793104
IL16,0.1911346320055896
WNT3,0.07953745683756025
INHBA,0.02488235294117647
NPPC,0.09843073593073592
PDGFD,0.03475416673883105
CCL8,0.3102397675379079
CCL28,0.09882839824282223
EGF,0.0780154521096518
IL34,0.09731780752185619
CGA,0.03564347719290839
MDK,4.1732278118693304e-5
BMP2,0.00909090909090909
BTC,0.33407430914315867
IGF1,0.00989833326405919
IL10,0
GAS6,0.08681139842027998
CCL20,0.0901063914115107
CSF2,0.11526694613008612
MST1,0.13513200568417497
CCL5,0.03370150287220092
CCL21,0.03363479378837157
IL11,0.14760232627912423
AGRP,0.013118279569892472
TNFSF8,0
PNOC,0.017939276485788115
PDGFC,0.019454290881912584
ADM,0.05806471981057617
CXCL5,0.06582786573202483
UCN,0.05751557821189196
FGF2,0.010486549165120594
TGFA,0.092653403964011255
GNRH1,0.17927762064781763
WNT3A,0.046556805725347566
TGFB1,0.015164045685553547
CXCL9,0.021494696187298296
EDN1,0.04689156640556101
LTA,0.03981220657276995
AGT,0.1903221196846231
FGF18,0.03950075018754688
FGF7,0.04523809523809524
IL24,0.038167477663001964
FASLG,0.16859147844138575
BMP6,0
CCL3,0.17792945356411916
IL1RN,0.08104949874686718
NRG3,0.02950282411545811
FGF10,0.10271099669613766
NRG2,0.3028041196474726
KITLG,0.16092634301310688
VEGFA,0.05785677926772137
TNFSF10,0.01844484629294756
BMP7,0.027515036628903856
IL1B,0.2819212013274818
CALCB,0.0640918963377527
IGF2,0.02004112929335712
HGF,0.01877777777777778
EBI3,0.06089762847282536
ANXA1,0.08094822772486443
WNT7B,0.06232436229517427
TNFSF13B,0.029443336848909603
PYY,0.003132328308207705
PSPN,0.04240740740740741
BDNF,0
TNFSF15,0.11580670821423443
FGF1,0.0035071900979691734
CCL2,0.10165526124373345
TNF,0.01585468232982213
VEGFB,0.011399583290797427
POMC,0.024757583829140836
NMB,0.08566338291274078
ARTN,0.02007479111573992
IFNG,0.010989055661863081
