target,imp
ACKR3,0
ACVR1,0.006489234425890107
ACVR1B,0.0029149045783563713
ACVR2A,3.4590240776352974e-4
ACVR2B,0.0041565325696559996
ACVRL1,0
ADCY1,2.4015002583397735
ADIPOR1,1.0098577865281657
ADIPOR2,0.01611878438346636
ADORA1,0
ADORA3,0.1655031522365724
ADRA2A,0.06474926004979303
ADRA2C,0
AGTR1,2.9722290376435008
ALK,0.023159676621579885
ANTXR1,0.001320731156444934
APCDD1,0
APLP2,8.884592546629088
AR,0.1026390205783013
ATP6AP2,4.093287949567076
AXL,0
BAMBI,2.3731398138923936
BCAM,0.967005065265564
BDKRB2,0
BMPR1A,0.04261699946968278
BMPR1B,1.1327384523315844
BMPR2,0.02028309642358433
C3AR1,2.427615626452495e-4
C5AR1,1.7579593513642745e-5
C5AR2,0.4969762872650157
CALCRL,0
CAV1,0.086300897011549
CCR1,0.0010435879157386222
CCR10,0.004675389659600273
CCR2,0
CCR5,0.0047008724582955274
CCRL2,5.906765322935569e-4
CD151,0.6525178329125985
CD180,0
CD19,0
CD2,0.0033110989935428033
CD226,0.23095973012408397
CD247,0
CD27,0.004802288940093023
CD274,0
CD28,0
CD300LF,1.1190462503950402
CD33,0
CD36,0
CD38,0.014447989824909977
CD3D,0.7741605678617564
CD3G,0
CD4,0.008069585208115418
CD40,0.027968606429251232
CD44,1.4837270393181186
CD46,1.0505401122556561
CD47,3.699030607117078
CD53,1.0451202675690237
CD63,7.176037601582226
CD68,0.05952803304872675
CD72,0.0012396067629811137
CD74,6.8390693491773105
CD79A,0.002278778684401781
CD81,1.2814523281567345
CD9,1.4236595246714934
CD93,0
CD96,0
CDH2,0
CDON,2.3427483651179886
CELSR1,2.042781164827809
CELSR2,0.0013704002846080322
CHRM2,0
CHRNA1,0
CLEC12A,0.03180148616201414
CLEC2B,0.03863906388565098
CLEC2D,2.8900684277788224
CLEC5A,0
CLEC7A,2.600462720789243e-4
CMKLR1,0.003631975281517055
CNTN1,0
CNTNAP1,0
CNTNAP2,2.032686929671962
COLEC12,1.1233881170257478
CRLF1,0.0023259850648064875
CSF1R,0.02294717740976553
CSF2RA,7.967625696521308e-4
CSF2RB,0
CSPG4,0
CTLA4,0.0033867100690740683
CXCR4,0.03845951841964514
CXCR6,0
CYSLTR1,0.007705899577647388
DCBLD2,0.007539617664552214
DCC,3.9661610758730205e-4
DDR2,4.6735709669503577e-4
DYSF,0.01050543001118827
EDNRA,0
EDNRB,0
EGFR,0
ENG,0.001086075182021909
EPHA1,0.5978292481421669
EPHA2,0
EPHA3,1.1015751088451031
EPHA4,0
EPHA6,0
EPHB1,1.0539451306861871
EPHB2,0.005864939976362678
EPHB3,0.024770658621534193
EPHB4,3.3430344620104973
ERBB2,0.021727542987960806
ERBB3,1.503030416416365
ERBB4,0.3115995069071574
ESR1,11.512818557054224
F2R,0.005562179285552746
FCGR1A,0.012908987283234134
FCGR2A,0.0010440665027215607
FCGR2B,8.464225943179371e-4
FCGRT,0.9345199310640514
FGFR1,0.5977238038517924
FGFR2,0
FGFR3,0.003219072548334896
FGFRL1,0.0029557474464289913
FLT3,0
FPR1,0
FPR3,0.12905311024103377
FXYD6,0
FZD1,0
FZD2,0
FZD3,0.006543512065284608
FZD4,0.7176219899760714
FZD6,0.7308292538751037
FZD7,0
FZD8,0
