target,imp
A2M,0
ADAM17,0.1845048635334574
ADM,0.2959617277199622
ADM2,0.24586599029225453
AGRP,1.5292296726269357
AGT,0.5207586754468077
ANGPT1,0.24431476893506332
ANGPT2,0.38744588388691364
ANGPTL2,0.4789894986550727
ANGPTL4,0
ANXA1,0.21395010486352248
APLN,0.5696212441205982
APOD,1.448627830086866
APOE,0.2926579896967166
APP,0.5214113053565085
ARTN,0
AZGP1,0.17822479258335278
B2M,0.1270351006513765
BDNF,0.3813178119906668
BGN,9.397224131282508e-4
BMP1,0.3390644411217724
BMP2,0.09140710173856567
BMP4,0.7679295563437846
BMP5,0.8380749067409602
BMP6,0.36620139178976024
BMP7,0.9558421997051204
BMP8B,0.008551980767380127
BTC,0.6869122724081664
C1QTNF1,0.0019406985195410487
C1QTNF5,0.6975844341693315
C3,0.5171630517117451
C5,0.8204786011036945
CALCB,0
CALR,0.5105699232625538
CAMP,0.6657560646170448
CCL11,0.08937556025866654
CCL13,0.3871230457386987
CCL18,0
CCL2,0.17949158800099582
CCL20,0.25890978719480484
CCL21,0.2668215103491632
CCL23,1.1597171345074826
CCL26,0.5684738072364705
CCL28,0.464740662647731
CCL3,1.280891448613357
CCL4,0.1844302347118904
CCL5,0.6403621060882876
CCL7,0.004351129159324902
CCL8,0
CD40LG,1.8906575171676605
CD55,0.32426508817972144
CD70,0.31929480979108926
CD86,0.009551112893526004
CFH,0.6034236745714108
CGA,0.004266658857507442
CGN,0.27235289796544365
CHAD,0
CKLF,0.693030172244524
CLCF1,0.18528800839060847
CLEC11A,1.5711211110481054
CNTN4,0.32960337388867944
COL11A1,0.09014530868377672
COL14A1,0.4599289061485581
COL18A1,0.0017432063381226364
COL1A1,0
COL1A2,7.917849262790617e-4
COL2A1,0.224039226002607
COL3A1,0.39410936701761445
COL4A1,0.20222273368914842
COL4A2,0.2937104409869594
COL4A3,0
COL4A4,0
COL4A5,0.7867060158910784
COL4A6,0.30806642633139814
COL5A1,0.9054862127734659
COL5A2,0.37522092830607734
COL6A1,0.41054727214065223
COL6A2,0
COL7A1,0.3392037417812633
COL8A1,0.5520052104909574
COL9A1,0.37799677237820767
COL9A2,0.1706354285923811
COL9A3,0.6730012457538603
COPA,1.0927451396725325
CP,0.6225473821492179
CRLF1,0.5850397311416423
CSF1,0.5462702113580551
CSF2,0.6660012075488503
CTF1,0.7060591700747381
CTGF,1.048221210284064
CXCL1,0.17298876578121336
CXCL10,1.917761975011751
CXCL11,2.8061976123757146
CXCL12,0.2287545790865443
CXCL13,0.183979507585649
CXCL14,1.0142651130430336
CXCL17,0.25437850937554246
CXCL2,0.3176895290448178
CXCL3,0.4720960335296779
CXCL5,0.001871858368943568
CXCL9,0.11293520044483767
CYR61,0.8156581356465646
DCN,0.4198949803745214
DKK2,0.9161286291101794
EBI3,0
EDA,0.368018412216462
EDIL3,0.188146854605955
EDN1,0.1792533795313902
EDN2,0.9457036509185838
EFEMP1,0.8733654450992988
EFEMP2,0.94321847048026
EFNA1,0.35216581871704555
EFNA4,5.858189992156858e-4
EGF,0.2870926137299211
F10,0.8152731451303782
F12,0.4803639915739686
F13A1,0.28297866669902283
F7,0.11590574440523231
F8,1.2127707818702715
FAM3C,0.23988963677796907
FASLG,0.6939183411651086
FBLN1,0.5670779603155846
FBLN2,0.6216922726871652
FBN1,0.18900305112424093
FGF1,0.010468750518780894
FGF10,0.23074367173671284
FGF12,1.543656688320688
FGF13,1.0279561140949252
FGF14,2.1999823157249603
FGF18,0.7561384238538948
FGF2,0.9756061985917932
FGF7,2.1759080659877066
FGG,0
FN1,0.8179800140647531
GAL,1.4347067427377962
GAS6,0
GDF11,0.016518484940065234
GDF15,2.3671046565562857
GDF9,0.5853036518677048
GNRH1,0.4211450821381706
GPI,0.5861748855092942
GREM1,0.7526574590104559
GRN,1.1024859620876917
GZMB,2.17082673200818
HBEGF,0.5695533673715654
HGF,0.23946560861619726
HLA.E,0.40861396295206165
HLA.G,0.9095988548143862
HSP90AA1,0.488774321739595
ICAM4,0
IFNG,0.012139155565521713
IGF1,0.8341082093924257
IGF2,0.2666509710310669
IGFBP4,0.5705523569246267
IGFL2,0.7482965210068354
IL10,0.006991915452151656
IL11,0.24566442876612224
IL12A,0.5451004412143223
IL15,0.14516699097472627
IL16,1.257152761131139
IL18,0.4173382407667537
IL1B,0.04846363344095295
IL1RN,0.7421724387602348
IL20,0
IL24,0.2295269090706659
IL34,2.217046393307866
IL7,0.44676947284230856
INHBA,0.9440368000360847
INHBB,0.29545542498342525
KISS1,0.29575617855631836
KITLG,0.0754284644091401
L1CAM,0.4738510454279636
LAMA1,0.24353545740783758
LAMA2,0.549377095775151
LAMA3,0.07932925456616163
LAMA5,0.7736309388858983
LAMB1,0.5313519270902867
LAMB2,0.052304081312709104
LAMC2,0.5380014107990219
LCN2,0.01724687819377512
LGALS1,2.1106865190264954
LGALS3BP,0.6375678382119997
LGALS9,0.024816552655017456
LTA,0.35586435750606654
LTB,0.8143357684781819
LTBP3,0.6126111704933801
LTF,2.2376654698392318
MDK,0.7243776089036202
MFAP2,0.2286072490352199
MFGE8,0.5918579982678779
MIA,0
MIF,1.0400278970440495
MMP12,0.19119810954765687
MMP13,0.23638300580512536
MMP2,0.46863222988613096
MMP9,9.917326698667924e-4
MST1,0.300981433965968
"NAMPT",1.698478293262845
NCAM1,1.3919464026309538
NDP,1.0100058547364656
NID1,0
NID2,0.10037321656976453
NLGN1,1.0621337575244265
NMB,0.04573804206232497
NMU,0.4406487553867282
NPB,1.1207093754934219
NPNT,7.56415332364044e-4
NPPC,0.5432476543686388
NPW,0.5265444225269377
NRG1,0.5510172217224271
NRG2,0.48936354012217165
NRG3,1.1118556797978922
NRG4,0.6288628977998407
NRTN,0.6560713655383552
NTN1,0.24209592993716803
NTN4,0
NTNG2,0.4102199906495619
NTS,0.3845410915095286
NXPH1,1.8923472848318381
NXPH2,0.6666169059267645
NXPH3,1.85238124178381
OBP2A,0.5612517268535383
OLFM2,0.5349378549024583
ORM1,0.6384293736458315
OSM,1.1285427304168019
PDCD1LG2,1.3812724078761034
PDGFA,0.1803049911710588
PDGFB,0.3277084235483418
PDGFC,0.45434526648679047
PDGFD,0.03660080181673087
PGF,0.14586156987891155
PIP,0.18555387268980997
PLAT,0.20188206650681614
PLAU,0.3050613892000972
PNOC,0.6577235829107009
POMC,0.9240152394332445
PRL,1.232824428873184
PSAP,0.22768654117310091
PSPN,0.35773564414649983
PTH2,0.42117306292239
PTHLH,0.0057880244142956205
PTN,0
PYY,0.02215839528364724
RARRES2,0.14477427874379561
RBP4,0
RELN,5.493445558975987e-4
RGMB,0.425119383093049
RLN2,0
RPH3A,2.3283408067521534
RSPO1,0.9758731695468321
RSPO2,2.1906284372974785
RSPO3,0.8079001767779772
RSPO4,0.695718164812812
S100A8,0
S100A9,0.3534692576098182
SAA1,0.24428194158524869
SCGB3A1,0.3586343049946416
SEMA3A,1.011581653211271
SEMA3B,0.4295200679985448
SEMA3C,0.11017700842580998
SEMA3D,0
SEMA3E,2.2356814075943516
SEMA3F,0.43949866218335737
SEMA3G,0.3392748188640426
SERPINA1,0.011652989942356022
SERPINE1,0.02228713923401425
SERPINE2,0.2023389962153712
SERPING1,0.504494042270532
SFTPD,0.19381328719306454
SLIT2,1.2700337680708516
SLIT3,0.05771371212742468
SPINT1,0.628221954852266
SPON2,0.21790445273751582
SPP1,0.006926946516562834
TF,0
TFF1,0.23584964337321954
TFPI,0.7501263093918092
TG,0.8606152045267986
TGFA,0.3642177492670973
TGFB1,0.09938959704374406
TGFB2,0.2936960494492973
TGFB3,0.3392748188640426
TGM2,1.038975988450422
THBS1,0.952267893892379
THBS2,0.3067656779358596
THPO,0.3392748188640426
TIMP1,1.0404661954479635
TIMP2,0
TNC,0.007032682484766201
TNF,0.30532900729253787
TNFSF10,0.8126763077105679
TNFSF12,0.04789043778992182
TNFSF13B,0.0014841804622287992
TNFSF14,0.7098404049706002
TNFSF15,0.6140108253048875
TNFSF4,0.6534181696640821
TNFSF8,0.46855040944840226
TNFSF9,1.2776170771938928
TRH,0.821375675497595
TSLP,0.07709048547703501
UCN,1.183757509968232
UTS2,0.5016829747200444
VCAM1,0.6862884322510376
VCAN,0.790813712488056
VEGFA,0.9680595752537907
VEGFB,0
VEGFC,0.7859398812829145
VIM,0.2643193224343337
VTN,0.8261527808512618
VWF,0.20384601941294012
WNT10A,0
WNT10B,0.21955076897841783
WNT2,0.7252491508947415
WNT2B,0.3321092597270624
WNT3,0.37628151418220823
WNT3A,0.16101470142468804
WNT4,0.05464050874212412
WNT5A,0.27493405191634307
WNT5B,0.2265752008749893
WNT6,0
WNT7B,1.2009158580070058
WNT9A,0.0981261771521153
ZG16B,0.33836830054841194
ZP3,0.48239922615427416
