target,imp
CD19,459229114.6947973
PECAM1,353033939.62564117
HLA.DRA,218756349.73430046
MKI67,272513432.17622936
CD274,794790725.7912139
FAP,74362485.75825961
CTLA4,273537581.6823643
CD69,347381288.15990007
CD2,156945537.29374272
B3GAT1,377076445.6693379
PDPN,268626895.16180706
HIF1A,582982831.8397981
COL4A2,176678296.80407086
CD40LG,608216870.5106819
NCAM1,169596299.3800295
IGHM,409897590.67704684
MMP12,176098601.1126152
CD9,396580736.3229795
CD1C,453480329.23638755
ITGA6,271478962.57788104
PTPRC,868999950.0956383
FCGR3A,190441657.04365295
FOXP3,265661770.7618055
IL3RA,262702557.89326733
KRT19,234073212.5276544
HLA.B,266540701.13170892
THY1,304663011.75522906
IL7R,160926095.20971382
ICOS,463145993.3159532
CXCR5,236172665.50862584
KIT,494731509.09081465
PDCD1,250631970.9312212
CD5,438380419.56144875
PDCD1LG2,260469121.46014354
ITGAX,335655582.89094454
VIM,472010466.65933794
ICAM1,420751276.3778973
LILRB1,251563468.04744583
CD7,384725903.69617426
FUT4,220277591.45195073
CR2,338923404.66187495
CD38,270927892.32530314
CD4,440780716.0519063
ISG20,169266073.0458247
CEACAM1,231305332.33839324
CD40,671165648.2543873
CD8A,370849087.2894029
PTPRCRA,445913863.5239304
ENTPD1,261579258.91163835
