target,imp
ACTA2,593.8550159572111
ACTG2,881.3665559881396
ACTR3B,2060.38290329799
ADGRL4,291.24332777774174
AGR2,174.3419507719166
AHR,879.514960387795
AIF1,335.6583397255705
AKT1,1246.1780218351832
ALDH1A3,834.3193987145653
ANLN,2368.8777784304802
AP1M2,766.6226569335033
APOC1,572.562139858222
APOE,1150.866163237237
AR,340.1574338907776
AURKA,2010.5887804331571
AZGP1,9982.352736365983
B2M,3834.6797506394937
BAG1,2122.708195785187
BANK1,295.46840137338785
BCL2,4640.389661056238
BGN,2557.3062819833417
BICC1,467.99490416818225
BIRC5,772.1689787757367
BLVRA,980.5572278614246
BRAF,949.9943434531938
C1QA,747.6930802981121
C1QB,556.8548598550667
CALCRL,421.9979023640309
CAPN13,266.571613336461
CCL2,132.6344290529746
CCL3,610.0188580500369
CCL4,172.08942606919354
CCL5,521.1181622103927
CCNB1,2029.613662817164
CCND1,4892.977369234748
CCNE1,902.1951969160857
CCNE2,639.9279697939066
CD14,430.0375482536049
CD163,740.4442723959511
CD19,312.8864923199951
CD2,491.60556301172625
CD24,9718.459827816281
CD274,256.4316210898689
CD34,603.8407818383151
CD36,1105.881011640371
CD38,354.97473345915614
CD3D,220.03742219090822
CD3E,326.0068626125999
CD3G,866.8856810180534
CD4,329.808789734256
CD40,716.0548710885314
CD40LG,293.3286763425499
CD44,3220.259171627832
CD5,335.15230460382423
CD63,2148.962221454939
CD68,389.1629673980314
CD69,568.2874961780158
CD7,589.2925735273143
CD74,2923.136245091501
CD79A,324.03438227167834
CD79B,157.7168451232394
CD8A,583.4791559152861
CD9,1905.185384913786
CD96,292.5010560206179
CDC20,1505.3182605382542
CDC6,952.7208168789813
CDH1,5402.000471282933
CDH11,227.2553941454944
CDH3,328.77603942257497
CDK4,2093.782219765171
CDK6,1329.20736756134
CDK7,1122.4637049181295
CDKN2A,382.29807673266936
CEACAM1,4677.088353840391
CENPF,2527.7213944643845
CEP55,1849.107250471952
CLDN4,690.7199278671092
CLU,325.29544259246165
COBL,1311.9904212029246
COL1A1,1227.1009524191809
COL1A2,1052.2965284377842
