target,imp
ACTA2,87.82363490190669
ACTG2,105.98749527308006
ACTR3B,130.26882792010187
ADGRL4,73.10128215618631
AGR2,73.77948317859574
AHR,170.13923625100753
AIF1,126.05404724693223
AKT1,103.84696007335364
ALDH1A3,72.57265474468839
ANLN,117.80939117156902
AP1M2,90.67390282021437
APOC1,197.46509787212045
APOE,231.40419516446957
AR,37.28261700373622
AURKA,91.57809604076998
AZGP1,117.60488427257958
B2M,181.5713273915397
BAG1,158.73316202003224
BANK1,83.50221908087944
BCL2,138.80560557920208
BGN,163.69355036108206
BICC1,88.02334477685724
BIRC5,55.34371891934796
BLVRA,99.33182084491982
BRAF,84.85977078629372
C1QA,260.9851917887804
C1QB,327.7844682234388
CALCRL,97.37632159705
CAPN13,52.25188298412144
CCL2,87.84781870735931
CCL3,89.9530135016039
CCL4,89.711112325449
CCL5,74.11605472734233
CCNB1,124.16490233855015
CCND1,186.9179295675409
CCNE1,95.91564705236033
CCNE2,59.28384492746139
CD14,113.4026649267615
CD163,458.0495803694744
CD19,50.083827569750326
CD2,140.25469004562387
CD24,162.70686190125141
CD274,31.88793732869111
CD34,77.06026369354058
CD36,141.89014642431874
CD38,85.94749686447581
CD3D,80.32821164798749
CD3E,86.25611905575863
CD3G,114.08269266964894
CD4,157.08872610612522
CD40,93.18853090839494
CD40LG,89.55622477589993
CD44,123.7984444704515
CD5,47.53231819283852
CD63,139.55022828627946
CD68,127.2940446764017
CD69,102.15655870306625
CD7,52.08690917140504
CD74,352.5069900284028
CD79A,84.15159016429047
CD79B,61.132219707063186
CD8A,73.10057021071744
CD9,106.60172635608444
CD96,79.3156314480217
CDC20,81.77103007455466
CDC6,104.65155276960706
CDH1,100.5702300417735
CDH11,83.01749341669088
CDH3,99.95787152054936
CDK4,118.0047973779534
CDK6,122.24625092385692
CDK7,109.06343934285881
CDKN2A,74.99254429607144
CEACAM1,112.4577883991477
CENPF,111.2396887583442
CEP55,107.95926626414071
CLDN4,76.92304082216152
CLU,58.252320574906044
COBL,95.15826692785016
COL1A1,128.6739707795075
COL1A2,142.79129557692937
COL3A1,162.61291139635213
COL4A1,140.24520293343664
COL4A2,126.97320582535772
COL4A5,133.83079416094145
CR2,57.993054938280714
CRABP2,66.38101900204919
CSRP2,133.02847574538788
CST3,101.67257115606974
CSTB,125.64653294419611
CTCF,164.4862630773982
CTLA4,65.0058744718266
