target,imp
ACTA2,100.86817087147777
ACTG2,102.03591214939108
ACTR3B,87.86640271930881
ADGRL4,78.83211274652663
AGR2,81.3089004805169
AHR,75.76175382691247
AIF1,89.16478666869645
AKT1,67.25085408574309
ALDH1A3,78.22670444798705
ANLN,116.10341103513986
AP1M2,86.89708149959007
APOC1,78.49005298543814
APOE,89.54778888396487
AR,90.81293607822474
AURKA,86.11282004264608
AZGP1,73.80318358950363
B2M,70.98302442352198
BAG1,75.11778046105067
BANK1,142.40084742890022
BCL2,56.22077631344725
BGN,82.0676006526278
BICC1,82.50559913468719
BIRC5,122.95503801866575
BLVRA,92.13451618160046
BRAF,87.23756993927081
C1QA,80.86853305650453
C1QB,64.28653061777396
CALCRL,106.51902919224895
CAPN13,102.61690382318633
CCL2,112.66224699677876
CCL3,72.9775898975888
CCL4,100.24406207271282
CCL5,94.49379784706338
CCNB1,59.63335095983452
CCND1,53.986358717282954
CCNE1,104.55259545024947
CD14,69.0154626678477
CD163,97.76752323814699
CD19,79.30709168343994
CD2,98.75000169400077
CD24,46.658789166631124
CD274,88.25364134357059
CD34,104.26151960850761
CD36,94.34722049038712
CD38,94.73180410452376
CD3D,91.31451947135506
CD3E,65.62421932235274
CD3G,95.56787392550721
CD4,74.1695160347532
CD40,78.22422773455945
CD40LG,125.21597239050189
CD44,67.80681844097452
CD5,97.67013045453308
CD63,64.61142399420658
CD68,77.42850657357094
CD69,78.68105661870989
CD7,98.99490961180547
CD74,75.04296490355807
CD79A,92.26512574160571
CD79B,75.34420799348814
CD8A,121.00652419727872
CD9,77.95705151826523
CD96,96.45407921725615
CDC20,95.45037632063655
CDC6,102.22310375905539
CDH1,58.24365932296034
CDH11,109.02134511311006
CDH3,85.64281504630748
CDK4,62.324472551213674
CDK6,100.09443835880252
CDK7,67.7844112724133
CDKN2A,111.50478801474719
CEACAM1,68.95711018517359
CENPF,85.99251067684165
CEP55,96.15996334245305
CLDN4,79.78051865557055
CLU,74.87558841694917
COBL,67.79421362709121
COL1A1,79.14805543265943
COL1A2,64.22257574899581
COL3A1,85.3998328511585
COL4A1,78.59105506933602
COL4A2,64.88636545232207
COL4A5,91.409213903632
CR2,64.70855602225588
CRABP2,82.45851432735189
CSRP2,62.122112242004185
CST3,79.72424670628685
CSTB,88.95975026083623
CTCF,74.67012091927799
CTLA4,109.43117427391346
CTSL,75.84518565834641
CXCR5,93.13374563837499
CXXC5,91.63304700949422
DCN,75.96037086689395
DERL3,86.22516120729944
EFNA5,66.88002629427025
EGFR,59.37734726168842
EIF3E,56.37537810564716
ELF5,44.007055320034276
EPCAM,42.99941291923964
ERBB2,79.35668676625501
ERBB3,59.56948463047251
ERBB4,113.31323632123524
ESR1,112.11236143599957
FABP7,90.28067720809614
FAP,94.72998854015053
FASN,62.78522714164358
FAT1,83.77990595034727
FCGR3A,59.54064224107456
FCN1,94.95073606436004
FCRL5,79.22069101373215
FGFR1,68.49737462215295
FGFR2,57.725757899315965
FGFR4,76.98198302181298
FN1,82.50407221899637
FOS,68.82445031773857
FOXA1,84.85068787206286
FOXC1,74.91095910100317
FOXP3,123.26434216979885
FXYD3,101.9953628764311
GATA3,84.20666396285422
GNG11,84.78133576356645
GNLY,77.64239210002181
GPNMB,83.43244645099537
GPR160,87.0869648306292
GRB7,81.27510927409406
GSN,63.12452673697306
GZMB,87.42929135575703
HIF1A,48.973737909364026
HLA.A,73.7554796293074
HLA.B,91.97101095115923
HLA.C,80.59217657078474
HLA.DPA1,88.74068065018724
HLA.DRA,87.12300576175525
HLA.DRB1,95.39885131156018
HLA.DRB5,103.35233807392318
HLA.E,67.00235753800128
HSPB1,68.65669314611092
HSPG2,100.5515801881261
ICAM1,93.54699118185721
ICOS,98.64644939670816
IFITM3,90.38718065605839
IGF1R,93.91614344571025
IGFBP5,91.60036162426769
IL2RA,91.02460276961557
IL32,92.44926480069279
IL3RA,80.9138610560952
IL7R,76.10862209946775
ISG15,97.08659713556584
ISG20,76.70036755127637
ITGA6,49.87627683782025
ITGAX,82.13175600987394
JUN,79.28773463113542
JUNB,72.12568332964196
KIF23,89.07668905159333
KIT,53.92183796538593
KRAS,69.7419933796599
KRT10,99.563450720821
KRT14,115.6608276782523
KRT15,78.13748024445297
KRT17,135.32997720330243
KRT18,63.78300471347522
KRT19,56.69897697063155
KRT5,86.30866516147927
KRT7,71.81908761225812
KRT8,41.22131642921491
LAG3,94.00033218009119
LAMA1,56.15523273568995
LAMC1,67.34187538564832
LDB2,81.90781266919853
LGALS1,112.56371480152859
LGALS2,117.9038576529965
LGMN,83.14653300522112
LILRB1,71.60542386418194
LRP2,124.34373023989654
LST1,107.44216300430463
LTF,101.53514843681525
LUM,89.05149124518869
LYPD6B,88.03763664810346
LYZ,84.09371557889122
MAPK13,64.53620363530389
MAPK3,78.68182864881375
MDM2,70.05933444690042
MELK,80.97204798644654
MIA,72.45878567935267
MKI67,98.39474004118507
MLPH,87.75766076226643
MMP11,72.94233359477037
MMP12,88.7954565037407
MMP9,107.17436082139795
MS4A1,78.43232005110403
MSR1,87.895277891328
MT2A,108.87002808218713
MUC1,62.65157160156176
MYB,88.79127231006122
MYBL2,88.41462507777622
MYC,55.06212197311222
MYL6,62.83039629650109
MYL9,89.5533726487534
MYLK,84.79089256699008
MYO10,46.23407609258342
MYO5B,79.14957639163437
MZB1,92.326101303176
"NAT1",106.30527507323049
NCAM1,72.08460679161341
NDC80,71.83203441806482
NDRG2,39.59486789095163
NF1,52.24498655995869
NFKBIA,97.98563142497453
NKG7,132.76687819024707
NOTCH1,41.035816840692114
NR3C1,90.44901273979741
NUF2,82.94375018147431
OBP2B,90.50009364004089
ORC6,55.89306685898837
PABPC1,48.10590812372923
PBK,78.40470260853868
PDCD1,79.98802900774524
PDPN,91.07395683488241
PDZK1IP1,83.30671963126969
PECAM1,124.74440274158783
PGR,71.9589140621331
PHGDH,49.84543102846638
PI3,88.59167150263843
PIK3CA,72.92945322828548
PLEK,78.70444456659983
PLVAP,54.40365209444173
POU2AF1,97.45054713724267
PRLR,62.9683789944713
PTEN,72.98467670726559
PTPRB,82.5257284640958
PTPRC,83.68349940052609
PTTG1,122.33150131599838
RAMP2,93.80805113616253
RB1,53.25139069098339
RPL13,66.08730939911098
RPL18,90.10921855339869
RPSA,55.56924916829644
RRM2,61.81274582517208
S100A14,106.5048516703643
S100A4,83.85955174343613
S100A8,79.9461008529635
S100A9,114.99704453854264
SDC1,69.89640326024069
SFRP1,74.79665315149303
SIAH2,94.1245796335561
SKAP1,78.31749520191137
SLC2A1,60.14868818206439
