target,imp
ACTA2,5.782380479156765
ACTG2,14.407510559726218
ACTR3B,25.309706463179218
ADGRL4,11.48323894204534
AGR2,23.097988577686987
AHR,26.143322956490675
AIF1,13.43566907254645
AKT1,36.184068058716356
ALDH1A3,24.69902221181263
ANLN,26.476347606385293
AP1M2,7.393035708675001
APOC1,17.50008104429756
APOE,32.746577333581754
AR,8.415265989443501
AURKA,28.207757181593966
AZGP1,40.817415512334584
B2M,57.82130401949984
BAG1,30.854246025948168
BANK1,24.08867625754497
BCL2,53.61773147386943
BGN,17.676819949678155
BICC1,39.84770894782869
BIRC5,20.34928234042957
BLVRA,29.325906014635
BRAF,28.8810341917702
C1QA,40.25103287796895
C1QB,23.31479723056855
CALCRL,15.161606347217432
CAPN13,5.835562583793375
CCL2,5.53401954424949
CCL3,18.424279963074095
CCL4,6.463792445491709
CCL5,19.793301891374075
CCNB1,21.766989863224584
CCND1,56.75871223090771
CCNE1,35.89469423145199
CCNE2,23.87961959796127
CD14,10.4162172164707
CD163,9.39082939254231
CD19,10.870440384945
CD2,16.162329437345946
CD24,44.662991374898596
CD274,3.266827094880319
CD34,9.15643926049755
CD36,4.2207881548860025
CD38,21.712452115850166
CD3D,6.716285233696503
CD3E,7.510757474399022
CD3G,32.10259024318129
CD4,11.11964568796614
CD40,18.79936669592188
CD40LG,22.1579548300951
CD44,58.64764292673287
CD5,4.327528572995398
CD63,22.779002569531507
CD68,7.327891508654595
CD69,13.11945472577612
CD7,20.768676791304205
CD74,39.31090480077909
CD79B,8.45575758237694
CD8A,26.423960462404455
CD9,29.450741124773884
CD96,14.466645760025022
CDC20,16.81430381464336
CDC6,28.149424550418345
CDH1,41.458844568994735
CDH11,9.840339158293604
CDH3,5.784968592820926
CDK4,22.068600288068442
CDK6,22.93743376594232
CDK7,24.859176030679247
CDKN2A,1.8899583939910185
CEACAM1,38.748608440127136
CENPF,32.91702573900853
CEP55,22.20623648716008
CLDN4,39.8772780844106
CLU,2.29192334858926
COBL,26.611202410893725
COL1A1,21.656427416324664
COL1A2,8.068721026510106
COL3A1,16.900366880614225
COL4A1,22.839528585643052
COL4A2,20.23708789475802
COL4A5,31.536940015950204
CR2,22.271888940344205
CRABP2,19.618111367269442
CSRP2,29.02645973508394
CST3,26.68550393355218
CSTB,45.03054843174587
CTCF,47.30734397415489
CTLA4,10.411499372234687
CTSL,17.574031841633367
CXCR5,8.673752394082323
CXXC5,9.713607166482301
DCN,12.094028655956993
DERL3,24.63401224463451
EFNA5,31.307084614565404
EGFR,20.792139606301685
EIF3E,40.021762159628054
ELF5,54.74103427103449
EPCAM,44.28073897035142
ERBB2,34.225969643230776
ERBB3,32.91778921739478
ERBB4,8.118514994671727
ESR1,2.8941185464131856
FABP7,33.34086930050938
FAP,22.676484723010176
FASN,34.190334349256815
FAT1,22.844012074462043
FCGR3A,20.964401791548877
FCN1,8.373521229567837
FCRL5,29.19555521474059
FGFR1,26.378821946821144
FGFR2,55.72014609533925
FGFR4,17.8886145836987
FN1,15.761635625010497
FOS,24.05416271803444
FOXA1,19.56547623929289
FOXC1,44.86864248071073
FOXP3,28.174286649361385
FXYD3,56.79672865066946
GATA3,9.310575276407526
GNG11,13.791888062181194
GNLY,16.241347517977832
GPNMB,25.386528652431736
GPR160,17.989971614952893
GRB7,16.055287086129766
GSN,30.185548111665163
GZMB,24.654638625188422
HIF1A,37.40348905237984
HLA.A,11.843892468993731
HLA.B,23.194313748799715
HLA.C,22.95740003126262
HLA.DPA1,36.4264577638702
HLA.DRA,31.496053298653496
HLA.DRB1,21.727556352180887
HLA.DRB5,16.063901109696204
HLA.E,40.31663805271286
HSPB1,25.797291218778764
HSPG2,27.451805894495703
ICAM1,27.55554703769618
ICOS,19.135081002330224
IFITM3,23.197459972590433
IGF1R,20.283006529271017
IGFBP5,19.441583687225535
IL2RA,32.157310877941434
IL32,21.77489741882728
IL3RA,20.16405104409162
IL7R,17.90478114286045
ISG15,32.580499361103165
ISG20,25.297857957848265
ITGA6,46.597808742229454
ITGAX,15.496677727936769
JUN,44.10249867578958
JUNB,27.32903466834728
KIF23,28.87192270935587
KIT,37.76189129801574
KRAS,31.15457592533837
KRT10,6.247253682764774
KRT14,9.219856937695003
KRT15,13.431897470974992
KRT17,30.74664518626532
KRT18,30.271179251232034
KRT19,62.015344102138805
KRT5,30.21904194151572
KRT7,31.26245692386441
KRT8,55.608925875075954
LAG3,7.580261027737175
LAMA1,41.46318252640877
LAMC1,41.7167936186468
LDB2,11.283571284659885
LGALS1,20.946670891310035
LGALS2,22.624191630951465
LGMN,21.07139497499169
LILRB1,22.987276453708755
LRP2,21.834965237062885
LST1,9.75842333098552
LTF,13.33719165681855
LUM,24.560565886196958
LYPD6B,33.41014216602589
LYZ,24.97288446677352
MAPK13,30.887854882487687
MAPK3,28.010309495159778
MDM2,38.383105145248756
MELK,28.40758604558421
MIA,14.997548968352726
MKI67,27.97695958752483
MLPH,40.44043869376108
MMP11,14.446882465880519
MMP12,13.76002339360188
MMP9,12.399526554100468
MS4A1,6.8718339830261606
MSR1,15.090903281559317
MT2A,8.489658721865734
MUC1,37.442178771187024
MYB,27.699803650820296
MYBL2,43.06908856385745
MYC,49.427151026520825
MYL6,46.35232866530551
MYL9,33.45092306316759
MYLK,20.536262716779575
MYO10,38.19520573029132
MYO5B,12.22508314132289
MZB1,18.65798045341056
"NAT1",17.39582856904824
NCAM1,43.92753426130554
NDC80,32.118589638533365
NDRG2,64.09660837982594
NF1,63.800989467462834
NFKBIA,27.58131826194
NKG7,8.726758169503034
NOTCH1,75.58190412898085
NR3C1,23.786134063486344
NUF2,23.72215084717336
OBP2B,25.86052501944655
ORC6,24.169482107744816
PABPC1,68.87565196941138
PBK,24.347936574842585
PDCD1,13.651010122860352
PDPN,68.99813351194746
PDZK1IP1,42.2006695109446
PECAM1,18.193287088731942
PGR,16.427487764167594
PHGDH,61.7817902699168
PI3,20.261326898247013
PIK3CA,41.07479353196727
PLEK,12.055229492888346
PLVAP,46.564217700305086
POU2AF1,11.202781060354658
PRLR,24.897829720287447
PTEN,20.819528456836075
PTPRB,11.260654681512362
PTPRC,14.223684936282547
PTTG1,26.71639499911115
RAMP2,4.9790863001515895
RB1,37.96315888218004
RPL13,20.839255344109116
RPL18,34.938110494550756
RPSA,43.967125085418736
RRM2,43.32140346923041
S100A14,6.398520340983366
S100A4,43.02692700436192
S100A8,9.595669833595338
S100A9,12.963297595645672
SDC1,46.18596164795568
SFRP1,32.139783039896585
SIAH2,13.045613798733138
SKAP1,29.5396962168561
SLC2A1,30.01112718585851
SLC39A6,23.859263257767065
SLPI,31.09597621499845
SNAI2,24.984950356236308
SOX10,48.024886892046446
SOX18,12.113273742573432
SOX4,59.458090640146956
SPDEF,34.042786650753236
SPP1,6.930519695459382
STAT5A,16.449199381345476
STMN1,49.49186410804522
SULF1,20.303956826992643
TAGLN,13.14920784672183
TBX21,21.65261705433512
TCF4,19.392656369441124
TCL1A,2.263583163623058
TFEC,15.45285275518411
TFF1,29.301466212943495
TFF2,37.520813114354176
TFF3,18.279515016269457
TFRC,60.867104561997074
THEMIS,13.736495942357614
THY1,17.195332977526324
TIMP1,16.34575272863988
TMEM45B,9.647379371847373
TMSB10,71.25774531699396
TP53,44.41625309470425
TPM2,23.2413222144676
TRAC,7.632660409720359
TRDC,27.08598824064596
TSPAN1,11.626544821778328
TTC6,10.433040683566537
TTYH1,54.49862285337443
TYMS,26.653060909415398
UBE2C,37.28031310634344
UBE2T,28.06732981116014
VIM,49.1124835216633
VSIR,28.541149271377755
XBP1,53.94672493299831
XCL1,24.480715953913172
ZEB1,25.316361542580566
ZNF571,49.31980596766328
