target,imp
ACTA2,272.78368184305623
ACTG2,278.21598329040074
ACTR3B,187.51749671581348
ADGRL4,275.4316182242345
AGR2,267.3324022737263
AHR,235.87361091256366
AIF1,260.3664102638174
AKT1,257.778006333472
ALDH1A3,238.41009764851657
ANLN,173.3887885384963
AP1M2,248.63972825820784
APOC1,265.1618310780028
APOE,265.7012966604383
AR,315.7871930948614
AURKA,212.22629089754346
AZGP1,204.75156372362912
B2M,191.7664988603884
BAG1,214.52902022688224
BANK1,285.61461893942464
BCL2,179.26475055761387
BGN,243.2554815943314
BICC1,295.7608156555824
BIRC5,239.14116662558706
BLVRA,279.67024932899716
BRAF,300.35988254150584
C1QA,264.26648960316396
C1QB,266.1584219123837
CALCRL,254.01126477824045
CAPN13,289.6873627479778
CCL2,295.4329383821121
CCL3,285.2067320568959
CCL4,291.7520816100668
CCL5,267.15579002245386
CCNB1,182.74039311308172
CCND1,150.78478659206078
CCNE1,269.40616884096073
CCNE2,236.7192488647241
CD14,273.31410038598625
CD163,261.7023238947673
CD19,265.40394050700115
CD2,228.60118947069847
CD24,172.93927683333317
CD274,288.73152798037216
CD34,265.00910574714777
CD36,276.0684501064116
CD38,256.7057262905083
CD3D,257.5465458250049
CD3E,277.559584800743
CD3G,277.3107615178642
CD4,203.94384870241643
CD40,246.29407742719707
CD40LG,279.4492069718841
CD44,162.41453043854227
CD5,278.7290453626286
CD63,214.60710894106035
CD68,284.3096419631113
CD69,310.6435015438678
CD7,274.24880712015494
CD74,225.9580618381847
CD79A,254.1473896765532
CD79B,261.7396247609342
CD8A,242.38444769138195
CD9,211.59452370253746
CD96,282.34448291187687
CDC20,246.79389123144583
CDC6,245.86350153328883
CDH1,179.39611761523366
CDH11,292.0025518824383
CDH3,267.34733897238596
CDK4,222.6216942320356
CDK6,250.84693109723085
CDK7,219.84295934933908
CDKN2A,298.5934390076057
CEACAM1,227.37985064262458
CENPF,183.50091438911986
CEP55,232.81771862561902
CLDN4,290.1833563996581
CLU,292.4096611461445
COBL,241.5709332895936
COL1A1,261.2982834358504
COL1A2,302.84852022114427
COL3A1,250.58161623097527
COL4A1,265.26988255489744
COL4A2,235.8988578431212
COL4A5,167.90519580893172
CR2,278.0470809372536
CRABP2,264.27959255866193
CSRP2,202.98877248727004
CST3,237.14926325995654
CSTB,288.58984692074813
CTCF,200.34171570212337
CTLA4,260.8672202965796
CXCR5,293.4354594472601
CXXC5,272.51860122342356
DCN,245.0738668665698
DERL3,283.42654472194675
EFNA5,185.6580701313595
EGFR,210.68054120470242
EIF3E,162.54130760469795
ELF5,182.33701154146027
EPCAM,166.65753363067074
ERBB2,281.85490836236073
ERBB3,161.3800869683673
ERBB4,289.54235194002825
ESR1,262.1330869315197
FABP7,264.31943436674123
FAP,293.290660468241
FASN,196.5583318290189
FAT1,218.35681917135167
FCGR3A,241.69658224479525
FCN1,298.07841653567664
FCRL5,302.0110228615688
FGFR1,239.11409880009145
FGFR2,187.16289023091704
FGFR4,254.00092053889392
FN1,250.1146499229514
FOS,278.60946320138396
FOXA1,300.42160103035457
FOXC1,158.62904692336434
FOXP3,252.92187847421286
FXYD3,272.5679278925624
GATA3,266.6362457464727
GNG11,283.8168196707062
GNLY,248.5408536271482
GPNMB,271.3871881640478
GPR160,217.91862873661455
GRB7,315.200367710264
GSN,251.97338189936858
GZMB,257.457406087886
HIF1A,207.633104271263
HLA.A,275.12468975579856
HLA.B,225.07040782000502
HLA.C,272.4475365099017
HLA.DPA1,263.3116020386315
HLA.DRA,249.26507252207261
HLA.DRB1,293.58481872206175
HLA.DRB5,304.20557998943576
HLA.E,193.59657933185983
HSPB1,256.02652709386246
HSPG2,287.1286982384554
ICAM1,265.42875985456163
ICOS,258.2767382111057
IFITM3,228.00918896525462
IGF1R,256.04239648682204
IGFBP5,277.43874418884883
IL2RA,228.22649909024537
IL32,295.0188723556286
IL3RA,308.5582382093229
IL7R,265.0738214089839
ISG15,226.92240087345593
ISG20,231.28788555924777
ITGA6,175.06512202746188
ITGAX,243.91896051975516
JUN,216.6248691250744
JUNB,221.3849573113409
KIF23,204.20767573672882
KIT,179.86237223810593
KRAS,189.46851858603245
KRT10,247.62248335792935
KRT14,290.26802981596
KRT15,279.4325952737481
KRT17,254.696952946801
KRT18,203.4948233718644
KRT19,189.84003178074963
KRT5,228.14161251213963
KRT7,194.04204317271717
KRT8,169.71661756017755
LAG3,270.31046279714593
LAMA1,152.09734611844672
LAMC1,238.4894726101575
LDB2,264.0454578677623
LGALS1,310.9575615469063
LGALS2,308.49671791651684
LGMN,192.03073277487732
LILRB1,296.3422131021837
LRP2,282.14005322575997
LST1,283.84688514018984
LTF,276.13083671170165
LUM,248.28229938824177
LYPD6B,280.83339841751007
LYZ,248.28056063251017
MAPK13,216.03334868369794
MAPK3,322.34399871178795
MDM2,216.30997419231312
MELK,201.91099496540173
MIA,257.0410012606891
MKI67,193.29770526721674
MLPH,282.07839368334504
MMP11,275.81400502175393
MMP12,267.91265035607137
MMP9,273.0210460533843
MS4A1,270.74738216700183
MSR1,228.8456995467447
MT2A,265.87289348688205
MUC1,233.6379985570989
MYB,196.993565692274
MYBL2,240.54220744889787
MYC,192.92573299621768
MYL6,206.69013213690607
MYL9,241.18927519968872
MYLK,275.31204132954605
MYO10,180.89072281275912
MYO5B,269.93703130805255
MZB1,295.78496467556454
"NAT1",257.79645496316977
NCAM1,229.84945240215274
NDC80,209.84705002711027
NDRG2,147.9405729566871
NF1,202.06222504736195
NFKBIA,242.12731287295875
NKG7,301.0683652521113
NOTCH1,141.7814740881193
NR3C1,273.71653649200647
NUF2,205.95728795075385
OBP2B,243.19887175151814
ORC6,231.68082999434628
PABPC1,124.69001373407801
PBK,230.69316893646635
PDCD1,286.99665686093937
PDPN,279.3745050061318
PDZK1IP1,261.105509597651
PECAM1,270.82017243633885
PGR,303.4985443308961
PHGDH,144.39159117447159
PI3,269.31785428156496
PIK3CA,190.7998739771617
PLEK,273.54108934787314
PLVAP,244.53414824878357
POU2AF1,282.23113690645533
PRLR,194.15028471162438
PTEN,275.6434920424719
PTPRB,307.39815367782285
PTPRC,279.8006811158377
PTTG1,248.11230580797994
RAMP2,263.00793809113003
RB1,190.57518475906076
RPL13,218.23516433887505
RPL18,241.2620509432136
RPSA,156.31732978031258
RRM2,214.47566069819078
S100A14,266.40511698989076
S100A4,280.49410639290875
S100A8,303.8866243812648
S100A9,282.9048969586705
SDC1,199.91371226344378
SFRP1,218.08268207520126
SIAH2,208.76226906456833
SKAP1,272.1762021396073
SLC2A1,266.22121097374367
SLC39A6,242.98268777332345
SLPI,273.48426916789583
SNAI2,229.50145652647373
SOX10,173.3100131056581
SOX18,281.94746039997995
SOX4,144.28595241916412
SPDEF,210.4007794682611
SPP1,283.4862179688858
STAT5A,288.6495460927551
STMN1,180.08215269091582
SULF1,321.87048122907464
TAGLN,279.12136952373424
TBX21,277.6826327612207
TCF4,266.7189990438925
TCL1A,251.9380649956017
TFEC,241.59684799042273
TFF1,265.78642254564494
TFF2,302.52331243330644
TFF3,265.15359367635614
TFRC,204.04728269963735
THEMIS,311.28544367814675
THY1,301.2200701144252
TIMP1,268.1554474345116
TMEM45B,290.84600072365436
TMSB10,160.1768134465696
TP53,182.9811675466099
TPM2,280.02232206479346
TRAC,276.7425810981547
TRDC,282.85218718917224
TSPAN1,260.4521281028135
TTC6,337.3229555030162
TTYH1,159.84292834937386
TYMS,208.15842716814842
UBE2C,256.36006897338024
UBE2T,196.23769577563147
VIM,224.6391723434668
VSIR,276.7337348227822
XBP1,151.29888278306575
XCL1,245.38942245736308
ZEB1,245.63438520025412
ZNF571,201.62309984846138
