target,imp
ACTA2,6.024453455114863
ACTG2,3.405508756551173
ACTR3B,2.1303928797999383
ADGRL4,3.163865059081142
AGR2,3.501375479184972
AHR,3.3733422955830115
AIF1,3.0509851171477127
AKT1,2.659574279226526
ALDH1A3,4.663772678097287
ANLN,2.4049582827055973
AP1M2,3.0429374209602793
APOC1,3.601083004401085
APOE,3.074775700655519
AR,4.527338814364633
AURKA,2.3388397293289387
AZGP1,3.668498420603433
B2M,2.7974910394396284
BAG1,2.288024388367504
BANK1,3.456296946200771
BCL2,1.976407357151886
BGN,4.798567621355723
BICC1,3.616862964786082
BIRC5,3.6548238506672313
BLVRA,2.870242525664692
BRAF,3.3771387549829934
C1QA,2.43992257450928
C1QB,3.121962832833707
CALCRL,3.8317525930801923
CAPN13,3.8310083722623562
CCL2,4.690946759563696
CCL3,3.2161129721036668
CCL4,3.597520731597142
CCL5,3.2214760321568496
CCNB1,2.581935585427662
CCND1,2.014614816904224
CCNE1,3.0188193905064935
CCNE2,2.4992326793044546
CD14,3.9232966515629553
CD163,3.154459294346012
CD19,4.198898744684934
CD2,3.584757859735685
CD24,1.6865754036137717
CD274,3.278613545767485
CD34,4.197882530484897
CD36,4.5696696371997545
CD38,3.635810144685172
CD3D,2.954554195321791
CD3E,3.68367639239014
CD3G,2.9846256344784554
CD4,3.392948624431048
CD40,3.778586236397519
CD40LG,4.938324227680771
CD44,2.234152550299399
CD5,4.532220999186896
CD63,2.794818735998173
CD68,5.542868286896478
CD69,3.02219059275424
CD7,4.0905773256809885
CD74,2.873711716332453
CD79A,3.3620325283790478
CD79B,3.552706217855818
CD8A,3.0025350186953643
CD9,2.559705043943217
CD96,3.558037278710759
CDC20,3.132412238563567
CDC6,3.171411107658536
CDH1,2.4495567613776092
CDH11,3.393869758368759
CDH3,3.415294327189315
CDK4,2.8232395055001067
CDK6,3.682503679298337
CDK7,3.32762633622572
CDKN2A,3.13993428472842
CEACAM1,2.4390322478688504
CENPF,2.548832676385872
CEP55,2.6981705284716275
CLDN4,3.4759385975114423
CLU,3.7075742474104953
COBL,3.6029215013527365
COL1A1,3.73573387932209
COL1A2,3.2527517830346984
COL3A1,3.741685725745521
COL4A1,3.00568532344615
COL4A2,2.8045000393299677
