target,imp
ACTA2,1.7404637924151916
ACTG2,2.143418414496042
ACTR3B,1.29399284578852
ADGRL4,1.9539391578866816
AGR2,2.0618418174767204
AHR,1.9432821803478493
AIF1,2.695344994572575
AKT1,1.3462138281566698
ALDH1A3,1.6964727672307063
ANLN,1.3595443557288127
AP1M2,1.5451487436748996
APOC1,1.6778415196954808
APOE,2.2320495645911045
AR,1.8580509420761897
AURKA,1.415300308019751
AZGP1,1.220320531387554
B2M,1.0436448096545348
BAG1,1.321687895839471
BANK1,2.2231221166531148
BCL2,1.1889581343238251
BGN,1.3447649889056164
BICC1,1.4604613722625792
BIRC5,1.3627121746777293
BLVRA,1.8608741654641912
BRAF,1.525599599860962
C1QA,2.275737053814117
C1QB,1.4809043138062032
CALCRL,1.5998753291388903
CAPN13,1.0624157244378316
CCL2,1.6950418360501078
CCL3,1.7400305013493003
CCL4,2.492847989667942
CCL5,1.7275624083841385
CCNB1,1.0083128603316507
CCND1,0.9779426483078498
CCNE1,1.90765835685156
CCNE2,1.4430720609099268
CD14,1.7144662784186684
CD163,1.274749656541701
CD19,1.654429311166043
CD2,1.2933528153126712
CD24,1.099508941026574
CD274,2.4479835950825803
CD34,1.8975327581435892
CD36,2.223992432451289
CD38,1.6888398745757016
CD3D,1.7848547822455259
CD3E,1.5435184312050043
CD3G,1.2818837528287739
CD4,1.5896128170559782
CD40,1.5846440922723888
CD40LG,2.178546079682955
CD44,1.3300029636800448
CD5,2.814171312022252
CD63,1.509136646972736
CD68,1.351695164066517
CD69,2.330223349708661
CD7,1.4819516782781776
CD74,1.420265497133331
CD79A,2.433470215727666
CD79B,2.710202945536774
CD8A,1.750525292368894
CD9,1.425335851717169
CD96,1.420557239972701
CDC20,1.3991582948548225
CDC6,1.2222729757930992
CDH1,1.045561168161999
CDH11,1.3042510466845718
CDH3,2.207416645838594
CDK4,1.356320790379287
CDK6,1.7430735136745406
CDK7,1.6743589554252094
CDKN2A,2.842073316559505
CEACAM1,1.4349816871549623
CENPF,1.237039513812884
CEP55,1.105141554184612
CLDN4,2.045840582625483
CLU,1.6155802721698747
COBL,1.5346256596653824
COL1A1,1.7810220746584537
COL1A2,1.611273236236482
COL3A1,1.3701680849303062
COL4A1,1.3610556682510089
COL4A2,1.5238709513327118
COL4A5,1.633043617308383
CR2,1.3169872778847627
CRABP2,2.7096397929091647
CSRP2,1.4475884481876995
CST3,2.0527963784186287
CSTB,1.8461872754860256
CTCF,1.0399465292141297
CTLA4,1.2607531465061717
CTSL,1.112164529363826
CXCR5,1.4593361571370167
CXXC5,1.5156984336189239
DCN,2.0353553284233796
DERL3,1.5856149110669782
EFNA5,1.3194572360213999
EGFR,2.1445535146241896
EIF3E,1.551094124919157
ELF5,1.3448591168831663
EPCAM,1.1257899532133955
ERBB2,1.4025426370903
ERBB3,0.9552155688965233
ERBB4,1.7819920276506849
ESR1,2.011290745386846
FABP7,1.2698504056354003
FAP,1.3879208254827835
FASN,1.2173074983769159
FAT1,1.2547261935139797
FCGR3A,1.770103956835138
FCN1,2.1469847094432346
FCRL5,1.654401084813078
FGFR1,1.7778981031933312
FGFR2,1.4258618048456377
FGFR4,1.7970850375261067
FN1,1.6817273147768257
FOS,1.186679961595873
FOXA1,1.59607285103555
FOXC1,0.9956387142725095
FOXP3,2.029214606719041
FXYD3,1.6535072532015036
GATA3,2.164139561763985
GNG11,1.4153429004406355
GNLY,2.2177931539014137
