target,imp
IL18,0.06374941623232494
SEMA3F,0.13037804822616225
RARRES2,0.019487809266103127
NRG4,0.03915736174160303
INHBB,0.020178536439406005
WNT4,0.0623513986013986
EDA,0.0521935527187894
WNT5A,0.07478771761305494
PTN,0.09241628209500366
CXCL12,0.0614197016071079
GDF9,0.0499442575534525
GDF11,0.02668360196171006
HBEGF,0.04012301035266911
APLN,0.09141240432416903
CX3CL1,0.07802244182888318
FGF13,0.02775284090909091
PDGFA,0.11743353820809103
TGFB3,0.10310815810965604
FGF9,0.13845546652483087
PTHLH,0.04787201899609941
WNT11,0.1062428366657796
NRG1,0.03767311679903538
TGFB2,0.031023968762624556
EDN2,0.028307982682301544
CXCL13,0.048329158039498006
PGF,0.11031822563229815
NRTN,0.16454491152065043
IL16,0.11631458409619203
WNT3,0.0574071971023026
INHBA,0.14516021411669458
GHRL,0.08072893836973355
CCL8,0.10503560996496879
CCL28,0.08606835703118097
MDK,0.15757266656596217
BMP2,0.07036707573364344
BTC,0.1157603464322646
IGF1,0.2436274390908242
GAS6,0.052617715617715624
FGF19,0.07071050349306718
MST1,0.022333333333333334
CCL5,0.1030326008263393
AMH,0.043817679144806936
GDF5,0.05043542088271979
PDGFC,0.04633519578330104
ADM,0.10146387178017564
FGF2,0.09353475357865798
NTF3,0.11696688015993065
TGFA,0.10886033041916128
GNRH1,0.14353634782168062
TGFB1,0.11165255540827967
CXCL9,0.06436284901887873
BMP6,0.012410926074140724
NRG3,0.061982431915735
NRG2,0.0374686324509499
KITLG,0.06919357191562629
VEGFA,0.12282493880176551
BMP7,0.058637696979171594
HGF,0.1757238030838468
ANXA1,0.03753735762074012
TNFSF13B,0.062340879185629874
PSPN,0.03236926572303052
CCL2,0.03659998574924911
TNF,0.03600195333993617
VEGFB,0.0196751050869426
POMC,0.023764604793591455
NMB,0.06321156773211568
ARTN,0.027559170721231107
