target,imp
IL18,0.04892409268432215
SEMA3F,0.06797539019146201
RARRES2,0.02563021980163292
NRG4,0.009237516869095817
INHBB,0.07020380312048109
WNT4,0.21898179894286451
EDA,0.04141245738792243
WNT5A,0.0467675983436853
PTN,0.13674102444070993
CXCL12,0.040289519906323186
GDF9,0.0334931285648361
GDF11,0.022127133972192178
HBEGF,0.07384160604480935
APLN,0.03254926082268881
CX3CL1,0.057829287920091066
FGF13,0.13033509668525609
PDGFA,0.059989177489177495
TGFB3,0.07885767383740344
FGF9,0.116025922409133
PTHLH,0.23895845695579465
WNT11,0.056401572059263196
NRG1,0.036172814663465266
TGFB2,0.013992673992673992
EDN2,0.0029379990808133167
CXCL13,0.02906123820127454
PGF,0.007777692937398742
NRTN,0.04025749491682559
IL16,0.10610755932439057
WNT3,0.04698797897985408
INHBA,0.054932328300175554
GHRL,0.10139780285243662
CCL8,0.037214787526719036
CCL28,0.05407947700541229
MDK,0.0592651592382672
BMP2,0.037040665406895004
BTC,0.06735395195138161
IGF1,0.025950339522258465
GAS6,0.009940119760479042
FGF19,0.029900000000000003
MST1,0.02
CCL5,0.075537081167533
AMH,0.006791168538421286
GDF5,6.2687236312963e-4
PDGFC,0.08111565351551693
ADM,0.019827091343615755
FGF2,0.02034466646381611
NTF3,0.0274330620033694
TGFA,0.045487417731320166
GNRH1,0.039456568425074806
TGFB1,6.543065693430656e-4
CXCL9,0.042088310895299096
BMP6,0.00875
NRG3,0.08856370821490545
NRG2,0.03253320561997282
KITLG,0.01013864764063292
VEGFA,0.024003074804074015
BMP7,0.03645355858612148
HGF,0.009462087912087911
ANXA1,0.009729729729729731
TNFSF13B,0.020486189177820174
PSPN,0.02955099312452254
CCL2,0.06022796945245816
TNF,0.029208999769724332
VEGFB,0.015555555555555555
POMC,0.07082245518637646
NMB,0.02633031138197487
ARTN,0.006813907386285963
