target,imp
ACTA2,159.98030761919404
ACTG2,202.8581738730337
ACTR3B,156.29901211577172
ADGRL4,213.96691384617333
AGR2,211.52161021455285
AHR,203.43715677153065
AIF1,223.60510295932147
AKT1,170.58489298103896
ALDH1A3,219.41125846617612
ANLN,176.2373555003643
AP1M2,186.31903816768641
APOC1,179.07376630046895
APOE,189.16546496678222
AR,141.58772999960058
AURKA,171.582586965572
AZGP1,206.31161551647503
B2M,124.29363087880823
BAG1,157.16136857982238
BANK1,198.10907022519808
BCL2,159.7747379730756
BGN,149.32756770091652
BICC1,227.24748204561143
BIRC5,233.11083298008444
BLVRA,168.1378812511043
BRAF,167.7937925987349
C1QA,160.49437347664963
C1QB,183.57173869849856
CALCRL,185.61369212176223
CAPN13,206.5467230340154
CCL2,237.54744210809417
CCL3,174.0704991699087
CCL4,223.47864240957998
CCL5,200.39547815005997
CCNB1,179.2972659554436
CCND1,118.38145905460675
CCNE1,202.39385896984754
CCNE2,211.77424395101065
CD14,177.47640752827064
CD163,217.8850081337647
CD19,238.97154769316333
CD2,198.37275188710856
CD24,132.21067548894553
CD274,191.84937222645084
CD34,194.43868194328468
CD36,198.84812300511467
CD38,188.90436922250257
CD3D,229.41531215986848
CD3E,232.52320042585544
CD3G,214.75163970165065
CD4,186.57282931465673
CD40,213.62708550034327
CD40LG,229.57881271048393
CD44,206.64494533735748
CD5,240.0863158664701
CD63,132.5093819252169
CD68,200.78274062537122
CD69,221.64386596441494
CD7,239.27932921503435
CD74,147.06682657519497
CD79A,202.07019043843277
CD79B,250.6238626658787
CD8A,197.10733955399104
CD9,176.52059098734082
CD96,230.17715896699704
CDC20,193.06844633393357
CDC6,200.10696267429321
CDH1,130.9906526211911
CDH11,166.80756354557624
CDH3,242.03298526525202
CDK4,152.08157097738237
CDK6,201.56239654147
CDK7,173.68220224187564
CDKN2A,164.85290361395374
CEACAM1,152.40160809733695
CENPF,149.4354091552023
CEP55,204.36312535121803
CLDN4,201.0533536662778
CLU,163.13973116841302
COBL,231.6896547120501
COL1A1,213.64173477452977
COL1A2,180.38720507680256
COL3A1,182.18314431877204
COL4A1,146.51080056179154
COL4A2,134.08133566350082
COL4A5,169.79090772392473
CR2,241.81093763659376
CRABP2,210.4981997037048
CSRP2,176.99866723440664
CST3,159.87611439338986
CSTB,168.65928572631518
CTCF,123.83727909168476
CTLA4,250.79175208579628
CTSL,197.0415439132549
CXCR5,182.9285475194195
CXXC5,170.76561340530446
DCN,244.4704828340816
DERL3,209.40138680062634
EFNA5,203.76368388804204
EGFR,169.36560039459735
EIF3E,192.85939707695397
ELF5,200.4795844618401
EPCAM,124.39656681913038
ERBB2,212.658014247978
ERBB3,222.00651352186108
ERBB4,247.433218731023
ESR1,197.73988989223054
FABP7,214.10364237670555
FAP,226.14084091707122
FASN,125.65789506232933
FAT1,190.60497990767868
FCGR3A,210.33794626990633
FCN1,221.90360998926124
FCRL5,266.36645569250186
FGFR1,117.26550130608716
FGFR2,227.50728422585135
FGFR4,199.04949900039443
FN1,155.9080127633433
FOS,245.58869047566853
FOXA1,115.72439090112006
FOXC1,185.20862373949137
FOXP3,179.3932538037423
FXYD3,167.86864290537216
GATA3,114.42157128775702
GNG11,204.0394520665502
GNLY,229.14625313012635
GPNMB,224.51590878101334
GPR160,211.75209315664563
GRB7,254.94128645104342
GSN,200.8436902142697
GZMB,212.81278302561932
HIF1A,151.58931340122507
HLA.A,158.22574507675367
HLA.B,125.42940669225936
HLA.C,169.9814751955613
HLA.DPA1,204.89301385279654
HLA.DRA,177.08708601577095
HLA.DRB1,133.61267015691158
HLA.DRB5,198.30536146503414
HLA.E,115.63829632689841
HSPB1,135.97423010011804
ICAM1,194.2195450505876
ICOS,210.23548575045857
IFITM3,171.87622030392203
IGF1R,156.56829479064513
IGFBP5,159.427458675078
IL2RA,264.4113205315105
IL32,248.8246476448454
IL3RA,223.3252662535884
IL7R,201.58113350516015
ISG15,145.547712190271
ISG20,216.75897393217033
ITGA6,171.94244042382317
ITGAX,229.8918802422157
JUN,113.03921150372668
JUNB,155.051756193704
KIF23,181.33955076507445
KIT,183.93369715733905
KRAS,227.34475064995206
KRT10,195.3346069248164
KRT14,238.27723306554697
KRT15,172.1988528250558
KRT17,263.5696078967192
KRT18,137.76475447277878
KRT19,105.87801304955546
KRT5,217.90016551815435
KRT7,262.96851905259325
KRT8,146.70631912768278
LAG3,180.6514690162559
LAMA1,198.0097349693226
LAMC1,167.8852868079767
LDB2,167.89427840309662
LGALS1,142.34966757999507
LGALS2,209.51794127571262
LGMN,152.17448208382467
LILRB1,184.94940158915244
LRP2,168.17739562526268
LST1,220.16064637604075
LTF,198.7784515911545
LUM,212.82130952038312
LYPD6B,214.16134948491015
LYZ,195.42224852068063
MAPK13,128.6929737573536
MAPK3,210.63837379615364
MDM2,207.1791504533082
MELK,157.32609313145977
MIA,231.03354246373678
MKI67,207.08995719234588
MLPH,165.60333295487487
MMP11,197.92792831542346
MMP12,217.28090442464548
MMP9,186.54499388670752
MS4A1,179.355349974796
MSR1,184.19090263153376
MT2A,220.23261325871533
MUC1,163.98177556454127
MYB,205.28753344542383
MYBL2,188.29339543644264
MYC,176.7522079530001
MYL6,157.3794800820451
MYL9,152.62980202182453
MYLK,143.88084404436228
MYO10,168.54827624936232
MYO5B,178.34546483320332
MZB1,233.74243175404928
"NAT1",264.85961893289846
NCAM1,133.3445039124135
NDC80,161.36417709165156
NDRG2,157.84462531227388
NF1,160.50841292805848
NFKBIA,191.658401848549
NKG7,198.2299693846482
NOTCH1,189.7691636544447
NR3C1,201.33900912103144
NUF2,195.7982716254532
OBP2B,196.50992089959135
ORC6,215.71201991376765
PABPC1,132.13088471415077
PBK,219.188204373661
PDCD1,187.10811311688445
PDPN,252.8503878578988
PDZK1IP1,163.73023737837528
PECAM1,208.69551640398564
PGR,162.87868992034535
PHGDH,275.5954653855563
PI3,199.4860242123522
PIK3CA,202.73128275773604
PLEK,181.19363721645914
PLVAP,175.77914999781976
POU2AF1,198.1816202034992
PRLR,163.8313077962437
PTEN,200.77270168644992
PTPRB,243.99691892712013
PTPRC,184.39040941539156
PTTG1,168.47410871743836
RAMP2,217.84493258788973
RB1,162.2496465874372
RPL13,173.24701642241288
RPL18,249.68228861748182
RPSA,131.1826822047036
RRM2,183.457443921492
S100A14,231.4051011900261
S100A4,202.33806567246668
S100A8,210.3603619954858
S100A9,173.0223451939279
SDC1,186.6214137469164
SFRP1,222.01412109433645
SIAH2,221.25252717258493
SKAP1,162.11347886337217
SLC2A1,200.4763354003513
SLC39A6,138.57004449488534
SLPI,211.2503815847583
SNAI2,235.12435113862574
SOX10,237.09278743897184
SOX18,188.53945226093128
SOX4,159.74363940780677
SPDEF,148.97881570678447
SPP1,211.23330698505836
STAT5A,222.88029106589588
STMN1,150.00690986916763
SULF1,177.19145638073928
TAGLN,221.30227597924429
TBX21,193.45686407139928
TCF4,209.7074414429304
TCL1A,207.3323940562016
TFEC,204.95101241084262
TFF1,234.11335873311273
TFF2,254.08610358885585
TFF3,221.11556166496328
TFRC,191.13412368686707
THEMIS,204.30425061331775
THY1,212.6723411014519
TIMP1,187.52031740653706
TMEM45B,197.21517831322956
TMSB10,172.5253244498429
TP53,152.56390799036714
TPM2,162.49341112006132
TRAC,220.48449647515
TRDC,211.27703852330364
TSPAN1,213.58886595639655
TTC6,137.49440319214827
TTYH1,187.31575466076026
TYMS,193.36570271426842
UBE2C,213.14345233681587
UBE2T,148.17213954709445
VIM,142.97882141672267
VSIR,186.11879350133833
XBP1,159.07218712075684
XCL1,275.7999825909086
ZEB1,185.07700333291098
ZNF571,205.1133451911592
