target,imp
ACTA2,42.29272091734982
ACTG2,28.552672243876778
ACTR3B,30.371312866456275
ADGRL4,33.46497943545104
AGR2,16.170914448221648
AHR,29.296670344645364
AIF1,34.06049026925301
AKT1,20.336151121362306
ALDH1A3,35.35989879971336
ANLN,27.090375601577875
AP1M2,60.22557438405207
APOC1,26.792093566475568
APOE,42.76023633581515
AR,16.380679519318704
AURKA,37.31713410316633
AZGP1,31.13602882464373
B2M,58.07702735181924
BAG1,48.47590546013616
BANK1,17.2813208119654
BCL2,58.20002461562786
BGN,82.29751871326393
BICC1,19.259628955643915
BIRC5,19.80315794741184
BLVRA,39.9792232129082
BRAF,48.112451802050934
C1QA,30.375253140073188
C1QB,61.86886776367576
CALCRL,19.408849984703288
CAPN13,17.221474751331115
CCL2,25.957871495372626
CCL3,36.95725363169193
CCL4,25.97293624305265
CCL5,32.56890806355892
CCNB1,29.51978259697871
CCND1,56.55072372384142
CCNE1,20.032907290519425
CCNE2,11.72183485509219
CD14,26.993932688770077
CD163,23.694054606720133
CD19,30.899916264292532
CD2,76.68337677449333
CD24,49.11857277268661
CD274,14.195556408354005
CD34,30.807789263289987
CD36,40.18027528108778
CD38,13.842545669347949
CD3D,24.568628746253808
CD3E,61.730616332810925
CD3G,21.26543913018367
CD4,18.616320999411858
CD40,20.223417905264483
CD40LG,26.58703878199741
CD44,12.737133411421164
CD5,22.303415919154595
CD63,46.680595968341
CD68,27.688731823932184
CD69,24.917936177071006
CD7,22.45354804076513
CD74,48.31495153755184
CD79A,22.829710554165718
CD79B,8.821220375587385
CD8A,51.40250111508275
CD9,17.528739174692372
CD96,44.21005466631768
CDC20,26.453978313444132
CDC6,24.415632883264472
CDH1,32.33661272766086
CDH11,20.15173625862866
CDH3,12.158852797010054
CDK4,34.89310787115425
CDK6,46.90231612170195
CDK7,46.92426183652616
CDKN2A,31.51605922882676
CEACAM1,27.11810276324036
CENPF,44.79885892662843
CEP55,26.630100213680016
CLDN4,22.138326821109995
CLU,31.347935249370824
COBL,13.111996405519744
COL1A1,33.673964575562515
COL1A2,39.76348697149063
COL3A1,36.959071527625184
COL4A1,60.04056650812181
COL4A2,45.593507519986886
COL4A5,29.46633639838865
CR2,15.883803577415076
CRABP2,32.619503275043826
CSRP2,48.37041831687965
CST3,33.064528121723484
CSTB,25.413721191870746
