target,imp
ACTA2,74.38285413870926
ACTG2,54.12208507153084
ACTR3B,65.47836069038904
ADGRL4,41.833780961283345
AGR2,19.745854095333936
AHR,33.8888167499586
AIF1,41.020754165634024
AKT1,63.63381797614429
ALDH1A3,57.49734999146994
ANLN,70.950356270837
AP1M2,43.73320910929482
APOC1,43.64588346344219
APOE,61.668637392743285
AR,66.35501934248448
AURKA,43.279389019646985
AZGP1,21.99106307881414
B2M,117.91812717734047
BAG1,81.12204936501455
BANK1,45.489327789021715
BCL2,59.08398897987567
BGN,88.20953140142893
BICC1,17.629684261270878
BIRC5,28.693092791902917
BLVRA,59.77435819676274
BRAF,41.336128202253185
C1QA,56.68960446352679
C1QB,59.909135004472155
CALCRL,48.769562256828806
CAPN13,29.956841301182013
CCL2,28.94464733329712
CCL3,64.16264281128242
CCL4,44.23063276189965
CCL5,41.67818638757216
CCNB1,50.811403952488675
CCND1,102.25277443637448
CCNE1,70.35263699001577
CCNE2,23.905206258474678
CD14,64.54890415803585
CD163,57.734174087025764
CD19,46.532876832330956
CD2,37.395166757533026
CD24,94.36176098962984
CD274,34.040271055915525
CD34,60.98558674839555
CD36,71.69141296250002
CD38,26.971033948644596
CD3D,27.32841094134091
CD3E,40.98882388120066
CD3G,37.637976608794936
CD4,55.76219238301661
CD40,50.283856126098506
CD40LG,22.59157394040977
CD44,14.059329816041254
CD5,39.731428948827755
CD63,73.15672436102132
CD68,43.173740501871336
CD69,24.51269012668546
CD7,31.528837012366445
CD74,94.821288900228
CD79A,20.517058933697523
CD79B,28.62574860451119
CD8A,23.81761389558303
CD9,51.83928034345532
CD96,46.80860870914846
CDC20,50.942689548906685
CDC6,28.73617476980871
CDH1,71.39923921519716
CDH11,47.21110613658662
CDH3,52.81745737410614
CDK4,61.942237672252205
CDK6,32.31822522060688
CDK7,78.3876505509098
CDKN2A,51.485985397065306
CEACAM1,46.88499750237464
CENPF,54.30264657700911
CEP55,81.17871215031774
CLDN4,31.43989965314024
CLU,53.679083986995245
COBL,36.27708368523608
COL1A1,77.29187443866392
COL1A2,68.27568157817653
COL3A1,63.5247468510556
COL4A1,88.32058334385401
COL4A2,78.75310284287634
COL4A5,57.04537248150438
CR2,29.427134173054046
CRABP2,26.82592998226822
CSRP2,70.81285205597676
CST3,76.73283423486505
CSTB,40.62070673538265
CTCF,106.8565278484406
CTLA4,27.43571867474515
CTSL,41.29779478880557
CXCR5,29.554189902351553
