target,imp
ACTA2,363.6638791565811
ACTG2,299.9049093887157
ACTR3B,290.4973941601348
ADGRL4,197.84041346780043
AGR2,141.6163148830344
AHR,205.7315091133122
AIF1,195.16887840955772
AKT1,316.12325850907854
ALDH1A3,240.73508572541624
ANLN,275.12702875297896
AP1M2,223.0675141653805
APOC1,235.32835329368191
APOE,253.8211945389593
AR,281.582045778821
AURKA,280.82833070810807
AZGP1,96.21728901946068
B2M,540.2417798389806
BAG1,474.8555460845316
BANK1,188.19006678263926
BCL2,344.22594511356124
BGN,492.5523905991145
BICC1,121.90605038966571
BIRC5,124.39007536362911
BLVRA,360.26378122299917
BRAF,264.07298132266453
C1QA,306.7271412323855
C1QB,349.0534661284185
CALCRL,301.6241247076372
CAPN13,231.22589560137163
CCL2,87.88399584177249
CCL3,293.19664418944046
CCL4,214.38019301105268
CCL5,167.07761907121068
CCNB1,340.45288785508035
CCND1,516.7560331144074
CCNE1,205.34313247279653
CCNE2,140.43830924976794
CD14,177.03414754892773
CD163,297.1513665848202
CD19,184.78419653580494
CD2,185.9740823145772
CD24,477.6653670734452
CD274,201.56228450229315
CD34,333.69914035429446
CD36,332.84672187106344
CD38,168.53199057729464
CD3D,136.3431018700552
CD3E,120.19631995505188
CD3G,181.99951350665324
CD4,237.32424426078381
CD40,222.3630806509922
CD40LG,155.68298330647883
CD44,263.41337614066447
CD5,74.97239179565715
CD63,452.58767986506433
CD68,117.94163561891361
CD69,213.1899572070029
CD7,198.62235305493104
CD74,524.4062347453762
CD79A,120.6587441928698
CD79B,103.17550750246264
CD8A,158.56643628754725
CD9,156.7175224943924
CD96,136.87275399781484
CDC20,258.23668035712234
CDC6,251.5422221220927
CDH1,385.4179855273971
CDH11,235.10081106678624
CDH3,115.35802795149677
CDK4,342.47795795368097
CDK6,174.27689158502253
CDK7,271.32812340642135
CDKN2A,305.6043431318013
CEACAM1,276.99183119460713
CENPF,341.2303717502013
CEP55,261.1008664011177
CLDN4,200.12438185264023
CLU,286.405168949692
COBL,214.06176840516997
COL1A1,366.53897143192916
COL1A2,419.6910795960176
COL3A1,437.3044594068582
COL4A1,422.54582722731607
COL4A2,467.1977407402563
COL4A5,192.17396861416918
CR2,135.40604034527018
CRABP2,118.6133699676386
CSRP2,311.743714836017
CST3,328.8327761190833
CSTB,161.4405188310168
CTCF,551.1064794128197
CTLA4,172.26593885327915
CTSL,247.5875070573951
CXCR5,125.113173398273
CXXC5,223.3639547770078
DCN,145.00308010220883
DERL3,142.735780711783
EFNA5,241.2639477830258
EGFR,340.3621335099608
EIF3E,363.17697229600793
ELF5,140.99511095265996
EPCAM,419.046122647575
ERBB2,277.37884345681994
ERBB3,94.13211743152337
ERBB4,217.35827575511473
ESR1,94.65464867204719
FABP7,235.24585905954478
FAP,109.34500993683791
FASN,466.0364866333684
FAT1,307.16307701151584
FCGR3A,401.6604371531294
FCN1,169.5361986675039
FCRL5,159.8712767284802
FGFR1,428.307056767595
FGFR2,102.73512127778481
FGFR4,198.72235623456555
FN1,451.2200627257815
FOS,245.5780014630587
FOXA1,543.1816254446292
FOXC1,365.3846301466169
FOXP3,190.86968861267465
FXYD3,296.20484401392594
GATA3,452.8717479826506
GNG11,217.04701251102287
GNLY,124.79631856903485
GPNMB,177.8789262608604
GPR160,209.27205146512802
GRB7,193.59917049711774
GSN,173.06058150458387
GZMB,139.6464508574047
HIF1A,459.57986020942576
HLA.A,414.14347046112636
HLA.B,500.3360468717269
HLA.C,477.41469381671544
HLA.DPA1,302.22446937296377
HLA.DRA,452.83775813987893
HLA.DRB1,292.10716808724794
HLA.DRB5,173.35637306089342
HLA.E,463.18124682974513
HSPB1,551.5199433726061
HSPG2,187.0518811777614
ICAM1,163.50121559916386
ICOS,123.52054178488774
IFITM3,381.68724499493123
IGF1R,320.907702370086
IGFBP5,423.55269531952274
IL2RA,171.66130622744728
IL32,221.26695857273927
IL3RA,137.7113313251241
IL7R,129.7734241889978
ISG15,554.3687454874075
ISG20,265.7151976135567
ITGA6,294.3221694348498
ITGAX,163.98550356614393
JUN,532.7148757330073
JUNB,358.52886437296837
KIF23,242.2280790672261
KIT,248.41155508647518
KRAS,261.0331248692175
KRT10,160.31661795665366
