target,imp
ACTA2,769.9374090285138
ACTG2,345.3086513103343
ACTR3B,569.4034620232594
ADGRL4,393.7016154577352
AGR2,200.44328385320728
AHR,426.7157486918456
AIF1,376.7482768219462
AKT1,557.2139483098525
ALDH1A3,728.8423790233435
AP1M2,482.95718980280634
APOC1,348.44171664466404
APOE,448.44005408800825
AR,641.8549580789434
AURKA,1471.9162655258294
AZGP1,247.29515935436226
B2M,1088.228268397402
BAG1,810.1476271539706
BANK1,239.29286564570498
BCL2,697.9785679599142
BGN,875.4799122613055
BICC1,184.5719493689191
BIRC5,592.6840742869612
BLVRA,781.8713001402717
BRAF,499.5451795384113
C1QA,531.4936546976338
C1QB,584.2722695946482
CALCRL,451.4155161723517
CAPN13,379.4470035083995
CCL2,267.6821020860961
CCL3,553.4426685104173
CCL4,234.28555823745614
CCL5,286.2729601114622
CCNB1,1984.9067015089083
CCND1,922.7777470762511
CCNE1,415.37539051830396
CCNE2,634.1766715092193
CD14,283.484891779455
CD163,546.8456080961023
CD19,239.84018953134307
CD2,265.43597887954695
CD24,829.7147867786215
CD274,247.7992880824959
CD34,578.999746978254
CD36,537.9828635570051
CD38,227.45383115531433
CD3D,263.47046869183674
CD3E,284.14637996302065
CD3G,254.49840126251232
CD4,384.0435548995207
CD40,340.1475903123007
CD40LG,181.11429369080807
CD44,290.36405610970814
CD5,200.72612521845988
CD63,722.425112269329
CD68,347.1497567377534
CD69,236.0339259844365
CD7,271.67630952683504
CD74,897.531422732983
CD79A,182.3944068451266
CD79B,218.14371703693033
CD8A,395.63563499986134
CD9,334.9731654820714
CD96,220.1051508054721
CDC20,884.6440164751818
CDC6,538.3517284924902
CDH1,704.7976780823469
CDH11,369.939252148685
CDH3,222.52853633157758
CDK4,638.058862889925
CDK6,193.37168291403424
CDK7,539.1379464074071
CDKN2A,531.3183361899121
CEACAM1,551.3221713371291
CENPF,3200.5490902849897
CEP55,2098.398737653026
CLDN4,180.1085979318434
CLU,510.3010463927678
COBL,322.2092438370992
COL1A1,454.2332443880512
COL1A2,658.5951814921623
COL3A1,643.8016079326226
COL4A1,760.4580295061784
COL4A2,692.3108342936097
COL4A5,451.13642608876324
CR2,184.861673489237
CRABP2,222.76629375594766
CSRP2,558.3490753128534
CST3,577.8174097195449
CSTB,260.2647080200736
CTCF,793.9402360423587
CTLA4,147.61085295929652
CTSL,530.4920693739249
CXCR5,184.65900487310773
CXXC5,511.47387040758395
DCN,321.87411496342173
DERL3,257.06883648587177
EFNA5,285.46211433062376
EGFR,686.7089046601451
EIF3E,620.9948722864648
ELF5,317.93455503900003
EPCAM,905.8102293090328
ERBB2,322.5742725079578
ERBB3,118.47234086922808
