target,imp
ACTA2,108.80034728752017
ACTG2,129.86183046060273
ACTR3B,107.98829523975337
ADGRL4,112.3142405083573
AGR2,136.08766683355304
AHR,105.31237568605248
AIF1,132.52545849814845
AKT1,100.1590583517135
ALDH1A3,107.73828002260115
ANLN,103.3664301341285
AP1M2,87.9185787071096
APOC1,114.78594777046932
APOE,122.4751707330058
AR,109.98457495871324
AURKA,99.95219699659232
AZGP1,114.31324957245344
B2M,79.99224666790063
BAG1,99.4499428336867
BANK1,138.00111491328755
BCL2,98.03980015993275
BGN,104.54865727769487
BICC1,142.5166124239121
BIRC5,133.25703183524075
BLVRA,87.25537890163977
BRAF,112.21078662680317
C1QA,124.88355011193686
C1QB,112.55905644932969
CALCRL,138.23783448095875
CAPN13,102.34322351887849
CCL2,150.6097580279228
CCL3,92.65003122840398
CCL4,136.45546953099526
CCL5,146.76069493264544
CCNB1,98.22056309494943
CCND1,80.85314736012384
CCNE1,124.20143492350529
CCNE2,157.9000176983651
CD14,125.49619052536855
CD163,111.70910687878582
CD19,135.44499246612145
CD2,131.048184255886
CD24,97.18067238067714
CD274,137.46106503032937
CD34,96.29831435033822
CD36,112.86701050081945
CD38,153.7725940695527
CD3D,138.99953139751366
CD3E,143.23523840293427
CD3G,126.0284567873469
CD4,131.95055605963242
CD40,128.7687683046146
CD40LG,133.96027362067457
CD44,126.89401947889004
CD5,140.57481622460077
CD63,123.1894734704465
CD68,102.11253939932728
CD69,110.75132003359563
CD7,115.03746915521214
CD74,95.22983123843431
CD79A,146.3876408454707
CD79B,126.14528545875586
CD8A,149.25763117873822
CD9,125.47974166913833
CD96,134.79443459624702
CDC20,100.10132012140085
CDC6,100.28581927137311
CDH1,82.27083637647415
CDH11,127.85030166451696
CDH3,159.45168962959534
CDK4,103.53537790138893
CDK7,113.76134522463774
CDKN2A,90.40029184801901
CEACAM1,104.68549050750453
CENPF,90.74167929680763
CEP55,101.04542247311753
CLDN4,121.82962111087963
CLU,91.91343592121976
COBL,124.74461803041399
COL1A1,134.9233789178159
COL1A2,122.03904112070197
COL3A1,132.40753820464863
COL4A1,109.14956092456276
COL4A2,86.74003090380118
COL4A5,121.98687105297468
CR2,158.98764045263022
CRABP2,140.06805198425792
CSRP2,124.05580849962084
CST3,106.76631224635679
CSTB,130.9491122439951
CTCF,91.12423398559113
CTLA4,174.17301268876486
CTSL,108.08993276837873
CXCR5,136.07930608830918
CXXC5,113.22947904894644
DCN,153.55847036972054
DERL3,131.04687640558345
EFNA5,153.95472137234904
EGFR,122.21917892543908
EIF3E,97.2744077459108
ELF5,118.56680561223357
EPCAM,77.6852685214489
ERBB2,129.19772206820727
ERBB3,145.23940668182505
ERBB4,110.59673285064244
ESR1,145.99969765611712
FABP7,127.43781396734099
FAP,164.1956458218606
FASN,96.90614379030013
FAT1,128.88540753810264
FCGR3A,142.90281879880234
FCN1,156.67014093112408
FCRL5,122.70699240324352
FGFR1,112.54583454229073
FGFR2,113.57796016475723
FGFR4,131.19243876184277
FN1,101.41297672777307
FOS,115.53953813013
FOXA1,75.35047208128843
FOXC1,137.86888997110051
FOXP3,100.35071545878105
FXYD3,123.4197428920958
GATA3,88.12204214394335
GNG11,145.741853755534
GNLY,141.14459240050414
GPNMB,116.77738263897986
GPR160,116.65951219909293
GRB7,125.62409329359367
GSN,114.80222299495361
GZMB,128.859057677601
HIF1A,95.07149696990172
HLA.A,98.43943307642984
HLA.B,87.34429309016654
HLA.C,84.97351318078572
HLA.DPA1,122.87595640231963
HLA.DRA,98.56232131797873
HLA.DRB1,118.52882859197092
HLA.DRB5,143.06866893172332
HLA.E,109.18916402422441
HSPB1,101.9964263808633
HSPG2,125.4911019070371
ICAM1,166.16589146796835
ICOS,170.58882558029813
IFITM3,106.96154873162996
IGF1R,99.07587873818738
IGFBP5,117.91748463643296
IL2RA,123.71036165921812
IL32,136.086505780845
IL3RA,124.30983312646053
IL7R,137.27174229903633
ISG15,138.6304244795247
ISG20,125.00129358970722
ITGA6,120.6831849792481
ITGAX,134.78965855321292
JUN,66.80675342706404
JUNB,81.54351914047304
KIF23,111.95266657862695
KIT,103.22557837049234
KRAS,111.0064426886824
KRT10,121.73374363394595
KRT14,155.30210934432992
KRT15,118.09447482914157
KRT17,140.55745730304037
KRT18,76.53327995502642
KRT19,86.91723442316939
KRT5,132.4569227672225
KRT7,139.5621735593145
KRT8,90.87897779267959
LAG3,112.03519193404269
LAMA1,144.99058197463745
LAMC1,98.35293010910938
LDB2,99.00935980264462
LGALS1,122.28204532861855
LGALS2,147.42531307764432
LGMN,113.44892725979896
LILRB1,158.30613349471966
LRP2,89.80049251622711
LST1,118.24740049687571
LTF,129.06925955191815
LUM,126.77673164364211
LYPD6B,111.75201740842058
LYZ,109.47515620367427
MAPK13,77.65634401921515
MAPK3,155.1932514168179
MDM2,119.13265537500692
MELK,106.76409730713517
MIA,127.31762267521538
MKI67,103.80424153278598
MLPH,123.26086904292858
MMP11,124.69466664753658
MMP12,112.54112662580135
MMP9,117.63503745813327
MS4A1,171.43875609782265
MSR1,165.3322604098995
MT2A,120.51030904633167
MUC1,129.69891269705099
MYB,135.67552470778807
MYBL2,102.96629172204308
MYC,102.91902926593397
MYL6,86.9816150962201
MYL9,90.35897933751053
MYLK,105.01434245912145
MYO10,139.33960118760547
MYO5B,88.16347170569433
MZB1,130.87373970108206
"NAT1",163.54134121878252
NCAM1,92.29209280429016
NDC80,90.44695532504093
NDRG2,110.78264231268258
NF1,86.57511696239173
NFKBIA,132.831211058088
NKG7,124.80603498239817
NOTCH1,111.64682622685685
NR3C1,92.30997259706692
NUF2,119.06702944988521
OBP2B,120.16897306298155
ORC6,151.19672383589636
PABPC1,93.61878984437305
PBK,97.10103812904137
PDCD1,104.8225646619243
PDPN,143.89184047911525
PDZK1IP1,96.26465310624047
PECAM1,134.79112393411577
PGR,157.16608539343767
PHGDH,125.9409631394692
PI3,128.26010248310618
PIK3CA,87.08461527320866
PLEK,110.77400740171255
PLVAP,113.16263927097087
POU2AF1,133.0686683375957
PRLR,105.00957704711604
PTEN,115.76935752511389
PTPRB,142.55121337155867
PTPRC,115.1961728640948
PTTG1,113.2413367719388
RAMP2,135.72405028596177
RB1,76.73740369569187
RPL13,99.87814465664273
RPL18,168.73114570901689
RPSA,89.58739185941523
RRM2,120.83455834423071
S100A14,156.5158231553844
S100A4,124.7324158260847
S100A8,126.85705858715689
S100A9,134.000425624852
SDC1,100.27927891134594
SFRP1,138.59897063852333
SIAH2,99.6908543858357
SKAP1,107.95617096779746
SLC2A1,122.6009208109814
SLC39A6,95.1183008158254
SLPI,128.38283401631432
SNAI2,126.19263003942415
SOX10,131.3792556454904
SOX18,164.71120632686154
SOX4,95.46946172914092
SPDEF,99.7955350599915
SPP1,161.63409179261285
STAT5A,136.4846829900035
STMN1,89.42008215880507
SULF1,146.35975153486723
TAGLN,112.37466603553992
TBX21,125.63223471538568
TCF4,95.15980182132644
TCL1A,129.33993842911005
TFEC,121.45816417324907
TFF1,81.19981840424349
TFF2,144.8288090548493
TFF3,129.59020600065494
TFRC,102.32005125539128
THEMIS,111.771223065583
THY1,122.35932043467572
TIMP1,128.28235299747027
TMEM45B,140.5869148451747
TMSB10,102.58164288738868
TP53,86.7200088046772
TPM2,100.4315308493451
TRAC,146.1309159395132
TRDC,110.64173004543417
TSPAN1,106.50375077597177
TTC6,132.24552948947684
TTYH1,114.58596704555359
TYMS,105.59646718087399
UBE2C,132.61390735763732
UBE2T,103.88204251842153
VIM,92.89847152469338
VSIR,122.31665394160578
XBP1,83.80533082375425
XCL1,157.88815003836552
ZEB1,122.30060333310207
ZNF571,108.37527530516121
