target,imp
ACTA2,83.0342725553426
ACTG2,32.371168229595895
ACTR3B,45.12568329749135
ADGRL4,38.027427755928805
AGR2,13.07153304525746
AHR,46.898372768361895
AIF1,39.08396208767965
AKT1,35.44402917448727
ALDH1A3,54.21531994705656
ANLN,52.37863426360449
AP1M2,49.940135564323235
APOC1,39.36980901229363
APOE,49.93631358923727
AR,42.4545946373715
AURKA,81.43186682536599
AZGP1,21.94472924589419
B2M,125.39034290103154
BAG1,74.34363504512197
BANK1,19.784197298410447
BCL2,72.8070760224661
BGN,105.10986748878449
BICC1,25.925079249416335
BIRC5,25.997855696590488
BLVRA,79.90063291208352
BRAF,41.86547070644952
C1QA,59.47633363498022
C1QB,68.51940644503094
CALCRL,38.63718844782741
CAPN13,34.100296557894914
CCL2,19.511485425568573
CCL3,47.593990029178975
CCL4,21.209134904227135
CCL5,21.839254452804344
CCNB1,68.97693320765977
CCND1,145.88872420795323
CCNE1,39.889827283499784
CCNE2,27.201609286287276
CD14,34.094723186617784
CD163,91.39847941218666
CD19,28.106290555802765
CD2,43.931021651325224
CD24,104.77296620869014
CD274,31.753171102558163
CD34,91.87350195526398
CD36,106.10240914833126
CD38,36.94115381369182
CD3D,31.53510539599907
CD3E,31.177406845466535
CD3G,37.95348442816728
CD4,47.656514551515244
CD40,40.32705301660534
CD40LG,24.125749755247707
CD44,34.39510690603125
CD5,13.595400478126503
CD63,94.45431311338395
CD68,60.36653826120271
CD69,23.685575322333097
CD7,30.476362815961355
CD74,139.5330488248166
CD79B,23.639702252959147
CD8A,26.384985001965298
CD9,33.05664250705184
CD96,23.791874378671622
CDC20,50.57305699497003
CDC6,19.18611109723028
CDH1,65.44914701928
CDH11,35.11436207779862
CDH3,17.953468815385037
CDK4,59.734452797337845
CDK6,32.16994153446753
CDK7,50.921473034211225
CDKN2A,13.699257836750139
CEACAM1,40.20864611585163
CENPF,84.90150702857004
CEP55,42.54405703851139
CLDN4,43.32406717603944
CLU,49.68746202270834
COBL,30.189937232864562
COL1A1,58.628485687125085
COL1A2,68.63489736098906
COL3A1,69.54224456019433
COL4A1,114.76551578563762
COL4A2,74.1581688032881
COL4A5,47.054690445957334
CR2,15.422182914220492
CRABP2,19.998864592441087
CSRP2,46.34524857761717
CST3,67.9976888621689
CSTB,33.4350041879416
CTCF,51.42104936831368
CTLA4,7.7554873382124505
CTSL,52.1121274141535
CXCR5,20.745142497729518
CXXC5,59.50635281015488
DCN,55.80043284195988
DERL3,42.05898779594864
EFNA5,24.581498196896565
EGFR,61.51498416055793
EIF3E,28.679846629932417
ELF5,25.67151028588137
EPCAM,70.09733192870137
ERBB2,57.40394035551606
ERBB3,26.827994991035986
ERBB4,71.30243087553566
ESR1,28.258667932184945
FABP7,26.653088716100218
FAP,37.861354185777365
FASN,122.24956833689157
FAT1,39.07652498016184
FCGR3A,64.78839461408833
FCN1,38.85335521667514
FCRL5,29.981983750404844
FGFR1,113.39038505928242
FGFR2,18.52393132958109
FGFR4,44.891676263182696
FN1,92.17069290831218
FOS,38.833348262202826
FOXA1,115.27048539626703
FOXC1,41.91075081976785
FOXP3,33.19809359521636
FXYD3,38.62300595391447
GATA3,124.12404315600452
GNG11,29.597122091134587
GNLY,32.884099016663974
GPNMB,33.874850317503196
GPR160,36.89196546622157
GRB7,30.3705157715253
GSN,62.14080581072238
GZMB,27.188542431424672
HIF1A,67.40096273070088
HLA.A,69.68675219775783
HLA.B,131.03480943764865
HLA.C,60.71444709603718
HLA.DPA1,63.35909435354432
HLA.DRA,79.11171728303636
HLA.DRB1,45.675447028369256
HLA.DRB5,24.124442161185335
HLA.E,96.73149846790591
HSPB1,107.42880699920288
HSPG2,32.97281343523288
ICAM1,26.10618842554015
ICOS,9.339748973077745
IFITM3,53.018669745911495
IGF1R,61.54971145529606
IGFBP5,95.1303858783293
IL2RA,33.08315580061803
IL32,29.65317118071945
IL3RA,37.75930588465647
IL7R,13.846533714278596
ISG15,83.9984229797356
ISG20,37.6630148602615
ITGA6,72.30916578497758
ITGAX,26.010838992642718
JUN,90.86109850147159
JUNB,65.44979968267593
KIF23,30.984273888172
KIT,71.17396562242342
KRAS,53.92117580770627
KRT10,19.664250016929117
KRT14,1.7565019506174686
KRT15,23.47390697641237
KRT17,22.475064433492648
KRT18,93.75501365294438
KRT19,109.6847573602083
KRT5,21.099722582398826
